AABB;BO,CO,CU,HL,LL,LO,LR
AAPW;EH,XX
AAPY;HM,HR,HT,IR,IT,JM,NR
AAQU;GG,IL,NT
AARR;AA,CK,CT,GN,IO,NT,NW,OV,TT
AARS;DW,LW,LZ,WW
AART;AM,AV,DF,DU,MM,MU
AARU;DG,DM,DT,GJ,GV,IK,IW,KM,MT
AARV;AT,CT,DW,EG,GU,GY,OR
AARY;CN,DG,EW,GI,GM,GN,GV,IP,IV,IW,NP
AASU;DD,GJ,GV,HM,IM,KW
AASV;DN,IN,NP
AATU;BE,BL,BT,CE,CL,DR,EG,ER,FL,GN,GO,IY,KL,KY,LV,NQ,NR,NV,TU
AATV;AR,CE,CI,CR,EI,EL,IL,LU,OT
AATW;BT
AATX;AI,CE,CI,MN
AAWW;DE,LQ
AAWY;ER,GN,IR,NY,RR
ABBE;CI,EU,EW
ABBL;AH,AL,AO,AR,BY,FY,IJ,IL,IO,OO,WY
ABBO;AB,AL,ER,GR,IL,MX
ABBR;AL,GO,LU,OT,TU
ABBS;CY,HY,IJ,IM,IT,WY
ABBU;AC,DE,EE,GH,GM,HJ,RT
ABBY;BL,HS,LS,LW,SW
ABCH;KU,LN,PU
ABCK;DE,EI,ET,HU,IP,PU
ABCN;AA,AM,EM,EU,HL,HR
ABCR;
ABCS;BO,BY,CO,EE,EL,EP,OV,OZ
ABDE;CH,EH,EJ,EZ,FF,ZZ
ABDI;AH,AN,BJ,FI
ABDL;IR
ABDN;GO,IT,OU
ABDO;AG,CH,DD,GN,HY,NU,YY
ABDR;AR,AT,RU
ABDS;AB,AH,AS
ABDU;CT,DH,IR,MW,NO,RR
ABDW;EL,MU
ABEK;AI,AT,CI,CT,ET,IK
ABEL;AI,II,IO,IV,IW,NU
ABEM;CE,CI,CX,FO
ABEN;AF,EH,EI,EL,ET,HL,IT,JT,LZ,NT,TT,TZ
ABEP;DN,EL,FR,HR,PW,RU,RW
ABER;FP,JU,PU,PW,QU,UU
ABES;CE,EJ,OV,ZZ
ABET;CJ,CK,EK,EN,II,IN,IO,IW,JN,KN,MN,NN,NO,NZ,OV,OX
ABEU;AR,BE,BL,CG,CR,GL,JR,LL,LM,MR,PR,QR,RU
ABEY;CH
ABFF;DE
ABFL;BY,GU,IU,RU,RY
ABFR;BE,DE,DO,EL,EM,EP,LY,OO
ABFS;IY,NU
ABFT;EL,EY,HI
ABGH;BU,EE,RU,TU
ABGI;AM,AN,AR,GT,GW,KN,KT,LM,LN,MR,MT,MY,NN,NO,NR,NS,NT,NY,OS,OU
ABGL;FU,IM,IN,LO,MO,MY,OR,OU,RU,RY
ABGM;BU,IL,IR,IT,IY,LY
ABGN;AI,AM,IK,IL,IN,IR,IT,IY
ABGR;AG,AI,AT,BY,GY,HU,IM,IN,LU,LY
ABGS;AB,AE,AG,AS,DE,EI,IO,TU
ABGY;IM,IN,LM,LR
ABHI;AD,EL,KL,OO,OP
ABHL;AB,AR,CN,IK
ABHS;BY,DN
ABHT;AK,NO,OR,OX,PY
ABHU;BG,BJ,CK,CP,DD,GR,HJ,KR,MR
ABIL;BJ,BL,CU,DE,EE,EF,EH,EJ,EL,EV,EW,EZ,FU
ABIM;AC,AG,CE,CU,GY,KO,NN,NU
ABIN;DT,EE,ET,GN,GO,GT,GY,IN,MN,OT
ABIO;GN,GU,HP,KM,RR
ABIR;OT
ABIS;FY,WZ
ABIT;BR,BW,CR,EN,ER,EW,GG,GN,RU
ABJM;
ABJS;AN,AR,EE,EH,EL,ER,NO,OT
ABJU;BH,ER,ET,HH,IR
ABKL;AA
ABKN;
ABKO;DE,GO,IM,JM,MO,MT
ABKR;IM
ABKS;IT
ABKU;CH,CP,DE,IK,MZ
ABKW;
ABLL;AB,AD,AI,AN,AO,AR,AT,BI,CO,GO,II,NO,OO,OT,OW
ABLM;AD,AR,GO,OO,OP,OR,OT
ABLO;AB,AL,AV,CL,CN,GL,GM,GU,LN,MP,MU,NZ
ABLS;
ABLT;KY,MY
ABLU;AC,AI,CC,CI,EG,FG,FI,GO
ABLW;BE,DE,EI,EM
ABLY;BB,BF,FR,GR,PY
ABMO;BO,BX,CP,CR,CT,EF,EN,IK,KO,KT,LO,LP,LR,LT,LU,NW,OW,PT,TW
ABMR;CO,LO
ABMS;HU,NU
ABNO;DU,FY,HM,IL,LL,MW
ABNR;AM,CH
ABNS;
ABNT;AM,DE,DI,EE,EI,EJ,EK,EM,EN,ET,EZ,GI,IK,IL
ABNU;DO
ABNW;EG,MO
ABOR;FO
ABOS;AU,CC,CU,CV,CZ,EV,OY,OZ,UU,UY,WW
ABOT;CM,EV,EX,HX,KM,MP
ABPR;EF,EH,EU,EW,HO,LU,TU,UY
ABPS;AM,IL,SY,TY
ABPU;CH,CK,ER,ET,LL,LM,LR,RT,RY
ABRS;
ABRT;BI
ABRU;AE,CE,DE,DR,DY,EJ,EP,EU,GH,OR,PY
ABRW;EE,EP,ER,OR,OT
ABRY;FL,GG,GL,PU
ABSS;AD,AG,AH,AM
ABST;
ABSU;FF,IM,OU,OY,WY
ABSW;AH,AI,BY,HU,IZ,OT,OW,UY,YY
ABSY;BC,BH,BW,FI,NU,OO,OU,UW,WY
ABTT;IK
ABTU;CD
ABTY;HP,KL,LM
ABZZ;AZ,DE,ES,EZ,IZ,JO
ACCE;DE,DK,DN,IP,IS,IT,NR,NT,PT,RS,RU,RW,SS,SU
ACCK;DE
ACCO;CL,DR,GN,IL,IN,LU
ACDE;BB,BU,OX,UX
ACDH;
ACDI;AC,AG,CI,CM,DI,IM,IP,MO,MP,OZ
ACDK;
ACDL;
ACDO;EI,EM,EN,EP,EX,IM,IN,IZ
ACDR;AF,AN
ACDS;CY
ACEF;AI,BI,EF,EN,IN,PU
ACEG;AH,BO,BU,EN,EP,HN,HU,IN,IU,NU,OW
ACEH;AG,GU,QU
ACEK;BI,BT,JT,MO,NO,NT,NU,PT,TT
ACEL;JO,QU
ACEM;BE,BN,BW,BX,EN,EZ,NP,NU,TU,UX
ACEN;BM,BU,EF,EG,EM,EV,GU,GY,JU,KU,KW,MU,UV
ACEP;CI,FU,MO,OW
ACER;CU,CW
ACES;OX
ACET;BJ,BK,CI,EJ,IM,IV,JK,KY
ACEV;AT,EN,NU,OT
ACFF;DE,EE,ET,IN
ACFL;AU,HN,NU,PU,RU
ACFS;HU
ACFT;LO,MU,NU
ACFU;AL,EL,EP,ES,ET,LN,LP,MT,NT
ACGH;AE,DE,ER,ES,GI,SW
ACGL;AY,GY,IL,IO,IR,IY,OU
ACGN;EE,EU,EY
ACGR;GY,HU
ACGS;HW,IM,OT,OU
ACGY;AL,GL,GR,IL,LN
ACHI;EP,GG,QU
ACHK;BU,KU
ACHL;AH,AL,LY
ACHM;AB,AC,AN,MY
ACHN;CY
ACHO;GU
ACHP;BU,IL,IN,LN,NU,PU,PY
ACHR;GU
ACHS;AN,FF,GN
ACHT;AD,AT,QU
ACHV;VY
ACHW;DE,ER
ACHY;BE,CK,CN,CO,EL,EP,FF,KL,KW,LL,MM,MP,NO,OP,PP,VV
ACHZ;AN
ACIL;AC,AR,CC,CO,GO,GR,GY,OR,RY
ACIM;AB,AJ,DO,OO,OT,OV
ACIN;AC,CW,CY,NY
ACIO;CL,CS,DE,DM,DS,FS,GG,GL,GM,KP,LS,LX,MO,MS,MV,SV
ACIP;AT,BK,CE,DI,EE,EH,FY,HT,KO,KX,OT,TT,TY
ACIR;LY
ACIS;CO,CW,OT,OV,QU,TT
ACJK;AL,DE,ER,ET,HI,OP
ACKK;HU
ACKL;TY
ACKM;EL,EO,IR
ACKP;AH,AZ,BI,DE,ER,ET,IN,IO,IX,IZ,JO,NR,OY
ACKR;AR,IM
ACKS;
ACKT;AT,BE,DE,EJ,EL,EN,EP,ET,IN,NU
ACKU;BH,BR,CH,EN,ER,HK,HR,HT,NT
ACKW;
ACKY;HL,LN,LP,NR,OP,OR,QU
ACKZ;AP,IP
ACLL;HY,MY,UY
ACLM;AT,AU,TU,UU
ACLN;BO,DU,FO,FU,LO,OT,OX,UV,UY
ACLO;BN,CC,CI,CU,EJ,GI,GU,IN
ACLP;HN
ACLR;FU,GI,IN,IU,RU
ACLS;
ACLT;AM,AN
ACLU;AB,AF,AL,AM,AN,BC,CO,EF,EM,EN,EQ,ER,FN,FR,GN,GO,LY,MU,NV,NY,OR,RR
ACLW;DE
ACLX;ES
ACLY;AG,GG,GI,GN,HK,HL,IL,KN,KP,LU,NU
ACMO;AY,BT,DI,GI,IO,IT,IV,TT,TU
ACMP;AD,DE,DU,EN,NU,TU
ACMR;AA,AN,AT
ACMS;
ACMU;AL,CE,DE,DP,DT,EL,EN,ET,EX,FT,LT,LU,NP,OT,PT,TU,UV
ACMY;AN,AO,CO,HM
ACNN;FI,GI,II,IT
ACNR;AA,AD,AL,AM,AT,RU,TU
ACNS;AH,AM,AV,MU,PU
ACNT;FU,KU,PU,RU
ACNY;AM,CH,CI,EG,GL,KK,KL,LU
ACOP;DE,EW,IK,JK
ACOR;FX
ACOS;BB,BI,BU,BV,BZ,EG,EX,FI,GU,IV,KW,UY,ZZ
ACOT;BB,BM,OV
ACOX;BR,FR,RT
ACPR;KN
ACPS;
ACPT;IM,IN,IT,IY
ACPU;BH,DM,EF,ER
ACPY;AP,FI,HP,HT,IT,KL
ACRR;AK,AT,CI,IT,LO,MO,NO,OT
ACRS;
ACRT;
ACRW;CE,DO,EH,EO
ACRY;CK,CU,EK,GG
ACRZ;
ACSS;FF,HV
ACST;AI,DI,IM
ACSV;BO,IL,IN,IO,IR,LO,LU
ACSW;CI,NO
ACSY;BB,DE,EF,ET,FF,TT
ACTT;AH,AK,AN,CH,GU,HH
ACUY;IT,KQ,LL,LN
ACVY;HV,IT
ADDE;EM,EN,GG,GN,GO,GU,MM,MN,MP,NU,PP
ADDO;AU,BD,BE,DE,DO,EG,EL,ET,EW,GM,GO,MN,MO,TU
ADDR;IM
ADDS;CI,GI,HI,IM
ADDU;BE,BH,CE,CT,DE,EG,EL,EN,ER,ET,GM,OT
ADDW;AR
ADDY;GI,IM
ADEF;AL,BF,BL,EL,EN,FF,FI,FN,FW,HL,IL,IN,IW,LN,LO,LU,LW,NN,NU,NW
ADEG;DD,DN,DO,HI,HN,IN,NN
ADEH;BE,EP,EV,GG,GI,GN,IN,NP,NU,PP
ADEI;AT,ET,FF,FK,FT,GG,GH,GT,HJ,KP,OT,TV,TX,VV
ADEJ;BB,BE,BM,CK,EN,EY,IL,KU,MM,RR,RU,RY,ZZ
ADEK;AM,EP,IP,JU,KY,PY,QU
ADEL;FU
ADEM;DD,OV
ADEN;AG,AX,DD,DF,DG,DH,DU,FF,FG,FN,FU,GG,GH,GN,GU,HU,NU,UX
ADEO;CI,CM,CT,CX,DD,DG,DS,DT,DW,EM,FM,GS,GT,IT,MT,MV,MW,SV,TU,TV,VW
ADEP;DD,DP,EH,EK,EZ,HP,IK,PP,PZ
ADER;
ADES;
ADET;AI,IO,IU,IV,OU,OV,OZ,TT,TU,TV,UV
ADEV;GG,GU,IM,IT,IV,IZ,MO,OT,TT,TU,YZ
ADEW;AW,FF,ZZ
ADEX;AN,CO,CU,ES,IS,IU,NP,NU
ADEY;EJ,KK,KO,VZ
ADEZ;BE,BZ,CE,EP,ET,JZ,NW,PP,VY,WZ
ADFF;BE,CE,DE,EF,EG,EI,EN,EW
ADFN;AR,AT,DE,EE,EF,EG,EI,EK,EL,EN,ER,EU,EW,EY,GI,IR
ADFO;BR,EL,EM,ER,FR,MU,RR
ADFR;BO,IN,OR
ADFS;HU,IV,LU
ADFT;AN,LY,NO
ADFY;GL,IL,LT,LY,RT
ADGI;AC,AM,AO,AR,EG,EH,EM,EN,ET,FN,HN,IN,JN,JO,MW,MY,NO,NR,NT,NU,NV,NW,NZ,RV
ADGL;OP
ADGN;AE,AM,AP,BE,DE,DI,EF,EG,EH,EI,EM,EN,EP,ET,EU,FI,HI,II,IJ,IT,IU,IV,IZ
ADGO;AB,AI,BE,BR,DE,DI,EL,ER,ET,IL,LY,RW
ADGR;BO,GY,IV,OW
ADGS;AG
ADGU;AJ,DM,IN,LN
ADGW;IM,OR
ADHJ;
ADHK;AN,HU,JO,KU,LO
ADHL;RY
ADHN;DE,EG,EK,EL,EP,ER,ET
ADHO;BY,HU,HW,IO
ADHR;AG,AM,AN,AP,AZ,GU,IM,NU,PU,RU
ADHS;AB,AD,AW
ADHU;BD,GR,HK,HO,IK,KK,OR,PR,PU,RR
ADIK;DZ,EF,EL,EP,ER,IY,TT,TZ
ADIL;AD
ADIM;AG,CC,CI,CP,GW,GY,IL,LY,PY,QU,WY
ADIP;CI,CM,DG,EK,EN,KN,MY,NN,NT,NU
ADIQ;MU,NR,TU
ADIR;AF,AG,GV
ADIS;IN,NU
ADIT;AE,DE,DZ,EE,EF,EG,EW,EX,HH,KT,KZ,TY
ADIV;CE,EM,ER,EW,EZ,GR,RZ
ADIW;GM,HH,MY,RZ
ADIY;DG,DM,GM,IK,MO,MP,MW,NT,TT
ADKN;AH
ADKR;
ADKS;AM,OP,OV
ADKU;AP,BE,EJ,EQ,EW,HH,JO,OP
ADKW;
ADLN;KY
ADLO;GY
ADLR;AP,HO,LO,NO
ADLS;
ADLT;CY,FY
ADLU;DE,EL,EP,EV,EW
ADLW;DY
ADLY;FT,FY
ADMN;
ADMP;CI,CU
ADMR;CH,NO,OR
ADMS;AK,AM,AS,GO,LO
ADMU;AF,CE,CP,DG,EG,EP,IQ
ADMW;GI,IY
ADNO;BU,PT,TT
ADNP;GO,HU,IK,IN,IT,IU,LU,OR,OT
ADNR;AC,AF,AH,AN,AP,HU,LU,MU
ADNS;II,IV
ADNT;AF,FO,LO,NO,OP,OT
ADNU;BO,DE,EF,EG,EO,ER,EW,EX,GI,GR,IP,IR,OR,RW
ADNW;
ADOP;JY,KU,NR,RY
ADOR;FF,LL,PY
ADOS;EK,EV,KV,MU
ADOT;DE,DU,EG,EM,EN,EU,EV,EZ,FN,MM,NN
ADOW;DE,EM,EV,HH
ADPR;AH,AL,AN,NO
ADPS;AT,AW
ADQU;EK,IM,IT
ADRS;AR
ADRT;AB,AU,PU
ADRU;AT,BI,BY,CI,HN,IN,NT,NW
ADRW;BY,IZ,PU,TY
ADRY;AG,FF,GG,OW
ADSS;AB,AL,AM,AZ,KL,LP,PY,QU,TU
ADST;AD,AP
ADSW;HY
ADSY;CC,OT
ADTU;AR,BE,DE,DO,EF,EO,EP,ET,EV,PR
ADTW;OR,RY
ADUY;EP,MN,MT
ADVY;EZ,IL
ADWY;IM,LR,OR,RS,RT
AEEG;BG,BH,BZ,DG,DM,FU,GM,GW,HZ,JY,MM,SW
AEEJ;BD,BH,BM,BR,BS,CT,CY,DH,DN,DY,GR,GY,NT,RV,VY
AEEK;AK,BD,BL,BT,DL,IV,LV
AEEL;AP,CH,EH,FM,HX,IM,KP,MP,MU,PU,QU
AEES;BJ,GN,GW,NU
AEEV;FO,IK,JY,OV,PY
AEEW;BB,BR,DD,DI,DN,DR,GG,GS,HH,HR,KN,KR,MP,MS,NP,NR,NT,NZ,PS,RR,SS,XY
AEFK;
AEFL;AD,DD,DE,DH,DI,DO,DU,DW,FW,UW
AEFM;BO,GU,IN,NN,NO
AEFN;DD,DF,DN,DU,DW,JT,MN,MO,NT,TT
AEFR;BB,FG,FZ
AEFS;FG,FI
AEFT;BY,FH,IX,JN,NN
AEFV;
AEFZ;FR
AEGG;AL,AV,BE,EL,EM,EN,ET,EW,GL,HL,LN,LW,MN,WW
AEGL;GG,GH,GW
AEGM;EG,ET,FU,UZ
AEGN;AD,AN,CH,CI,DD,DG,DH,DI,DN,DP,DW,GI,HI,IK,IN,IW,IZ,NP
AEGP;IM,IP,NN,OT,UZ
AEGR;AF,AO,FF,FO
AEGS;AB,FF,HO
AEGT;HP,IY,YY
AEGU;BC,BL,CH,CI,EF,EL,FM,LL,LP,MY
AEGV;DG,OY
AEGW;BN,CO,EG,GL,GW,HI,IN,LN,LT,OT
AEGY;EJ,IT,OV,TY
AEGZ;BE,BO,EH,IN
AEHK;EM,IW,PR,RW,WY
AEHL;EE,EX,FL,FN,GG,IN,LL
AEHM;IM,MY,UW
AEHN;BE,BL,BO,DD,DG,DI,DL,DP,DR,DU,EP,EX,FL,GI,GR,IL,IR,IW,LO,LU,PP,UW
AEHP;DE,DN,DP,DT,EN,NP,NT,PU
AEHR;IN,KN,OX
AEHS;GI,GO,OX
AEHT;AK,FF,GP,PY
AEHV;
AEHW;AP,EH,GI,IK,IN,KY,MU,NU
AEHY;BC,HT,KW,MM,TW
AEHZ;EG,KN
AEIK;AB,BC,BK,CH,CR,DP,DR,EV,GN,HN,HW,KP,MN,MT,NT,NY,NZ,OR,PR,RR,RT
AEIL;AB,BE,BF,BH,BI,BJ,BO,BY,QU
AEIM;KT,PY,TT,XX
AEIN;GG,GH,GK,GU,GW,HK,HW,KY,PP
AEIV;DV,EK,UX
AEJK;CD,CT,DU
AEJN;BM,BT,CT,CU,DE,ET,FT,GL,IR,IT,JU,KR,NY
AEJP;
AEJT;BC,BN,BU,CE,CK,CN,EN,FN,GL,GU,IN,MR,WY
AEKK;AE,BI,DR,DY,EP,IP,NR,RY
AEKL;EP,EV
AEKM;AD,AL,AW,BL,BN,CL,CO,IN,IT,NU,OT,PU
AEKN;CU,GI,IM,IY,IZ,MU
AEKP;CD,CR,CT,DI,DR,HR,IK,IR,MU,RR,TU
AEKR;HP,IP,KY,QU
AEKS;OY
AEKT;AA,AB,AH,BC,BE,CD,CJ,CP,CT,CY,IM,PU
AEKW;HI,HY,YY
AELL;AU,HT,MT,NU,NW,OR,RT,RU,RW,TT,TU,TW
AELM;AK,EL,EZ
AELN;BH,BZ
AELO;BI,BT,CJ,CL,CT,ET,FT,GI,GT
AELP;BE,EK
AELR;ZZ
AELS;
AELT;LW,LY,OZ
AELV;
AELW;BB,BM,BY,FF,FU,GG,GT,LT,LY,TT
AELX;EH,FN,LP,OP
AELY;IT,TT
AELZ;AA,AT,CM,NR,NT,QU
AEMM;AM,BR,HR,JR,MR,MT,NR,RR,RZ,TU,TW
AEMN;AP,CO,CP,CU,FN,FO,KU,NP,OP,PU,QU
AEMR;JM,MM,QU,UV
AEMS;OV
AEMT;BG,CI,CO,CU,EG,EP,EX,IK,IM,KO,MM,MU,MW
AEMW;AK,EP,GR,HU,IR,LN,MT,NR,OR,RR
AEMX;BC,CU,ET,IX,OR
AEMZ;CE,CL,EK,EL,GU,OP,UZ
AENN;AG,AK,AL,AZ,BD,BO,BR,DE,DF,DG,DM,DU,DV,DW,EG,FL,FM,FR,GO,JY,KR,LR,LW,MR,MV,NO,OV,OY,RV,RW
AENO;FM,FR,IM,IN,MR,MY,NN,NY
AENP;EH,EM,EU,EW,IM,MU
AENR;
AENS;
AENT;BJ,BT,BU,FJ,FT,QU,TT,TU,TX
AENU;AF,CH,CI,CJ,CK,CM,CN,CP,CT,CV,DD,DF,DH,DM,DN,DO,DT,DW,DX,EP,EV,HM,HT,HW,HY,IT,JJ,KM,MP,MT,PT,TT
AENV;CU
AENW;BG,CP,EP,ET,GI,HI,HT,HU,OP
AENY;EK,IK,JN,NO,OP
AENZ;AN,BL,BR,CR,DR,GL,HK,LR,PR
AEOR;AG,GH,GN,GU,HX,IR,RR,UV,VW,VY
AEOT;BD,BI,BL,BX,DD,DI,DM,DU,EL,FL,HL,TU
AEOZ;BG,BR,CI,IP,MP,UV
AEPP;BW,CD,DD,DG,DH,DJ,DM,DO,DP,DT,DW,DY,DZ,GI,IT,IY,TT
AEPR;
AEPS;
AEPT;AW,GH
AEPV;AG,IM
AEPX;DN,LL,LO
AERR;
AERS;
AERT;
AERU;BC,BJ,BM,BU,CC,CK,EK,KM,KW,MV,OV
AERV;MU,OU,QU
AERW;BE,CC,CO,IM,MO
AERY;CK,KK
AERZ;AP,FF,JZ,LN,LZ,NP,PP,PT,TY
AESS;IJ
AEST;
AESU;DI,IQ,QY
AESV;
AESW;AY,EP,IP,ZZ
AESX;CO,DE,DH,DI,HO,IJ,IN,NO
AESY;AW,CF,CP,CU,EP,FK,KO,PP,QU
AESZ;BU,BZ,JZ,VY,WZ
AETT;DE,DN,DT,DU,DV,DW,GO,GU,NN,NO,NT,NU,NX,NY,OU
AETW;AP,EL,EN,GL,JY,LL,LT,MM,NY
AETY;CK,CL,DH,EL,FL,GI,GY,HH,HL,HW,IL,JW,KW,LL,LT,UX
AETZ;AB,AL,PR,RY
AEUV;CN,EN,IX,OR,OZ,QR
AEUX;CD,CM,DI,DN,IV,LS,LT,PS,TY
AEVW;
AEWW;AD,DL,GG
AFFF;DE
AFFG;UW
AFFH;ET,IT
AFFN;CI,DE,EE,EI,ER
AFFO;DR,PY
AFFR;AE,AI,AL,AP,AY,AZ,EE,EL,EN,ET,EY,EZ,IK,IM,IT,IZ
AFFW;DE,EI,EL,LY
AFFY;AR,CH,EL,ER,LO,LW,OP
AFGL;BE,DY,EN,ER,GY
AFGN;LU
AFGO;ER,MR,RR
AFGR;AE,AN,DE,EL,EO,EU,EY,IN,LU,MO,OR,UY
AFGS;DE,IY
AFHK;IL,IR
AFHL;BE,CN,DE,EL,EN,IK,MU,OO,TU
AFHS;GO,IM,IO,IR,OR,RW
AFHT;AM,AW,DE,EF,ER,LU,MO
AFHU;LM,LT
AFIK;GN,NU
AFIL;BE,BU,DE,DU,DY,ET,MU,MY
AFIN;IM,JN,KU,MY,NN,NO,YZ
AFIR;AD,AF,FZ,HI
AFIT;DE,EL,EX,GZ
AFIW;DE,EF
AFIX;ET,GN
AFKL;
AFKN;GI,IU
AFKS;CR,OT,RT
AFKW;
AFLL;AL,MU,NO,NU,OR,OW,PU,TY,UW
AFLM;HU,IU,LU,NU,OR,RU
AFLN;CH,CO,CU,FY,GO,GU,LO,LU,MU,MY,NY,OT,PU,TU
AFLO;DE,EV,LN,LW
AFLP;CU,LU,NU,PY
AFLR;AF
AFLS;FF
AFLT;
AFLU;AC,AN,BI,CE,CN,CP,EN,HM,IM,IN,LM,LN,LP,MN,NP
AFLW;AD,DE,EF,LO
AFLX;EN,ES,FU
AFLY;BB,DG,DI,DY,FN,FO,GG,IN,NN,PP
AFMO;BE,DE,DN,DU,EN,GN,HT,NT
AFMR;LU
AFNO;BC,BY,CL,CR,EM,ER,LL,LT,MT,RT
AFNS;
AFNU;CL,CT,DE,EL,GL,IK,IL,IT,LL,LP,LT
AFNW;DE,ER
AFOR;BD,BO,CN,CT,CX,DF,GT,IT,NT,OT,TU
AFOS;CI,EV,HI,UV
AFOY;BN,FL,FP,LT
AFPR;AF,NY
AFQW;
AFRS;
AFRT;LU,MO,NO,OO,OU
AFRU;GY,IQ,IY,OT,OV
AFRY;DF,GU,NP,NZ
AFRZ;AF,EF,FI,IL,NY
AFST;
