AAAARR;MPTT
AABERU;BELN,BLNY,CILQ,DELN,DLNY,ELNW,FLOV,GHOR,ILNV,ILQR,IMNO,LOPV
AABERZ;ADHL
AABESS;CCKP,CDNP,CINN,DNTW,MOTT
AABEST;BCOO,CETU,HITU
AABETU;CHIN,CIIN,HNNO
AABETZ;AINP,CILO,DINR,ILRU
AABGGR;BILN,IINN,INOT
AABGGS;DDEN,DINN,EINO,GGIN
AABGIM;AENR,DEMN,ORTY
AABGIN;AGLY,CKLY,ILMY
AABGIR;EOTV,MOTY
AABGKT;CDIN
AABGMN;AEEL,CELN,CKMO,DEIM,EIIL
AABGMS;
AABGOZ;EILN
AABGRT;CEIN,EINN,GINO,IMOY,INOO,INOU,ORRU
AABGSS;IOSS
AABHIJ;
AABHIS;CETZ,CKRY,CRXY,DORZ,ILOP,ILRZ,MTVZ,PRRV
AABHJN;
AABHKS;LNUY
AABHKT;AMRU,CELR,EERR
AABHLR;ADEZ,CDKO,CEGY,CEMN,CNOO,CRUY,EIOV,IOTY
AABHMR;AKTU,CDOT,CHIP,ITVZ
AABHMS;IINP,ITVZ
AABHNV;
AABHNW;DORR
AABHSS;ALRT,DDOR,LPYY
AABHSW;CEER,DEKR,ERTT,OTTU
AABILL;CFIY,CGIM,CIMY,CMPY,CPPY,DDMO,DEYZ,EFFI,ETVY,HTUY,MPPY
AABILM;DDLO
AABILU;BELN,BLNT,CEQR,CILR,CMRT,DELL,DLLY,EINT,ELNV,EQRR,ERTZ,GNTT,LNVY,LRVV,PRTY
AABILX;
AABIMR;CEET,CHHP,CLOU,CLTU,COOT,EFFL,EILP,ELPT,GOTY,HTVZ,NOOT
AABINN;ADEL,CETY,EGGT,EGOT,EGPT,EGRT,EKRT,ELOT,GGIR,GILZ,GLLT,GOTW,HITT,ILOT,ORTY
AABINQ;IRUU
AABINR;ILVY,IQUU
AABINS;CEEY
AABINW;ERRT,GNOT
AABINZ;AEPT
AABIRR;CCKN,CGKN,CLUV,DMNU,EEFL,EELP,ELQU,ENOT,ENTW,EOTV,ERST,INTT,ORTT
AABIRS;BCCR,CCHK,CHKY,CHXY,HPRV
AABIRZ;HMTV
AABISS;BMRR,CENN,GOSS
AABIST;ACDI,ACQU,CEHZ,CQUU
AABISW;LLOR
AABISZ;CEHT,CELP,HMTV
AABJNS;BBEO,DIOR,IOTW
AABJNX;
AABJRS;CEKM,DINO,EIKL
AABKMT;AHRU,ELRY
AABKNN;EIRT
AABKNR;CCIR,CGIR
AABKNS;ACCV,HLUY
AABKRS;DLOW,MOOZ
AABKSU;CCHK
AABLLN;CNNO
AABLLO;CDII,CNNN,DDIM,HLOU,IINT,INOT
AABLLR;ACMU
AABLLT;BMTU,CEEH,EIVY,HIUY
AABLMR;CEEE,CEHN,CKOO,EEKR,EEKT,EIIP,EIPT,EKRY,EKTY
AABLMS;AACN,CKLP
AABLNS;AACM,ACCH,ACOT,GRUU,HKUY,RTUU
AABLOR;CDHK,CFNU,CHNO,CKMO,DFHS,EHIV,PPVY
AABLOV;CEHU,EEGY,EHIR,EILR,PPRY
AABLRZ;ADEH,EEIL,EILY,EIOP,EITU
AABLSS;ADIL,DIOR,DOOW,FGHN,ILOR
AABLST;
AABLTU;ACCM,BILN,DNNY,FGIN
AABMMS;CDIL,EFLL,ILUX
AABMNR;IOOT
AABMNS;AACL,HIIP
AABMNT;EILR,EILV,ELLY
AABMNY;BLLU,ILLU
AABMOS;KORZ
AABMOY;CHRU,GIRT,LRTU
AABMPS;AINT,CDKL,CKLL,CKRR,EILS,HIIN,ILOY,ILSY
AABMRS;BCKR,CDEU,CEJK,CKPR,DEOT,ENTT,KOOZ
AABMRY;EKLR,EKLT,ELSU,GIOT,LOTU
AABMSS;EINO,IINO
AABMST;DEOR
AABNNY;CEIT,CILL,DLTU,ILLU,IORT
AABNOR;CFLU,CHLO,EFRT,EIMU,EIRT,EITT,GGIT,GIOT,IJTU,IMOT,INTY
AABNSS;CEIN,CEIR,EEIR,EIIM,ILMO
AABNST;ACKN,LRUU
AABNSU;AAGN,CELM,CELN,DHMN,DILQ,EELR,EGMR,EHKL,ELMU,GIMR,GLRU,GRRW,HKLY,LRTU
AABNSW;EELR,ELRY,ELUY,GRRU
AABNSY;AELL,CIRR,EILR,ELRW,GILS,HKLU,IILT
AABNYY;
AABORR;BDDE,DEPP,DHNW,DNNW,KKOU,LOTY
AABORS;CCHL,CLMY,EGKM
AABORT;
AABORZ;EILP
AABOSU;ADQR,BIRS,CIQR,DIRV,EHPQ,ELMX,FLRT,HTTW,KLTW,LLMT,LRTT
AABRRS;ABIN,BCCI,EHIN,EINV,HIPV,IILN
AABRRT;CEHT,CEKP,DLOY,IINT,LOOY
AABRSS;AGIN,ARWY,BNOT,DDHO,DHOW,HIIW
AABRST;
AABRSV;ADEG,CENT,EEGU,HIMT,HIPR,IINT
AABRSY;AEGU,BCNO,CCKR,CEHX,CHIK,CHIX,CINR,ELMU,ELNO,ELNW,LMNO
AABRSZ;
AABRTY;EGGR,GIMO,INNO
AABSSU;
AABSTT;EEMN,LOST
AABTTU;HOSW
AABTTW;EKLR
AABZZZ;
AACCDI;HLMO,HLOT
AACCDU;EGOR,EILT,ELLT
AACCEL;AIIR,ASST,CITT,DRST,MTUU
AACCHK;LLUW
AACCHM;
AACCHN;EOTY,OTYY
AACCIL;ALNT,DDIT,DGIR,DHIR,DHOT,DHRY,DILY,EOPR,LRTY
AACCIM;EKMO
AACCIN;ALLT,BIRT,BKRR,BOTU,CEOT,CRUY,DIIT,DNOR,ENOT,ENRT,ERTU,GGOR,GJKR,GLLT,ILLU
AACCKR;
AACCLO;BIIU,DGIN,NTTU
AACCLP;
AACCLR;DGII,DHII,DHIY,EEET,ILTY
AACCMO;AIRT,APRR,DENO,EIKM,ILLT,NPTT,NRTY
AACCNN;DIOR,EIOT,EIRT,LORU,MOPY,OTTU
AACCOS;AENU,BHNW,CHIP,DEIV,EFGU,EINU
AACCRT;EEEL,EEOV,EFLO,LLOU,LLUU,MNOY
AACCSY;BKRR,DENN,FHIR,INTT,LMOR,LORV,LOTT,ORTU
AACDDU;BEEL,BEMS,IOTT
AACDEF;BIRT,EORT,GNRR,INRU,RRTT
AACDEI;DJTU,GGOP,OTVV
AACDEL;BEHT,EKKW
AACDER;BBEK,COTT,EGKP,EOPP,FRTT,JKOO,MORT,OOPT
AACDEU;BDEL,BHKL,BLMN,BLNS,CGOR,EIQS,ESWY,FINR,GHHM,GHMR,ILSS,ILSZ,IMNR,INSV,LMNN,LORS,ORSV
AACDFR;EEOT,EGNR,ELOT,ERTT
AACDGI;AILR,BINT,BKNT,CILR,CLNO,EMNP,ENNY,LMOT,LOPR,MORR,NOTV
AACDHR;BOPT,GIIP,GIOP,GTUW
AACDHS;BEKL,BILN,CLOO,DENO,ELLN,KLLN
AACDHT;BMOR,BOPR,GRUW
AACDIR;GHIP,HKTU
AACDLU;BDEE,BEHK,BEMN,BENN,BENS,BGKR,CELT,CEST,EGOT,EISS,EISZ,EMNN,EORS,EOTV,EPST,EPTT,NOSS,OSTY
AACDMP;EEFL,EGIN,EINT
AACDNR;BNOT,CCOY
AACEFI;BILP,DNRU,INTZ
AACEFL;BIIP,BKLL,FGOS
AACEFR;CLOT,DEOT,DINU,DLOT,FIMN,LMOT
AACEGH;ALPR,BCKR,BELR,BLRY,LMOU,MOPR
AACEHP;GMOR,IMMR,IORX
AACEHR;BCGK,BKOS,BSXY,GMOP,JKMM,JOPS,KOZZ
AACEHT;CNOY
AACEIL;ACIR,BBRS,BEHV,BFIP,BLLR,BLPP,BOSS,BOTT,BOTZ,BPSZ,BQRU,CCTT,CPTT,GLPR,GPPR,HHRR,ILPR,IPTZ,LOSU,PRRS
AACEJR;DKOO,HKMM,KNTT,LOTU
AACELN;
AACELP;
AACELS;CFHK,HHKM
AACELT;DORR
AACEMO;CDNO,CIKM,DILN,EHLN,EINT,GHPR,GLRY,HINO,HINT,HPRT,IINT,ILMN,KRRW,LNPZ,MTTY
AACEMR;FFIN,GINT,GNTY,HKTW,HNTY
AACENN;ACHT,ADRV,AEGR,ARRV,BGLM,CDES,CDSY,CHIW,DDIR,DGIY,DIOR,DTTY,ERSS,GILM,GORT,GRTT,HIMM,HIOU,HKMY,IIRV,OOSU,OTTZ,SSTV
AACENP;CCET,CCTY,CITV,GIRY,OPRV
AACENR;AEPP,BBOS,BKOS,FMSU,LRUV,OPPV
AACENT;BHIU,CCIO
AACERS;BHXY,BKPP
AACERT;CCIO,CFLO,DFLO,DLOR,FLMO,FRRY,LLLO
AACEST;BBOO
AACESU;ACNO,BDNN,CDEN,CINO,DIIN,DINV,EMNN,ENOV,FMNX,GHHM,HIMN,NNOO
AACETU;AFLQ,BIIN,INNN
AACETV;CIIP
AACETX;BEER,GINV,HILN,ILLP,INOV,NRTT
AACFIL;GIMN,ILMN,INRV,RTTY
AACFIS;CHRY,DOPR,HMNR,INPU
AACFLO;BERT,BNRU,DENN,DERT,EFGS,EGMU,EMRT,MORR,NNTU
AACFLU;
AACFNT;LNOU
AACFRS;CHIY,CILU,CMPT,HIMN,HKNT,ILOV,NTTU
AACFRX;
AACGGM;GGIN,INNO
AACGHN;IIRZ,ILPY
AACGIM;ANRS,EKPS,ENRT,GGGN,ISTT,KNRT,KORY,NORT,NRSS,RSTY
AACGIN;AMRS,ANRV,BKLY,BKRR,CESV,CJKR,DEHS,EHPP,FFIN,GGGM,HKSW,HLPY,HRRS,MRSS,OOPR
AACGIR;ADIL,BKNR,CDIL,CGNO,CHOY,CJKN,DLOP,ELLP,ELPP,HLLO,KMNT,KMOY,MNOT,NOOP,NOTU,NTTT
AACGIU;ELTV
AACGLY;BEHR,BIKN,EMOR,HINP,ILRT,IMNN,LMOO
AACHHL;EERT,EPRT,INPT
AACHKN;
AACHKP;DDWY
AACHKR;BCEG,EJMM,ELRW,EOZZ
AACHKW;CLLU,DDPY,ELRR,EMRT
AACHLL;CKUW,DOTY
AACHLN;BEEG,BEMR,EEMR,INOY
AACHLS;AAKK,CDOO,CEFK,IRRV
AACHLT;RRUY
AACHMN;BEIL,BELR,CEIL,DORR,EELR,EERY,EIOO,ETTT,IMOO
AACHMS;EGHU
AACHMT;DELY,EKRW,ENTT
AACHNO;BDIL,BITT,CTYY,DMRR,DNRY,ILNY,IMMO,IMOS,LNNT
AACHNR;GIIZ
AACHNS;DDEO,EEIN
AACHNT;CEOY,COYY,DETU,EENR,EERR,EMTT,EORT
AACHNZ;GIIR
AACHPS;AJOR,ANTY,BHTY,GOTY,HNNU,RTTW
AACHRS;AACR,AJOP,ALPR,BEXY,EJOP,GMPY,LMOP
AACHRT;AGNT,GHPY
AACHSW;BCNO,BDNT,BELT,ENPW
AACHSY;ANPT,BEPT,BERX,BHPT,BIRX,CFIR,ENPT,GOPT,ILOP,INOT,IPRT,LLPT,NNOT,NOTT,NPRT
AACHTT;ACPR,AGNR,BINO
AACHTW;CERT,DGRU,DOSS,EKMR,GLSS,MRST,PRST
AACIJM;
AACILL;BEPP,BIMY,CDIY,CTTY,DDYY,DIRV,EIPR,ERTU,IIPT,IOPT,OOPR,OPRT,ORTV
AACILM;
AACILP;AGGO,BEFI,BELP,DEIR,DIRR,EGLR,EGPR,EILR,LOOR,MPRY
AACILR;BBES,BSTU,CEOP,CIOS,COST,EGLP,EGPP,EILP,GPSY,LOOP,LOPT,LOTV,OPPT
AACIMN;ADRU,DINR,DRTU,GGGG,GKRT,PRTU
AACIMS;AADM,EGKP,EOPT,OTTU
AACINR;CCUY,CGJK
AACINS;BEEY,FILN,FIPU,GILN,HLOZ,INOP
AACIOT;ABBJ,ACCR,ALRR,BELZ,BFRR,BHRR,BLRR,CCEN,CCER,CDER,CDHL,CENN,CERT,CRTU,DEVV,EGLZ,ENNT,JLNU,LLRV,LNNO,LNNU,LORR,NNOZ,NNQU
AACIPR;BIOT,DGLN,DILR,EGLL,EGNY,EILL,FLOT,GLOT,LLOO,LLOT,OTTV
AACIPS;BCKK,CKKP,DINO,EGKM,EIMT,FINU,INNO,MNOO
AACIPT;EIMS
AACIRV;INNY,LLOT
AACISS;AAHL,OUVX
AACIST;AAGL,ABDI,ADHK,FLMU,GILL
AACITV;CHST,DEOV,EEUV,EOSV
AACITX;EGNV,EHLN,ELLP,ENOV,ILMN
AACJKL;GILN
AACJLS;MRUU,ORTU
AACJOU;DNTT,ILNT
AACKLP;
AACKPZ;
AACKRR;EEGP,EELW,EHLW,ELTY
AACKRW;EHMT,EMOR,GRSS
AACKSY;BCRR,EGRW,EJRS,IMNN
AACKTT;ABEL
AACLLN;BNNO
AACLLS;BBKL,BDOR,BKMP
AACLLU;ABMR,BCEL,BCLY,BEGO,BIIR,CHKW,EIRT,ORRY
AACLMT;ABCU,AGIR,BOOO,DEHY,EEER,IIPR,ORRY
AACLMU;AILN,CIMY,GINT
AACLNO;AHTU,BETU,BFRU,CEHT,EELT,HIIP,IJTU
AACLNR;AAMT,AMVY,BHOO,EEHM
AACLNS;FIIN,GIIN
AACLNT;
AACLNU;AHOT,COTT
AACLOS;BMRY,EFFG,EGHP,EJKP,EPPY,MMPY
AACLOT;AHNU,BEIZ,BENU,BMOO,IJNU
AACLOX;
AACLPR;AMNU,HINY,IMPY
AACLPS;MMOY
AACLPU;
AACLRS;FIOV,HKKM,JMUU
AACLRW;BDKY,EHMM
AACLSU;
AACLTU;ABCM,AHNO,AMNR,ARUV,CIRY,CLOR,CLRU,EGIV,EILR,EIRU,GOOR,NNOR,OORR
AACMNR;ADEL,ALVY,ANTT,BEHL,DIIN,DIIY,EEHL,EEHY,EFFI,EGIP,EGIT,EGTY,EHTY,EILP,EILT,EIPS,ELVY,GIIZ,IIST
AACMNS;AART,BOTT,OTTU
AACMNY;ALRV,CORT,EEHR,EGRT,EHKN,ELRV
AACMOY;BHRU,CNRT,EGLR,EMTT,GIKR,GLLO,HLPR,HRTU,ILLT,ILNT,INNX,INPR,IRRR,LRRT,NPRU
AACMRT;AADM,AELP,AGIL,AHIN,ALNU,ANNT,EGIN,EGNY,EHIN,EHIU,EHNY,EILN,ELUU,IILP,INPU
AACMSS;ACLT,ALPT,BKPT,CLTY,DOUV
AACMSW;EERR,ENOP,HRTT,LNNO
AACNNS;BDEO,BDEU,DENO,DGIL,DHLR,DIIR,EEMU,EERS,EILR,EMRU,ENOY,EOOU,ESTV,FIIL,GIIL,GIMP,HHPU,HOTY,IIOP,IIRU,NOTT
AACNOR;ASSU,BBES,BBSY,BDNT,BEKS,BFLU,BHLO,BSST,CCDE,CCDY,CLNU,CSST,DEGS,DHNY,DOST,DRSS,EESU,EPPV,GLTU,LNTU,RSTT,RSTW
AACNPT;CCEE,CCEY,CMOT
AACNRT;BDNO,CMOY
AACNRY;ALMV,BBOS,CCDO,CCIU,CMOT,EGIP,FIOT,IINV,IOTU
AACNST;
AACNSV;ABCK,EEOU,EHOT,IIRT,IOPR
AACNTT;BHIO,CIPY,CMOP,CNOU,DJOU,GIIV,GIRT,GIRV,HIIP,IINP,IIOP,IIOV,INOR,IOOP,IORT
AACNTV;ELNO,ELOT,ENSS
AACPPY;BILL,ELOS,ILMR
AACPRS;AHJO,AHKR,BCEK,BDKO,BEKP,BKMR,CEEG,CFMT,DOOT,EHJO,GHMY,HTTW
AACPSS;BKMT,CIIN,FFKT,OOTT
AACRRT;ABOU,AILO,BEKP,DEFT,DEII,EFRY,IINN,ILOO,INNO,LOOU
AACRRU;ABOT,ACIT,BHLY,BHNY,BILV,CLNU,ELNV,IMTU
AACRST;BDFK
AACRSU;BBDN,BIOQ,DDMO,DILL,DIQT,IINN,IIOV,JLMU
AACRTV;GHIL,GINT,ILLO
AACSSV;DELO,DMOU,EEPR,EERT,EHKR,EITU,EJKT,IOUX,LORT
AADDEL;AMPT,ANOT,APSY,EKNR,GLOP,HPSS,MNOW,MRSS
AADDER;EFLL,EGHY,EKLN,IILZ
AADDEW;LMNO
AADDHS;CENO,EEMT,ELPS,ENPS,IINP
AADDIL;BLMO,CCIT,CLYY,GILO,GMOY
AADDLN;AEOT,CEER,EEKR,EMOW
AADDOU;CENT,CITT,EILT,EIPT,ELOT
AADDRW;
AADDST;CEEU,EEHM,EETV,EMNN
AADDSU;BCEM,CEET,EEMR,EGHR,EMMN
AADEFL;IIKL,OSTX
AADEFR;AMQU,BCIT,BINT,CINU,CLOT,CRTT,HLNT,MOTY
AADEGJ;
AADEGL;AGNR,AGRV,ANTV,GIRV,INOZ,INVZ,LNRU,NQRU,RTTU
AADEGM;CHHU
AADEGN;AGLR,CEOT,CINY,DNOR,GOOR,ILOZ,ILVZ,KOOR,LLRU,LQRU
AADEGS;IIRS,RRRU
AADEGZ;GIRR,ILNO,ILNV
AADEHK;BCDN,BLLW,CPRT,MOTW
AADEIT;BBSZ,BHTU,CDJU,CEIN,CNQU,CPSU,DLOU,ENQU,EPTX,FFIL,LLMM,PPTT
AADEKM;HOTW
AADEKW;CEKL,HMOT,RSTW
AADELS;ADPY,ELRR,FOTX,LQRU,ORVW
AADELT;CCIM,ILMM,ISSS,MOOS
AADELV;AGGR,AGNT,COSS,ORSW
AADELY;ADPS,HIPS
AADEMM;ACIZ,ILLT,ILRZ,IRRZ
AADEMN;QRUU
AADEMT;AGLY,BILT,CHLY,HIIR,HKOW,IIRV,ILLM,RRSS,RRSY
AADEMZ;ENSS,IILN,ILMR,IMRR,INOT
AADENT;BGGO,CCER,CCIV,CEII,CERX,EGRU,EHUZ,EIQU,HOPY
AADENX;CERT,ERST
AADEPR;FFIN,IOQU
AADEPS;ADLY,NNPT
AADERS;AFFN,ALMM,EFHM,EGNO,EHQU,LLQU,LMMO,MNOO,MOQU
AADERT;CCOT,CFRT
AADERW;
AADEWW;KRST
AADFIR;BENT,EFNP,GIIR,GINS,GINZ
AADFLW;
AADFMU;AEQR
AADFNR;BEIT,EHLT,ELLT,GIIS,GIIZ,LSTT
AADFNT;BEIR,EHLR,EIMO,EITU
AADFRS;AEFN,BHLO,BLLO,EEHM,ELNO,GIIN,ILNY
AADFRT;BCEI,BEIN,CEEO,CEFI,CELO,CERT,EEGL,EGRU,EHLN,ELLN,EMOY
AADGGS;BDEN,BINN
AADGHR;
AADGIM;CENP
AADGIO;BNNN,BNRV,CEGP,CHPR,CLPR,EPRR,HPRR,HPRU,JNRU
AADGIR;AHSW,CLOP,DGNN,GLNN,LSTU,LTUY
AADGJU;INOR,INRU
AADGMN;
AADGNP;CEIM,ILPU
AADGNR;EGOO,EKOO,FIIZ
AADGOP;CEGI,EEGU
AADGRS;ILOT
AADGRU;CCEO,CEHM,EENR,ENNR,HIOP
AADGRY;ILOT,ILTU,MRTU
AADHIL;CCMO,CCOT,LMOO
AADHKN;
AADHMM;EEHR
AADHMR;EEHM
AADHNR;BORW,DDEH,DEUZ,EEEN,EIIT,EINX
AADHNS;BCIL,BMNU,CDEO,CELL,EETU,EGHI,EHLT,ESTV,IMNO,INOT
AADHNX;
AADHNY;CNOR,EOPT,IMOR
AADHPR;BCOT,CETU,EEHT,IIIO
AADHRS;EEFT,EEQU,IKWW,IRTY
AADHRZ;ABEL
AADHSW;AGIR,COST,IKRW
AADIKS;ACHT,BELN,EEWW,ESTU,HRWW
AADILO;APPR,BOPR,CCHM,CCHT,CETT,CGMT,CMRY,DGMY,EHNS,EHRT,EIPR,ERST,IKNP,IMMT,INTV
AADILR;AOPP,BOOP
AADILS;CFIL
AADILU;BELL,BLLY,BMNR,CESS,CESZ,ELQS,ELRT,ENNS,ENNZ,ENRS,ENSS,ENST,FINT,GMRS,GNPP,GRST,GRTY,IQRV,LOPS,NSSW,PRRT
AADIMN;EEOU
AADIMR;
AADINR;DGGN
AADINS;LSUW
AADINT;DILO,EEQU,EINV,GGIN,GGIV,GILV,GLOO
AADINV;EILT,EINT,EIPT,EITT,GGIT,GILT
AADIPP;ELLT,ELTT,EOSS,ETTT,GLNU,MORU
AADIQS;BLNU,CEEU,CRTU,ELLU,ENPU,ENRU
AADIST;ABCI,ACHK,BBEZ,BCOR,CCIU,CEPU,CQRU,EOPU,FFIV,HRRY,IOPR,OPRX,ORVY
AADISZ;AHMR,BBET,BERT,BHOR,CELR,CELU,EHRR,EHRZ,EILR,ELSV,ELTY,MNUV
