AAAARR;CC,CJ,JK,PP
AABEIL;BL,DR,GH,JL,LL,RV
AABEKT;BC,CD,EM,RY
AABELM;BL,FO,FR,FU,GL,JM,PP
AABELR;BE,BR,BY,CE,CK,CO,DE,DI,DO,DW,DY,EH,EW,FM,HW,IV,OR
AABELT;NN,NO,NP,PP
AABELZ;GR,IN
AABEMN;CI,GR,GY,IR,KR
AABEMO;FL
AABEMS;ER,IR,JU,RR
AABEMT;CR,DN,EK,EN,GR,GT
AABERS;CE,CF,CO,CR,EM,GG,GM,GR,MR,NP,PW,RW
AABERT;AH,DD,DE,DR,DV,ER,GM,KY,RR
AABERU;GL
AABERZ;GL
AABESS;AN,BI,CM,CU,DD,DI,DS,FN,IT,KN,OU
AABEST;AD,HN,HP,IN,IS
AABETU;DN,IO
AABETZ;
AABGGR;RT
AABGGS;EG,EM
AABGIM;CO
AABGIN;DE,DN,EL
AABGIR;DE
AABGKT;
AABGMN;AQ,ER,LU
AABGMS;DO
AABGOZ;NR
AABGRT;AU,DO,EL,EM,EO,GR,OT
AABGSS;DN,HN,HT,HW,IN
AABHIJ;MY
AABHIS;CC,RT,TT
AABHJN;
AABHKS;BU,CC,CL,CO,CR,CW,EL,GR,NR
AABHKT;CC
AABHLR;CI,DL,EE,EW,IL
AABHMR;CY,DE,EE
AABHMS;AT,CE,EL,LY,TT
AABHNV;
AABHNW;
AABHSS;BT,GN,GT,QU
AABHSW;CK,EL,LL
AABILL;AG,BE,BI,CD,EJ,EL,EM,LY
AABILM;OT
AABILU;CD,HT,MN,NN,NR
AABILX;FU,SU
AABIMR;CC,EN,HN,NU
AABINN;CC,CL,CN,CR,DG,DR,LU,MO,PR
AABINQ;
AABINR;EL,EM,EP,HM,LO,LU,MU,NP
AABINS;AS,CU,MO,OU
AABINW;
AABINZ;DD,EL,EO,RT
AABIRR;BC,CT,DO,EH,LT,OS
AABIRS;AC,BU,CS
AABIRZ;NT
AABISS;BE,CO,CR,CS,DE,ER,ET,GN,KN,LM,LT,MT,NT,OR,OY,RT
AABIST;AV,BC,CX,ES,IP,UZ
AABISW;
AABISZ;IL,TU
AABJNS;EX
AABJNX;DE,ES
AABJRS;MT
AABKMT;EE
AABKNN;
AABKNR;CD,EM
AABKNS;CP
AABKRS;DI,GH,OP
AABKSU;BH
AABLLN;DH
AABLLO;CL,GL
AABLLR;DH,DY,GY,KP,PT
AABLLT;DE,EK,EM
AABLMR;CY,EF,LO,NO
AABLMS;AO,CU
AABLNS;FO,SU
AABLOR;AG,AP,CE,CI,DE,DP,DR,DY,EP,ER,ES,IN,MN
AABLOV;EW,WY
AABLRZ;EG
AABLSS;BU,DN,KO,KU,NU
AABLST;
AABLTU;HI,MN,OY
AABMMS;CU,DE,IR,OU
AABMNR;EG,EI,EK,IU,LO,TU
AABMNS;DN,DR,HR,IL,IO,KN,OY
AABMNT;DE,EE,LU,RU
AABMNY;DL,DN,EL
AABMOS;BC,DG,LT,MU,NT,RU,SU
AABMOY;CC
AABMPS;
AABMRS;DN,EE,EG,ER,JT,OU,TU
AABMRY;CH,CL
AABMSS;CE,CU,OU
AABMST;HT,JR,RU
AABNNY;DM
AABNOR;CR,EE,EG,EH,GZ,IL,LM
AABNSS;AE,AI,DD,DG,DL,DP,DR,DW,EF,EK,EL,GH,GI,HI,IK,LU,OY
AABNST;CD,DH,EH,EL,ER,KR,LL
AABNSU;CI,DE,DR,IO,LS
AABNSW;EN
AABNSY;DH
AABNYY;CE
AABORR;DG,DI,DL,EL,ET,GM,RT
AABORS;AC,BC,BL,CE,EL,KP,LL,MU
AABORT;DG,DY,GT,MU,RR
AABORZ;GN
AABOSU;ES,IL,IN,MM,MR,MS,RR
AABRRS;CE,CK,CN,EG,EK,EM,EW
AABRRT;CI,DE,EE,EN,EO,ER,GG,IL,OR,RY
AABRSS;AK,DN,DR,DT,DU,IO,IT,KT,LT,OR,RT,RU
AABRST;CT,JM,MU
AABRSV;DO,EI,IO,RU
AABRSY;EK,IL
AABRSZ;
AABRTY;DO,EK,IU,RR
AABSSU;CE,CM,DR,EG,EO,ER,HQ,LN,MO,RR,TX
AABSTT;CO,CR,CU,EL,ER,HM,LU,OR,OY,TU
AABTTU;
AABTTW;
AABZZZ;ES
AACCDI;LN
AACCDU;EN
AACCEL;AN,ET,IN,IU,LY,PT,RR,TY
AACCHK;BE,BT,OZ
AACCHM;HU,NO
AACCHN;BT,MO,OR
AACCIL;AR,DN,EN,FR,GT,HH,HL,HP,NV,TT
AACCIM;AM,BR,DE,NU
AACCIN;BN,DL,EL,MU
AACCKR;OT
AACCLO;HT
AACCLP;HI
AACCLR;ER,FI
AACCMO;BT,BY,HN
AACCNN;BI
AACCOS;IR,PR,RU
AACCRT;AB,AT,BE,EN,EU,KO
AACCSY;
AACDDU;ET
AACDEF;HR,NT
AACDEI;AM,BT,DH,MT
AACDEL;AM,CO,TT,TV
AACDER;CR,ET,GG,GM,TU
AACDEU;AQ,CN,QY
AACDFR;EH,LN
AACDGI;NR
AACDHR;BK,CI,HK,IL,KP,KT,LY
AACDHS;EE,HN,II
AACDHT;KR,LO,NR
AACDIR;DN,GN,HM,HN,IU,MT,NT,NY,TY
AACDLU;BI,IM,IN,LY
AACDMP;HO
AACDNR;AI,BK,BR,DI,FL,GI,IL,IT,IY,MO
AACEFI;ET,FN,LM,LT
AACEFL;BE,CO,EP,HP,IM,MP
AACEFR;DH,TT
AACEGH;RU
AACEHP;IT,RT
AACEHR;GU,HU,MS,RS,SS,SU
AACEHT;AN,GN,IM,IP
AACEIL;CN,CU,FT,GN,GT,HL,HN,HP,IN,LN,NS,NT,NU,NV,NZ,OP,RT,RV,ST
AACEJR;
AACELN;AC,CI,GI,GY,HI,II,IZ,NO,OR,RY
AACELP;EF,FM,IO
AACELS;BC,BH,BK,IM,OV
AACELT;CE,ER,EU,GI,IM,IR,JU,MO,MU
AACEMO;GN,LT,NN,NR
AACEMR;DG,DH,HI,IZ,KR,NO
AACENN;AP,EI,ET,IT,LO,LU,MO
AACENP;RT,TT
AACENR;BL,ES,EW,LL,LO,LP,LY,MO,PS,SV,VZ
AACENT;AH,CU,DF,DJ,DO,DU,II,IN,IV,OU,UV
AACERS;BE,BR,EG,EH,EN,GG,GN,GV,HI,HR,IN,IP,IV,NP,NV,WY
AACERT;DI,IL,LY
AACEST;BK,KO,OP,OS,ST
AACESU;BS,HP,IQ,MQ,NP,WY
AACETU;AG,CN,EL,JL,LM,LN,NO
AACETV;EX,IN,IT
AACETX;EV,HU
AACFIL;BI,CR,EM,ET,LY
AACFIS;NT,RT
AACFLO;CE,IS,PR
AACFLU;
AACFNT;DE
AACFRS;GT,IT,LT,RU
AACFRX;ES
AACGGM;
AACGHN;AR,OR
AACGIM;BO,IN,MT,NN,NP,OP,RR,UU
AACGIN;DR,EL,ER,EY,GO,IM,IR,LL,LN,LO,LR,LV,MN,MP,PS
AACGIR;DN,EE,EN,ER,HP,HR,HU,IN,LN,LT,MR
AACGIU;HR,LL,LO,MU,NT
AACGLY;EN
AACHHL;CI,IK,IR,OT
AACHKN;BD
AACHKP;DR
AACHKR;BD,DP
AACHKW;
AACHLL;AZ,CI,CT,DI,EI,GO,IP,IR,LU,OR
AACHLN;AR,DE,DP,EI,EU,IP,MO,OO
AACHLS;AB,AZ,BE,BK,CR,ER,ES,IO
AACHLT;CL,CO,DO,HO,OR
AACHMN;CO,IN,IR,IT,IZ,LO,MR,NR,TW,TY,UY
AACHMS;BE,ER,ES
AACHMT;EI,IL,IN,NW,NY,OR,PR
AACHNO;CM,CR,DW,GR,LM,LO
AACHNR;AG,AL,CI,CO,GO,IK,IM,IT,MM,MN
AACHNS;DH,EP,IW,OP
AACHNT;BC,DR,EG,MW,MY
AACHNZ;IM
AACHPS;CT,DR,NO,NR
AACHRS;AY,BH,CL,EE,EL,EM,ER,ES,EU
AACHRT;DN,LO,MO,MP,OP
AACHSW;IN
AACHSY;AR,KR,KT,RW
AACHTT;IP,OU
AACHTW;MN
AACIJM;LO
AACILL;BD,BR,CH,DH,DP,EH,EM,FY,HP,HR,LY,MR,MT,PY,RY
AACILM;DN,DT,DU,HT,IN,IO,JO,LT,NT,OT,TY
AACILP;AB,AR,CH,DL,EH,EO,HL,LY,RU
AACILR;AC,AP,AV,BI,BL,BO,CF,CU,ET,EV,GT,IT,IV,LY,PU,QU,TY,UU,UV
AACIMN;AL,CU,DL,GI,GN,GP,HN,HP,HR,HT,HZ,IL,IT,KW,LT
AACIMS;AR,BD,DE,DO,ER,MR,PR
AACINR;CH,DD,DG,DH,DY,GI,HK,HM,IN,IP
AACINS;AP,BN,BU,EL,GP,HK,HW,KN,LL,LP
AACIOT;BN,DU,GN,LM,LT,MN,MR,MX,NR,NV
AACIPR;AL,CT,EO,ET,IN,LU,NO,NT,TY
AACIPS;AN,AU,BO,CT,EP,ES,GN,NT,OT,OV
AACIPT;ER,ET,MY,RS,RY
AACIRV;AL,HL,IL,LN,LU,TY
AACISS;BO,DI,EP,GL,HP,LO
AACIST;BB,BL,CI,CP,GY,HM,HP,LP,LY,QU
AACITV;AN,EN,ER,ET,GN,NO,RY
AACITX;AR,HR,MO
AACJKL;FP
AACJLS;
AACJOU;CR
AACKLP;BE,BY,FJ,FT
AACKPZ;
AACKRR;EM
AACKRW;BD,BP,CJ,EL,OY,TY
AACKSY;BL,BP,BT,BW,HR,HT,JT,PW
AACKTT;DE,ER
AACLLN;DK,RY
AACLLS;AV,BY,CT,FT,OO,RY
AACLLU;CR,DY,GI,HL,LO,MM,TY
AACLMT;AA,DI,EI,EO,EP,EU,HI,IL,IO,IY,OU
AACLMU;DI,GO,LM,OT
AACLNO;BI,BK,ER,GI,HO,IR,PR,TT
AACLNR;AH,BE,DE,DF,EL,EO,EP,ET,EY,LY,OP
AACLNS;AM,IP,MN,MS,PY
AACLNT;BY,NO,OT,VY
AACLNU;BU,DI,IT,IV
AACLOS;AB,ER,EU,EV,HM,LO,PR,RU,RZ,UU
AACLOT;CH,DH,EL,EM,HH,IM,MU,NN
AACLOX;
AACLPR;AI,IU
AACLPS;FT,NY,OT,TY
AACLPU;IR,IT,OT,TT
AACLRS;AM,AZ,BU,DI,DO,IK,IM,IR,LY,OU,OZ,UV
AACLRW;EK,EY,WY
AACLSU;BR,OR,OU
AACLTU;EE,EJ,EM,EN,IN,IP,LY,MO,OP,RX
AACMNR;AG,GS,HI,HM,HN,KT,PY
AACMNS;AL,AP,GR,JK,KP,KT,LN,LS,LT,OR,RU
AACMNY;AD,CL,DN,HT,HU,PR
AACMOY;BC
AACMRT;BE,DI,EE,HP
AACMSS;BU,DH,HY,LN
AACMSW;
AACNNS;AR,BI,BK,IK,IT,LM,LU,OZ
AACNOR;BR,CH,EH,EL,GH,LP
AACNPT;EL,ET
AACNRT;DH,KM
AACNRY;DI,EL,ET,GV,LL,LU,MP
AACNST;BD,GJ,KM
AACNSV;AR,CE,CI,DE,EL,ER,HR
AACNTT;IL,LO,OY
AACNTV;AI,EI,EU,GI,IO,LY
AACPPY;OR
AACPRS;CO,DE,DH,DU,EM,EN,ET,EU,HN,KT,NT,OP,OU
AACPSS;HI,HK,NT,TW
AACRRT;BI,DO,EU,FI,FW,IT,OV
AACRRU;ET,LM,LO,MN
AACRST;BT,FG,KP,TT,WY
AACRSU;AM,AN,BL,CL,CO,DP,HT,LN,LO,LP,LT,LV,MN,NT,OP,OT,TV
AACRTV;IY,OR
AACSSV;CE,EG,ES
AADDEL;ET,FL,HN,NS,TU
AADDER;DE,GG,GT,HH,HZ,IT,MU,MY
AADDEW;
AADDHS;EH
AADDIL;CN,NO
AADDLN;CI,EH,EI,IO,LY,RW,RY
AADDOU;
AADDRW;LN,NY
AADDST;
AADDSU;
AADEFL;DL,FT,HT,IR,LR,RY,TT
AADEFR;CH,IL,IS,IZ,LL,LY,RW,WY
AADEGJ;TU
AADEGL;BR,EM,ER,ET,HN,IL,IT,LT,MN,MY,OP
AADEGM;EL,LY
AADEGN;AF,AP,ER,GZ,HL,HR,IR,IT,RR,TV
AADEGS;CK,EH,FR,GR,HR,PS,RY,SU,SW
AADEGZ;GN,IT
AADEHK;BR,EL,MR,TZ
AADEIT;BC,BL,CM,GL,GN,GS,GT,GZ,HO,LN,LP,LT,MN,MS,NP,NT,SS,ST
AADEKM;
AADEKW;EN,ER,LR,NU
AADELS;AM,BL,BM,BN,BO,BR,BW,BY,DN,ET,HP,HR,LO,LP,MN,MO,NR,NT,NW,NY,PR,RY,TT,TU,TY
AADELT;CF,CT,CV,FF,FH,FT,GI,GL,IT,IV,OX,ST
AADELV;BE,CN,CT,ET,GS,RT,TU
AADELY;BS,GM,MZ,NS,NZ
AADEMM;
AADEMN;AC,AP,CI,IN,IP,IR,KR,UZ
AADEMT;AT,CI,HS,IS,LP,OR
AADEMZ;AI,IP,LY,NU,WZ
AADENT;AV,BU,CF,CJ,CO,CU,EP,ET,GI,GV,IP,IR,IT,RR,RT,UV
AADENX;BJ,BU
AADEPR;EP,GM,GY,HP,IP
AADEPS;DN,EP,LL,MN,OT
AADERS;FG,GG,GH,GM,GV,HJ,HL,HS,JM,KM,LN,MS,NV
AADERT;BB,BD,BO,BR,BT,BV,CH,MO,NR,NT,OR
AADERW;GM,KL
AADEWW;
AADFIR;EL,ES,EZ,MS,NU
AADFLW;OR,OY
AADFMU;
AADFNR;CL,EF,HM,IU,LM
AADFNT;CE,II,LL
AADFRS;AB,AY,EG,EI,GU,IM
AADFRT;
AADGGS;
AADGHR;IP,TU
AADGIM;GN
AADGIO;LL,LN
AADGIR;BE,BN,CN,EN,ER,HP,LL,NP,NR,NU,NW,QU
AADGJU;ET
AADGMN;GI,IM,OP
AADGNP;AE,IT,MO
AADGNR;BE,BI,CI,EE,EH,EI,ER,IR,IU,IW,UV
AADGOP;EL,MN
AADGRS;BB,EF,ET,EV,II,IV,OP
AADGRU;DN,EG,ET,HT,IN,IQ,MR,NT,NV,RW
AADGRY;
AADHIL;CL,CR,EN,ER,LR,NR,RT,RV
AADHKN;BC
AADHMM;CR
AADHMR;BE,EK
AADHNR;AT,BE,BI,EG,EL,EV,IL,IR
AADHNS;BG,BT,CH,EM,EP,EX,FT,IP,PS,TT
AADHNX;
AADHNY;LP,MN
AADHPR;CK,EP,GI
AADHRS;EI,EJ,EL,EW,HT,LY,WY
AADHRZ;DE,ER,RY
AADHSW;ER
AADIKS;BD,BR,DI,LY,MN
AADILO;CN,CZ,DN,GN,MN,NR,PS,RR,TU
AADILR;AU,GL,HL,HV,KL,KY,LP,LY,OR,PY
AADILS;BI,BN,GN,IN,IV
AADILU;AR,BC,CM,CN,EM,OT
AADIMN;BO,CE,CL,CO,DH,EN,EP,ET,GG,GM,LN,LO,LP,MX,OT,UV
AADIMR;CT
AADINR;AC,CD,CG,CH,CY,FU,GP,GU,KQ,OP
AADINS;GI,GL,HP,IL,IO,LP,NN,NP,OP
AADINT;EG,EL,EM,ET,FI,HO,LT,MO,NO,OV
AADINV;LN,MU,OT
AADIPP;ER
AADIQS;
AADIST;AR,EG,EM,ER,ET,GH,MP,MZ,XY
AADISZ;EN,MT,OP
AADKMS;IN,NR,RY
AADKNS;AW,BN,CE,ET,IM,MR,RT
AADKPU;
AADLLS;CE,EO,EP,GW,IR,IY,LN,MR,NW
AADLMP;EH,EN,ET,IN,LY
AADLMW;
AADLMY;BN,EZ,HO,LP
AADLNO;DI,IR,LY,ST
AADLNS;AM,EM,ER,ET,EW,EY,FT,HW,II,IP,IR,LL,LW,MN,MO,OP,OT,OZ,RY
AADLNU;CI
AADLNV;CE,CI,IN
AADLOP;BR,EG,GR,IS
AADLPR;BO,GO,GW,IL,IN,IY,KN,NO,PW
AADLRU;AI,BM,HY,KT,OT
AADLSS;CO,HP
AADLST;EE,EN,ET,EU,EY,FN,NO,OR
AADLSW;BE,BR,EN,GL,HN,LN
AADMMN;GI,IX,OW,SU
AADMMR;CH,CO,CU
AADMMS;AC,GI,NU
AADMNS;AL,AT,LO,LS,LU,MU,TU
AADMOU;HN
AADMPS;AP,EN,HO,IT,OP,PU
AADMRS;EJ,EK,ES,EY,KY,LL,LO,OT,RY
AADMRU;BD,BL,CM,DE,EL,ER,GR
AADMRZ;IN
AADMSS;AR,CH,DI,GR,HI,IN,LN,NR
AADMYY;
AADNNP;EJ
AADNNR;BI,IM
AADNPR;DE,IL,KL
AADNPS;BS,DE,EH,EM,HI,HS,IL,IO,IT,LO,OS,TT
AADNRS;EL,EV,LY,QU,RW,RY,WY
AADNRT;CH,ER,ET,QU
AADNSV;CE,DV,ER,OU
AADNSY;EL,ET,GR,LR,OW,RR,RT,RW
AADOPS;CE,ET,HM,IL,IN,IZ,LN,LY,MP,TT
AADPPY;
AADPST;EO,ER,IM,IN,NT,OR,OT,TU
AADPSW;
AADPSY;CK,IU,LO,OU
AADPYY;
AADRRS;IL,IN,IW,IY,MY,NW,NY,OP
AADRSW;BL,BR,GY,HY,IM,IR,MN,NR,NY,OY
AADRTU;GH,GN,KL,LO
AADRTY;BO,CI,CL,EL
AADRVW;
AADSSZ;
AAEEGL;BG,CR,CV,DM,DR,IN,IP,LN,RY,SV
AAEEGT;BN,DH,NR,RW
AAEEKK;HR
AAEELP;BR,CF,CH,DP,GI,NS,NU,PR
AAEELT;CC,CH,CS,CU,IN,KW,NS,SS,UV
AAEEOZ;
AAEEPR;BL,BM,CV,DP,DS,FG,GM,LP,MS,PR,PS
AAEERT;BR,BT,GN,NT
AAEFFR;LL,LP,LT,RY
AAEFGN;AD,IR
AAEFGR;EP,GT,HW,IN,TU
AAEFLM;BO,BR,BU,CI,CP,OT,TT
AAEFLR;BM,DI,DL,DY,FL,FT,II
AAEFLV;
AAEFNR;GI
AAEFNS;CE,DZ,FR,IT
AAEFNU;IN,IP,LU
AAEFRS;DI,ER,ET,IR,MT,MU,QU,RW,WY
AAEGGL;BE,BY,NR,NU
AAEGGR;IN,IR,LN,MM,OP
AAEGGV;
AAEGLM;AX,BL,DE,DY,IS,LM,LS,PY
AAEGLN;BH,BI,BW,CI,CY,DH,EI,EL,HP,IP,IT,PP,PT
AAEGLR;AT,CE,DE,EY,TY
AAEGLS;AB,BF,EF,EK,HP,HU,HY,LM,LS
AAEGLT;BI,BR,CI,DI,FO,IN,IT,NP,NR,NU,RY,UV
AAEGLV;CE,MN,TU
AAEGMN;BY,CP,IP,IZ,PY
AAEGMR;GM,HX,IR,OR,OS,RV,RY,SS
AAEGNN;IR
AAEGNT;BE,DI,IL,LU
AAEGOR;BN,BT,CC,GP,MR,RT,TT
AAEGPR;CK,DY,EF,GO,LL
AAEGPS;AN,CK,GO,HL,IN,NN,NT,NW
AAEGPV;
AAEGRV;CI,MN
AAEGST;FF,MT,SV
AAEGSV;NT
AAEGTU;AC,DR,FR,LL,LN,LV,MR,NR,NV
AAEHKP;
AAEHKS;BL,RY
AAEHKT;DZ,ER,MR
AAEHLM;BS,DP,ER,IN,NW,SY
AAEHLT;DF,OP
AAEHMS;BC,BL,CR,LY,NR
AAEHMT;AN,CI,DE,IN,KR,MO,NP,NR,OP,OR
AAEHNT;AC,AM,IM,IP,IS,MP,MR,PS,TX
AAEHNY;MP
AAEHPR;CT,DP,ET,IL,LS,LX,MO
AAEHPW;
AAEILM;DU,IP,LM,LR,LX,MX,RT
AAEILR;BN,CT,FI,HP,LM,LT,LY,MT,NP,PT,PX,RT
AAEILV;BT,CN,JN,KL,LT,MN,NT,TX
AAEILX;MM,TV
AAEIMN;BR,DN,DP,DR,GO,GP,GZ,OX,PR,RR,RZ
AAEINT;BR,CI,CN,CR,CV,DG,DR,DT,FN,FX,GR,GV,JR,NT,OR,RT,RU,RW,RZ,TT
AAEIRS;CH,CM,CN,CV,FF,FR,GN,GR,GV,IR,IV,MR,MU,VW
AAEITV;BL,CN,CT,GN,LL,LN,LX,TX
AAEKLM;RW,RY
AAEKLN;BB,DL,DR
AAEKLS;BC,BH,BI,BL,HT,IL,PR
AAEKMW;LR,RR
AAEKNN;
AAEKNS;DT,EM,GT,HT,II
AAEKNW;DE,ER
AAEKRS;CC,DP,EW,HY,KO,KY,LN,LP
AAEKRT;AK,BY,CE,CG,CT,EH,EM,HM,MO,MR,OY
AAEKSW;BD,ER
AAELLP;BC,BP,BY,GI,IP,MU,NU
AAELLU;BD,BV,CF,GT,IL,MP,NP,VV
AAELMR;BF,EH,EL,IL,IT,KY,LL,NT,PT,PX,SY,TT
AAELMT;AX,CI,CU,FT,IR,RT
AAELNN;BB,BT,CO,CU,DE,ER,NT,OT,TU
AAELNP;BS,BW,DM,ES,GH,GI,GP,HI
AAELNT;BN,BO,GR,GU,NN,NO,NU,RX
AAELOR;BD,BP,LV,TY
AAELPP;DE,DL,GN,IL,IZ,MY
AAELPR;HI,HX,IX,MX,WY,YZ
AAELPS;BN,BY,DI,EN,NU,WY
AAELPT;BH,HO
AAELRT;AG,CI,CN,CY,FF,FW,GN,GY,IM,IR,MN,MT,NT,NX,OY
AAELRU;BG,CS,ET,GN,TV,ZZ
AAELRV;GS,LO
AAELST;DE,DU,DY,IX,OX
AAELSV;CN,CO,CR,HS,NO,NS,PR
AAELTV;DE,DI,IN,IX,MP
AAELTZ;CY,MO
AAEMMM;
AAEMNP;AD,DI,DL,EJ,GI,GY,HY,IR
AAEMNS;EK,EL,HR,LS,LW,LY,MU,OR,OW,RU
AAEMNT;AH,OZ
AAEMNX;IO,LO,TU
AAEMRS;BE,BG,BI,BR,DG,DI,DJ,DY,EP,FU,GN,GO,GP,GW,HN,IP,IR,IU,LM,LW,LY,MM,NO,NP,NU
AAEMRT;BC,DO,HK,HO,KO,KR,LT,OT,OX
AAEMSS;FO,IL,IN,LN,LP,LT,LY,NT,PP
AAEMST;CE,DI,EG,ET,EX,FK,GT,IM,MO,MT,OT,OY,QU
AAEMSZ;
AAENNZ;IL
AAENOP;AR
AAENOZ;BI,BJ,HL,MT
AAENPS;AG,BL,BR,DD,EL,GN,GW,LR,LU,PR
AAENPV;AR
AAENRS;BP,CD,CE,CG,CI,CP,CV,DI,DV,EG,ER,FF,GI,GM,GR,GW,HM,HP,IP,MO,MP,MU,OU,PP,UW,YY
AAENST;BH,EU,EX,HK,OS,SZ
AAENSU;CP,ET,LP,MM,MR,MT,NT,OR,RW
AAENSW;BN,GI,GP,GR,LM,LY,MO,RU
AAEORT;CP,CV,DM,DP,EL,GT,HM,IN,KM,KY,LY,MN,MT,MX,NU,TV
AAEOSZ;BG,PT
AAEPPR;CO,DE,DH,DI,ER,GW
AAEPRR;BK,EP,KT,PT
AAEPRS;BK,BN,BW,CM,CN,CU,EM,HN,JO,MN
AAEPRT;QU
AAEPRZ;IT,LY
