AAB;AITV,DDIK,EFGU,EGGG,IPUX,KOOZ,NNOZ
AFG;ABEU,AETW,CEIP,EETW,EITU
AFH;CGIN,DDEN
AFK;ABCT
AFL;
AFN;
AFO;BCIT
AFP;CCII,CEGI,DOOT,EFKO,ENOY,GKNO,HINS,HOOT,HOTU
AFR;
AFS;
AFT;
AFU;ABEG,DEGO,EMOW
AFW;EMOU
AFX;BEOR
AFY;CEIT,CIKT,HIKU
AGG;
AGH;DDEO
AGJ;BBIN,BIMN,CEKL,CIKN,IMMN,INZZ
AGK;ACEE,ACEP,AEEL,CEJL,EEEL,EELL,EIPP,EIPR,EMRY
AGL;
AGM;
AGN;
AGO;BBOU
AGP;IILT
AGR;
AGS;
AGT;LLPY
AGU;BBOO
AGV;
AGW;BMOR,HHIY,HORT,MORR,ORRT
AGY;
AGZ;DIRZ
AHH;BCII,CCKU,CDDU,CERU,CERX,IKKR,IMNU,MPRU
AHI;AAGP,APTZ,EETZ,EPTZ,ETTW,TTWW
AHJ;AAKW,CCSU,ELOW,GMNO
AHL;
AHM;
AHN;
AHO;
AHP;AAGI
AHR;
AHS;
AHT;DDIY,DIIJ
AHW;GHIY
AHY;
AIJ;ABMY,ADMN,AGGN,AMNP,APPY,BGMN,CDIT,CUZZ,DEET,DEMR,ERZZ,GGGN,GGIJ,GMMN,GNZZ
AIK;
AIL;
AIM;
AIN;
AIP;ABUX,HOXY
AIR;
AIS;
AIT;
AIV;ACOP,BCOU
AIW;AAHK,BEKY,CEKP,CKMP,GHHY,KKOO
AJK;AAHW,ALWY
AJM;AACR,AADR,ACKN,ADER,ADIN,AINT,AKNR,ANZZ,CEKN,DEIR,EIKL,EKNR,ENZZ,GIMN
AJP;
AJR;CETT,DEIM,ENOZ
AJT;ACGN,ACPU,CDII,CHIN,CPUU,DHII
AJW;AAHK,ACDK,AFLL,AKLY,BENO,CKLO,DLUU,EHLO
AJY;ABIM,AIPP,AKLW,BDIR,BELU,DDEL,LLRU,LMOR,MNRU
AKK;
AKM;HPTU,JNNU,JNTU
AKO;CDDD,DOOW
AKP;
AKR;
AKS;
AKT;
AKU;
AKW;
AKY;DEEW,FHIU
ALL;DDRU
ALM;
ALP;
ALR;
ALS;
ALT;
ALU;
ALV;
ALW;
ALX;
ALY;
AMM;
AMN;
AMO;AADD,ADPP
AMP;EEMY,NOOP
AMR;
AMS;
AMT;
AMU;BBEZ
AMW;IILL
AMX;
AMY;
ANN;
ANP;
ANR;
ANS;
ANT;
ANV;
ANW;
ANY;
AOP;EIMO
AOR;
AOT;
AOV;ACDO,ACIP,ACTU,CDEU,DUUX
AOZ;AAPR,BIKU,CDMR,CDRU,CKWZ,IMRU,MSUY,OSTU,OTXY
APP;
APR;
APS;
APT;
APV;ACIO,AHIL,ALOV,CIRY,ILLU,ILOT,IRTY,LNOO
APW;
APX;AACR,AAIR,ABIU,ACIR,ACKW,ADIT,ADOR,BOOS,DIIY,HIOY,HNRY,HSYY,ILNS,IORR,LNTY,OSTT
APY;DIIX,HIOX,IZZZ
APZ;AAOR,ADIO,AHIT,BEIT,EGIN,EHIT,GINP,IMNO,LOOY
AQT;DDIZ,IKMO
AQU;CCOS,EOSU,LORR,LORS
ARS;
ART;
ARV;
ARW;
ARX;AABS,AACP,AAIP,ACIP,ADOP,AGLV,AHNT,AILL,BEIU,BENU,BEUU,EENN,EFFI,EFIN,GILW,HNOS,KOWW,MOWW
ARY;
ASS;
AST;
ASU;CCOQ
ASV;
ASW;
ASX;AABR,BCHO,BCOR,BOOP,HPYY,OPTT
ASY;
ASZ;AKKU,AMMU,BHIM,BJOZ,BNTY,BUWZ,CHLM,FIMU,HLMT,HMOR,OOTU
ATT;AGGN
ATU;
ATV;
ATW;
ATX;LNPY,OOYZ,OPST
ATY;AAAL,CDII,DDHI,DIIV,IINN
AUV;BCIO,DOUX,GGIN
AUY;AKLM,AOTT,BBEL,BEJL,BLLL,FHIK,FITT,FLLW,LORV,ORVV
AVV;ADDN,ORUY
AVW;
AVX;AGLR,AINT,CEEL,DOUU,EILL,ELOR,EORT,IIIL
AWW;DINY,DOOX,GINX,HITT,KORR,KORX,MORX,NORR,NORY
AWX;ABEL,ACKP,ADOW,BILL,DOOW,EIKL,ELLM,GILR,KORW,MORW
AWY;BEIK,GHHI
AWZ;EHIL,GINN
AXZ;EINO,ELOO,OOTY
AYY;BDLR,CDHR,CHLM,CLLR,DHLO,DILL,DIMR,HLLP,HMNR,HNRV,LLLO,LLOR,LLOT,LNOP,LORT,MRRT,NNRT,VZZZ
BBE;CEHO,FRUY,HMTU,NOTW,PRUW
BBI;ACGN,ACKT,ADGN,ADTY,AGGN,AGNN,AGNT,AGNU,AGNY,AKNO,CCKO,CGNU,CNOU,DGIN,DOOR,FGIN,FGNU,GGIN,GGNU,GILN,GINN,GINR,GLNU,GNPU,GNRU,GNTU,IILM,KTUZ
BBO;BITT,DEEN,ENTW
BBU;CGIN,EHMT,FGIN,GGIN,GINP,GINT,IKTZ
BCO;AATT,DHOU,DINW,OPYY,OTTU,OTTY
BCU;AAMM,AATT,AIOV,OOTT,TUZZ
BDE;
BDI;
BDO;
BDU;
BEE;AEMY,IQUZ
BEG;AABC,AAFU,AAGG,AEPW
BEK;
BEL;
BEN;
BEO;
BER;
BES;
BET;
BEW;AADK,ACHT,ACKT,AEGP,AIKY,CHIT,ITTX
BEY;
BEZ;EENN,ORST
BFI;ACKN,ACKT,ACLO,ACOT,AENU,AGLN,BGIN,BGNO,BGNU,CEEN,EEGN,EGIL,ELNU,ELPY,GOOT,ILMO,LOTY,MOYZ
BFO;ACIT,AGOT,BGIN,DEEX,DEOT,EOTW,GIOT
BFU;AAEG,AEET,AEIN,BGIN,EENR
BGI;UWZZ
BGO;ACHK,ATTU
BGU;AAEF,ABOO,ALLM,AOTT,BILL,DGLO,DLLO,ILLP,IWZZ
BHO;ADJN,AILN,ALUX,BGIN,CIKU,CIKY,DERY,EENN,EINP,ELLP,ELLX,GHIY,ILLY
BHU;BOOW,MUZZ
BIJ;AAMY,ACNO,AGMN,AGOO,ANOT
BIL;CCUY,DFIY
BIM;DFIU,EGIT
BIN;BCOU,CCOO,HIIN
BIO;BCNU,CHKU,CHKY,EEHP,MNOY
BIR;
BIS;
BIT;BKUZ,GGIY
BIZ;AGIN,AGLN,AGNR,AGNZ,AKOU,AKRT,ALNO,ALSY,AORR,BKTU,GNOO,GNOR,GNUZ,GUWZ,HOSW,LOOY
BJO;AGIO,BIMO,BLOW,NORU
BKO;IILT
BLO;MUXY
BMO;
BMU;AACM,ABEZ,AIMT,CJKU,HUZZ
BNO;
BNU;IILQ
BOO;
BOP;AACI,AGIT,AGLY,AILY,ALYY,DNUU,GINP,ILLX
BOR;
BOS;
BOT;
BOW;ACCK,ADOY,AGNY,BHOU,CDIN,DDOU,DGOO,DINO,DNOW,DOOW,GNOY,HNTU,KNOT
BOX;ABDN,ACEK,ACHS,ADNS,AOPS,BMOO,CCMO,CKLO,CKTU,DLOO,EHLL,EJKU,FHIS,FUZZ,LOOT,LOPT,MOOR,OOPR,OPST
BOY;
BPU;BGIN,DILU,DNOU,GILL,ILTU
BRR;OOTY
BRU;
BSU;IIOV,IOOV
BSY;GINW
BTU;BIKZ,CUZZ
BUY;CCIL,CEEK
CDI;CLYY,IILP,ILLY
CDO;
CDU;ADHH
CEE;AFLU,AGIL,ANNY,ELLU,GLLO,ILLM,LLLU,LLNO,MNOW,NNOU,NNOV
CEH;DGGU
CEI;ACHH,CEHK,CHKU,HHOO,IKQU
CEL;
CEO;AFFF
CEP;
CER;
CES;
CET;
CEU;AAMQ,IMOQ,IMOZ
CGI;AAEP,AEEL,AEFP,AELP,AELT,AITU,DELU,EEIP,ELMP,HILM,HLPY,IKMM,LPTY
CGO;ADEF,AEMP,AKMM,DEEO
CHI;EHOO
CHO;
CIK;BBCO
CIM;GINN
CIP;DDIO,GNNU,GNPU,IINT
CIS;BILY,CIIL,CILN,IOUV
CIT;AFFI,IINP
CIY;ACFL,AFFN,AFLN,AFLO,CDLO,CDLY,DFLU,DLLU,FHMY,FLMO,GNNS
CLO;
CLY;BCIU,CDIY,DFIU,EKLR
CMO;
CMU;EEEN,EIOQ,EIOZ,EMNO,EMOT,EOOT,ERRY,FNOY,NPTU
CMW;ADOO,AENR,AIKP,AORT,EELO,EENR,EIOR,ORTU
CMY;BHIL,FHIY,FIIR,HIRR,IIMR
CNO;
COO;ABIR,GRRW
COP;DDII
COR;
COS;IIUV
COT;
COW;ADMO,BDIN,DNTU,DOTU,NOTT,NOTW
COX;BCMO,BKLO,BKTU,EELT,ELMP,ENTT,FLNU
COY;AEHT,BOTT,EITT,ITTU
COZ;AANN,AANT,ADMR,ADRU,AHMR,AKWZ,HMOS
CPU;GINN,GINP,HIRR,IRVY
CRU;ACMU
CRY;CHHU,EFKL,EHLN,EKLL,EKNW
CTU;AABT,AAWY,BUZZ
CUZ;ABKM,ADOR,AEIQ,AHLT,AHPT,AIJZ,ANRY,BTUZ,EIMO,HMST
DDI;AABK,AABN,AAIK,AAIV,ABNS,AHNP,AINS,AIPS,AKPS,APRS,ARZZ,BGIN,CIKN,GIKN,GILN,GINR,IKLS,IQTU
DDO;CKPU,CKRU
DDU;BOOW,CKOP,IIQT
DEE;
DEF;
DEG;
DEH;CCTW
DEI;
DEK;
DEL;
DEM;
DEN;
DEO;
DEP;
DER;
DES;
DET;CCHW
DEU;
DEV;
DEW;CCHT,HMPU,HPPU
DEX;CITU
DEY;
DEZ;BEER,BELZ,BILT,DHNU,DIIZ,EETW,ENNT,GILT,GLUZ,IIIR,IIRT,IIRZ,ILMZ,ILRW,ILRZ,IQUZ,LNUZ,LPUZ,LUWZ
DFI;ACCL,ACIT,ACIY,ACLM
DFO;
DFU;BBLU,BIIM
DGI;IMOP
DGO;BDIR,IIMP,IIRT
DGU;BGLO,BLLO,MOOW
DHI;ABIT,ADTY,AGRR,IOPX,IORZ,MOPR
DHO;CIIM,IIPX,IMPR,IMRU,JPRU
DHU;BCIR,BCOO,IINR,JOPR,LMOO,MMRU,OOPR
DIK;
DIL;
DIM;
DIN;
DIP;BLUU,CDIO,CDKO,GHLY,GLUY,HIOX,HLLY
DIR;
DIS;
DIT;
DIU;DELP,ELPP,EPPP
DIV;MRUU
DIY;BNOU,FMNU
DJU;ALUW,BELM,CIIR,EEEN,EEQR,EINP,GGIN
DLO;
DLU;
DMO;AAAD,AAPP,ACDK
DMU;EENW
DNO;
DNU;
DOO;
DOP;CDII,CDIK,CIIT,GIIM,HIIX
DOR;
DOS;
DOT;
DOU;
DOW;
DOX;AABR,AAPR,AAWW,ABBN,ABNS,AOWW,BLOO,BOOW
DOY;
DOZ;ACMR,ACRU,AMRT,CIIN
DPU;AALL,AALP,AATT
DRU;
DRY;
DSU;
DUW;AEFF,AEGH,AORT,BDOO,BEER,BMOR,CDEE,COOT,DGIN,EEGM,EEOT,EHMP,EHPP,EIOT,ELZZ,EORT,GMOO,MORT
DUX;CEIT,EFIN,EGIN
EEF;EFFO
EEG;EETX
EEJ;
EEK;CCOY,HOOY
EEL;CCIN,CCNU,CELU,CINU,CLLU
EEM;ABEY
EEN;CCLU,COOZ
EEP;
EER;
EES;
EET;EEGX,GIOZ,IUXZ
EEV;BEHI,CCHI
EEW;
EEY;ABEM,BCKU,CCKO,CHQU,HKOO
EEZ;BIQU,CDNO,CHIO,CITT,CNOO,DDNO,DNNT,HIOR,ILOT,IORT,ITUX,KRRU,LLOR,LOPP,LPRT
EFF;AABN,AALL,ABKO,ACHR,ADQU,AELL,AKOP,AOVW,EGLU
EFG;AABU,AATW,ABRT,ACIP,ACOT,AETW,AGGO,AGMO,AOOT,ARRT,KOOP
EFH;ADDN,ADRW,AIRW,ALOR,ALRZ,DELU,DFIW,EEKR,FILW,FIRW,LLPU,LOOX,LOPU
EFI;
EFK;GOOP,LMNO
EFL;
EFM;DIIW,DIOW,GILN,KLNO
EFN;
EFO;ABFK,ABFT,ACGT,AFKP,AFKT,AGGG,AGGM,AGOT,AMUW,BOTW,EMTT,GKOP
EFR;CCHU
EFS;
EFT;
EFU;AABG,ABET,BBIR,CCHR,IRRR,IRTV,PRTY
EFW;AFOV,AMOU,DNOR,NORR
EFY;
EFZ;EGIN,IOST
EGG;FIIR
EGI;AACP,ACFP,ARUY,CEIP
EGK;AANT,ABOR,AIPP,AKNO,FOOP,LORW
EGL;
EGM;BIIT,HIPT
EGN;
EGO;FKOP
EGP;FKOO,IIKL
EGR;
EGS;
EGT;CDEK,EEEX
EGU;
EGV;
EGY;IPSS
EHH;AADD,DMPU,EORU
EHI;ABBC,ABTU,ACCH,AETZ,APPT,APTZ,BITX,BNOP,CEOZ,CHOO,COPU,ENNY,JNNO,MPPX,OOPW
EHM;DIMW,DIUX
EHN;CLNU,EFLM,EIKL,GLPU,IILP
EHO;
EHP;
EHR;
EHS;
EHT;DDDU
EHU;AACP,ABBC,ABCE,ACCP,AEPV,AMZZ,BBMT,BMOT,BMPT,CENP,CEOV,CINP
EHW;DDDI,DDIR,DFFI,DIMM,DIRR,DIZZ,FFIR,IRZZ
EHX;AALP,AAPS,ACCY,AGNO,ANRT,ARSY,ASTU,BIIT,BLLO,DIMU,FLOO,IMPP,NOPY
EHY;
EIK;CIQU
EIL;
EIN;
EIP;AMOO
EIR;
EIS;
EIT;
EIV;MUUX
EJO;AAPR,ADMR,ADPR,CEIR,CERT
EJT;FILO,GILN,GINT,INTW
EJU;ADDN,ELLM,JMNU
EJW;ABNO,AHLO,AIKL,AILN,INTT
EKL;
EKN;
EKO;AEKO
EKP;
EKR;
EKT;
EKU;AOTT
EKW;CDGU
EKX;ABCO,ACIP,BJOU,EELN,ILSY
EKY;
EKZ;ALOV
ELL;
ELM;
ELO;
ELP;
ELS;
ELT;
ELU;
ELV;
ELW;
ELX;BHLO,DEVY,EEKN,GNOY,LNOY
ELY;
ELZ;CCIY,DGIT,DIIO,DIRW,EKMR,ELOR,EOPP,EPRT,IINP,ILOR,IOPP
EMM;
EMN;
EMO;
EMR;
EMS;
EMT;
EMU;AABJ,AACQ,ABBZ,ABJX,ADDW,IUVX
EMW;DFII,DHPU,DIIV,HIPR,IIPR
ENO;
ENP;BLLU
ENR;
ENS;
ENT;
ENW;
ENY;
ENZ;DDHU,DENT
EOP;
EOR;
EOS;AEUU,AIQU,AQUU
EOT;
EOV;
EOW;EPTU,PTTU
EOX;AGMY,ALOZ,BHLL,BJKU,IQTU
EOY;ACCP
EPP;
EPR;
EPS;
EPT;
EPW;AACY,AAGN,BBRU,CKOO
EPY;
EPZ;AAOT,DLOT,ELOP,OOTY
ERR;CEEH,CEEP,CEHP,CEKW,EEGN,EENP,EENW,EGPP,EHTW,EIKK,EKKT
ERS;
ERT;
ERU;
ERV;
ERW;
ERX;AENN,DIIT
ERY;
ERZ;BELU,CIIN,DIII,DIIZ,DILW,DILZ,EEHW,EGMU,EINW,GLUZ,HIIN,HIWZ,IMUZ,IQUZ,LMUZ
ESS;
EST;
ESU;IINZ,IQZZ
ESV;
ESW;
ESX;
ESY;
ESZ;OSUY
ETT;
ETU;OOTV
ETV;
ETW;
ETX;AABU,AAGU,CEEU,EEEG
ETY;
EUY;ABGO,ADFR,ADNW,AGIR,ANRW,CDNP,DDDR,DDJR,DFIN,DNTV,DOTT,EGRR,FFPR,FINR,FMPR,GGNT,GGPR,GORR,HNOP,HNOT,HOPR,IMMR,INTT,JMNR,JNOR,JPRR,MMMR,NNNR,NNTT
EVX;ACEL,IMOR,IMUU
EWX;AABL,AIKL,ALLM,BITT
EWY;AACP,ABIK,CKNR,GGIR
EXY;ABET,ACCH,ACHR,ACLT,AGMO,AINT,ANOR,IILT,ILNV,LLNO,NOOT
EXZ;AINO,ALOO,DIIO,EITU
EYZ;AALN,ACIN,ADDL,ADEL,ADIL,AFRW,AGIS,AHLL,AIKN,CCIL,EQSU
FFI;HHSU,HLSU
FFO;ILUZ,LLOU,LMRU,LOUZ
FGI;ABEL,ACEP,BBIN,BEIL,DGIN,EIKL,GGIN,INZZ
FGO;
FGU;AABE
FHO;ACER,AELR,AKRY,ALTY,BISX,CDEM,CDIS,DGIS,GHIS,GISY,IPPS,IPSX,IRRY,ISST
FIK;
FIL;BDIY,FHUY,IQUY,IYZZ,NNUY
FIN;
FIR;CCUY
FIS;AIMO,AMOO,AMUZ
FIT;CKUW
FIX;BHOS,FHOS,HOPS,KNOS
FIZ;AENN,BMOY,CINY,EEGN,ELOO,EOST,IKNY
FLU;IIQY,INNY,IPPY
FLY;BDII,BISU,CDIU,CHIY,FHIU,FINS,FNSU,GGIO,GIOO,HIIS,IIQU,IIZZ,INNU,IRZZ,ISSU,IUZZ,RSUU
FMU;ACIR,ADLT,CLRU,DLOO,DLOW,IIMN,LMOX
FNO;BFOU
FNU;CLOX,CLOY,CMOY,HLOR,IIMM,ILOR
FOO;
FOP;ACIY,AEFK,AENY,AGKN,CFIK,GINP,INTY
FOR;
FOT;AEEV
FOU;AEMW,CMNY
FOW;AEFV,AEMU,ANTU
FOX;BHIS,BUZZ,FHIS,HIPS,HNTU,IKNS,IPST,ORTT
FOY;CIIN,CINR,DNRU
FRU;DDEI,EIIN
FRY;CIIM,CINO,CIOS,IOPS
GGI;HITT
GHI;AAAP,AACD,ACMO,ACOR,ACPR,ADPR,CDLO,CILM,CLPY,DLPY,EILL,EKLO,ELMP,ELOU,EORU,ERUV,IOPR
GHO;AADR,ABDE,ADDE,ADIL,ADOR,ADRW,BELO,DDOO,DEEW,DELL,DELO,DERR,EIKL,IIPR,LMOO
GHU;
GIJ;AAGN,ABBN,ABMN,ACKN,AGGN,AMMN,ANZZ,CINU,DGNU,EFFN,ENTT,GGIN,GGNU,IKNN,ILNT,INNX,MNPU,NRUY,NTTU
GIL;FGOY
GIM;BEIT,CIKM
GIN;
GIO;DIMP,EETZ,HHPT
GIP;AACE,ACEF,ADIY,AILT,CEEI,DEEF,DEEW,EEKL,EIKL
GIR;
GIS;
GIT;BGIY,COYZ
GIV;CNRU,FFIN,GNOU,LNNU,LNUV,MMNU
GIW;BUZZ,CLOR,DELR,EIKL,EIPR
GIZ;AAET,AELL,ALLY,ALUY,COTY,EEEL,EEOT
GJO;ORTT
GJU;CIIN,DGIN,GGIN,IMNP,INRY,INTT
GLO;
GLU;
GMO;DFOY,DIIP,DOUW
GMU;DOOW
GMY;DFOO,EEGN,RUYZ
GNO;
GNU;
GOO;
GOR;
GOS;
GOT;BDLO,CILT,CIYZ,ILOW,LOOY
GOV;ACKR,GINU
GOW;AEGM
GOX;ABER,ACLY,AEHN,AEMY
GOY;
GPU;
GPY;
GRR;AAMM,ABOU,ACOY,AGMO,AKOW,AMOP,AMOU,AMOW,BEEE,COOW,DDEE,DEEE,DOPU,EEEN,EEPP
GRU;
GSU;
GTU;
GTY;AFIR,AHHU,AHPU,AIIL,AIMR,AIRV,ALLP,BGII,BHIL,BIOR,CHIL,CILP,CIOZ,FHIL,HILL,HILT,HILW,LOOO
GUV;ACIN,AILN,AINT,CINR,DEIL,EILR,ILNN,ILNV,IMMN
GUY;IJNR,IMNP,INPT,INQT,MRYZ
HHO;BEKT,CIKR,CINR,EERU,ERTT
HHS;MRTY
HHU;AABR,ABKT,ACCK,ACDD,APTZ,EEOR,OPPT
HIK;FFNU,GLNU
HIM;DOPR,EGLP,EPPX,FGNU,GMNU,GNNY,GNPU,GNRY,KOTV,NOPR
HIN;BEOP,BIIN,EEKL,EJNO,ELLO,ELOP,FFKU,IMNO,KOOU,LOPY
HIO;BEEP,BENP,BGHY,CEEZ,CEHO,CEPU,CPXY,DLNP,EJNN,ENPX,LMMU,LNPY,LPXY
HIP;AAAG,AANO,AEER,AEGN,AMOR,AOXY,BDNO,BENO,BMOR,BOOR,DELN,DEMO,DENO,DIOX,DLNO,DMOR,EELO,EGGN,EGLM,EGLN,EIKL,EILN,ELNO,EMPX,EMRU,MNOR
HIS;
HIT;ADDY,ADIJ,AEEZ,BEIX
HIU;BLOT,BRTT,DENR,DERR,DINR,EFFR,EGGR,EGLO,EGNN,EGOT,EGRV,EKLR,EKLT,ELLR,ELRT,ELTT,ENTW,ERRR,FFGN,FFKN,FFLY,FGMN,FGNO,FLPT,FRTY,GGGN,GKLN,GKRT,GLLN,GLNR,GLPT,GMMN,GNOT,GNRT,GNTT,GPRT,GPTT,KNOO,LPRW,MPRT,MPTY
HMM;AAAT,AANS,AASS,ACKO,AENS,AESS,AGIN,AILO,AILS,AIRS,AOSS,CIOR,CIOS,CKOO,CKOU,DEIW,DRUU,EELW,EGIN,GINU,ILOU,IPSU,IRSU,NOOY,RTUY
HMO;DIIN,IINN
HMU;BUZZ,DELO,DLOO,DMRU,EEGN,EGNO,ENTT,GIMN
HNO;IIMN
HNT;
HNU;DEEY,DIIR,EEMR,FLOR
HOO;
HOP;DIIX
HOR;
HOS;
HOT;
HOW;BBOU
HOX;BELL,BFIS,BOSW,CEIN,CIPY,DIIP,DRYY,EFLO,EINP,ENPY,FFIS,FIPS,FNTU
HOY;FIRR
HOZ;CEEI,CEMT,CIOR,CLTY,EEIR,EIMR,IIPR,ILOT,INOR
HPT;
HPU;CCEK,CCKU,EFLL
HPY;AGTU,CCIU
HRY;AMNY,CCHU,CCNU,FIOR,GIMN,ILLS,IMPS,MMTU
HSY;CHIT
HTU;EIKL,EILT,IILM,ILMU
HTY;ADDI,ADDO,BGIL,CCLU,GILL,GILT
HWY;AGHI,AIPR
IIW;ADGN,AHRT,DEER,DEMV,DGNO,EERV,EGGR,EGNZ,EGPR,EHRT,EMPR,ERTT,GGGN,HOPR,HPPT
IJN;AAGG,AALP,AAMP,ABBG,ABGM,ABLR,ACHT,AELV,AELW,AGGG,AGMM,AGRR,AGZZ,CGIU,EFFG,EGTT,ELLY,ETTW,GGGI,GGGU,GILT,GTTU,IIJL
IJZ;AANR
IKL;
IKN;
IKO;ABUZ,AKOW,BBCC,BCKX,BCRT,BCTT,BRRW,CCPT,CETT,CFFK,CFFP,CKPT,CKTU,CPPT,CTUW,DEEV,DRTU,KOPY,KPYY
IKP;KOOY,KOYY
IKR;IJOP
IKS;KUUY
IKT;DOOR,OORT
ILL;
ILM;
ILN;CIIV,CIUV,IIJJ
ILO;
ILP;
ILS;CCHH,CCII,CISS
ILT;
IMM;HPSU,HRSU,LSSU,LSUU
IMN;
IMO;
IMP;
IMR;
IMS;
IMV;ADIP,AHTZ,DEIW,ELUU,EUUX,GMNU
IMX;BRSU,EHPP,EILU,EUUV
IMZ;ACCO,AHTU,AHTV,CEOU,DEIS,EEIT,EEPR,EHOR,EMST,EQTU
INN;BHII,CHIP
INO;
INP;
INQ;
INR;
INS;
INT;
INU;BBGP,BGZZ,BLLO,FFHK,GGNN,GGOV,HKOO
INV;CGRU,FFGI,GLNU,GLUV,GMMU,ILPU
INW;
INX;AAAL,AATT,AATV,ACHT,AHNT,ALPS,BGRU,COPR,FKOS,OOSU
INY;DDEE,EEQU,EQRU,GIRR,IQRU
INZ;ILLO
IOP;AABC,ACCH,AEMO,BEEH,BEPR,CCEP,CDDI,CDDK,CEHU,CFFK,DEEX,DEHM,DGIM,DHIX,EPPR,IJKR
IOS;AEQU,CIUV
IPP;
IPR;IJKO
IPS;
IPT;
IPU;AABX,ACES,AGGN,AGNY,BBGN,CEEN,CEHO,CHKS,CKWY,DEPP,EGPS,EPPS,GGGN,GGHS
IPX;AAAR,AABU,AACR,AADT,AEET,AEMT,ALNS,AORR,CNOR,DEEO,DHIO,EHMP,FHOS,FOST,MOOR
IPY;ADDG,ADGI,AHRW,AZZZ,DDGU
IPZ;AADO,AGNP,AMNO,CKLO
IQS;CEEU,CEHU,CELU,EILU
IRS;
IRT;
IRZ;CEIN,DEII,DEIZ,DELW,DELZ,DLYZ,EENW,EHIN,EHWZ,EIKN,EMUZ,EQUZ
ISS;
IST;
ISU;AABL,AACG,ABBL,ABEV,ACEP,AGOY,ALLZ,BBIU,BBLL,BIOV,BOOV,BORU,CEEQ,CEZZ,CIOV,CKKP,EJKK,EPPP,EPPY,FFIZ,FOOR,FORU,IKPW,IPPU,KKUY,KLLY,LLRY
ISV;CIOU
ISW;BDOR
ISX;BFHO,BGNO,BLOT,BMRU,FFHO,FGIN,FGNO,FHOP,FKNO,FOPT,GIMN,HIMN,NOOU
ITT;
ITU;
ITW;CFKU,CKOU
ITX;BLOS,CIRV,LLOY,ORRT
ITZ;BBKU,CGOY,CMOY,FGNU,GNPU,HLOO
IVY;AEHS,BILS,CILL,EHRS,EQRU
IWZ;AGNN,AGNZ,BGUZ,DELR,ELTZ,GNOT,LOOY
IZZ;AAIN,BERU,DDEI,DEIR,DEIS,DEQU,EEPR,EQRU,EQSU
JLO;AAFR,ABMO,ADMR,AMRY,INQU
JNU;AELV,ALOR,BIOS,CGII,CINT,DEIS,DGGI,EJMU,EMRY,EORR,EORY,GGGI,GGIS,GIST,GITT,ILOQ,NORY
JOR;AAEP,AAFL,ACEL,ADEP,CEET,DEOY,EOVY,GOTT
JOT;CEER,GORT,MPUU
JOW;ABEN
JOY;ALMR,NNRU
JSU;AAAM,ACCH
JTU;AACP,ACPU,CINN,GINT,MOPU
KNO;
KOP;
KOR;
KOS;
KOU;CEHN,CFFF,CMMM,NNNW
KOW;ABLO,ADOO
KOY;
KST;
KSU;IIPW
KSY;
KUY;AALM,AFHI
LMO;FFRU
LMU;BOXY
