AAB;EHOPQU
CMY;BDIIMU,IIILPT,IILTTU,NOPRTY
CNO;
COO;
COP;
COR;
COS;
COT;
COW;
COX;
COY;BEFIJT
COZ;
CPU;GIINRT,GINRUV
CRU;
CRY;
CTU;
CUZ;AAEILT,AEGIMT,AEILNV,AENORT,AHILOR,AIILQZ,BEIILP,CEHITT,EEHINU,IMOOTY
DDI;AANPRT,ABHNTW,AHHNRT,CGIINS
DDO;
DDU;
DEE;
DEF;
DEG;
DEH;
DEI;
DEK;
DEL;
DEM;
DEN;
DEO;
DEP;
DER;
DES;
DET;
DEU;
DEV;
DEW;
DEX;
DEY;
DEZ;BHIIRY,CEHIIT,CIILRY,EGILRU,IIILQU
DFI;AAALLT,ACIILL,ACIILP,ADIQRU
DFO;
DFU;BCIIIT
DGI;
DGO;
DGU;
DHI;
DHO;
DHU;CIILOR,OOPPPY
DIK;
DIL;
DIM;
DIN;
DIP;DDLLOO
DIR;
DIS;
DIT;
DIU;EEHPUZ,EFIPPY
DIV;
DIY;BCIMMU,CIMNPU
DJU;AACELT,ABEILT,ACGIMT,EEILNN
DLO;
DLU;
DMO;
DMU;
DNO;
DNU;
DOO;
DOP;
DOR;
DOS;
DOT;
DOU;
DOW;
DOX;ABHOSW
DOY;
DOZ;
DPU;
DRU;
DRY;
DSU;
DUW;AEEGIV,CCHKOO,DEGIOR,FIOORT
DUX;
EEF;
EEG;
EEJ;
EEK;
EEL;CCLOOZ
EEM;
EEN;
EEP;
EER;
EES;
EET;
EEV;
EEW;
EEY;AABMMX
EEZ;BBIRRU,CCLLOO,CIIOTX,DDIIOX,EKOOPR,IILRTU,ILLRTU
EFF;AALNUZ
EFG;AACCOU
EFH;BELOUV,DIIORR,EEELRW,GHILRY,GLNRUU
EFI;
EFK;
EFL;
EFM;BDIIOZ,DIINNY,DLOOOT
EFN;
EFO;AACCGU,ABCCCI,BCIJTY
EFR;
EFS;
EFT;
EFU;AACCGO
EFW;
EFY;
EFZ;BDIIMO,BIIMOS,CDIIIN,CEHIIT,CIIINS,DGGGII,DIIIKN,IIIKNS,IILOSS
EGG;BBNOOW
EGI;
EGK;ADMRRU,AHMORT,ALNOOP
EGL;
EGM;
EGN;
EGO;
EGP;
EGR;
EGS;
EGT;
EGU;
EGV;
EGY;
EHH;AADERX,ADEIMR,AEJLRR,BMOOOP,DEIMRY,EILMOP,GOPPYY,ILMOOP,LMMOPY,MNOOOP
EHI;
EHM;BDGGUU
EHN;FLLPUU
EHO;
EHP;
EHR;
EHS;
EHT;
EHU;EEIMPZ,EIOTTV
EHW;
EHX;AAFLRT,AGRTTU,AHLNOT,AIMOPY,AIPSSY,ALLPRU,CIMOOT,CIMOPY,CIOOPR,IMNOOT,MOOPRR
EHY;
EIK;
EIL;
EIN;
EIP;AAGGHO
EIR;
EIS;
EIT;
EIV;EOQQUU
EJO;DMPTUU
EJT;
EJU;ACLMSU
EJW;AAHKRY,AAKLRY,ABKLOU,AEKRRT,MNORUY
EKL;
EKN;
EKO;
EKP;
EKR;
EKT;
EKU;
EKW;
EKX;AACPSW,ABLOST,ACCIOS,AORRWW,BCDIKO,BCIKOR,BCIKOS,BCLOOS,BCORTU,BCOSTU,BEEOPR,BOORSW,MNOOPY
EKY;
EKZ;ACEIPT,AEGILU,AIILPZ,AILLTW
ELL;
ELM;
ELO;
ELP;
ELS;
ELT;
ELU;
ELV;
ELW;
ELX;BGGGOO
ELY;
ELZ;CCIIIT,CEIIKN,CEIIMN,CIINTY,DEIOPR,DHORYY,EFIIRT,EILOPW,IKMMOR
EMM;
EMN;
EMO;
EMR;
EMS;
EMT;
EMU;
EMW;DDIITT,DIINRT
ENO;
ENP;
ENR;
ENS;
ENT;
ENW;
ENY;
ENZ;
EOP;
EOR;
EOS;
EOT;
EOV;
EOW;
EOX;BGGGLO,CCCILY
EOY;
EPP;
EPR;
EPS;
EPT;
EPW;
EPY;
EPZ;GHOTYY
ERR;
ERS;
ERT;
ERU;
ERV;
ERW;
ERX;CCEELY
ERY;
ERZ;CEEIMR,IIIMMN,IIMMNU
ESS;
EST;
ESU;
ESV;
ESW;
ESX;
ESY;
ESZ;
ETT;
ETU;
ETV;
ETW;
ETX;
ETY;
EUY;ADHHOT,ADNNNO,DIMMNO,EHPPRR,GIINNT,GIMNOT
EVX;NOOOSS
EWX;BDOOOS,BHOOSS,BKOORS,FLOOPS
EWY;
EXY;ABCELR,ACILLL,ACILLR,AILLRV,AILRTT,CCCILO,CCEELR,CINOTV,EIMRTT
EXZ;BFOSUZ,CEIIOT,EEIPRT,EEMNOY,EGINOY
EYZ;ABETTT,ABINNT,ACDERW,ADDHIR,ADHINR,AHIILN,BDHIIR,CIILNT,CIINRT,EHHINP,HIILPS,IINSSS
FFI;
FFO;ILMORR,LOOOPR
FGI;
FGO;
FGU;AACCEO
FHO;ACCELT,ACGMRR,CCGIKT,CEILMR,CGIPTY,DEGILT,DEIIRR,EGIILT
FIK;CCGHOT
FIL;
FIN;
FIR;
FIS;
FIT;BCDIIU
FIX;
FIZ;AAENST,BDEIMO,BEIMOS,CDEIIN,CEEHIT,CEIINS,DEIIKN,EEHIST,EIIKNS,EILOSS
FLU;
FLY;
FMU;
FNO;
FNU;BCHILL
FOO;
FOP;ACDEII,ADEGGW,AHIIKN,CGHITY,DEIINT
FOR;
FOT;
FOU;AACCEG,AAEIMN,CEINNN
FOW;
FOX;FIINSU
FOY;
FRU;
FRY;
GGI;HHHILT
GHI;AAMOOP,AIOPPX,AMOPRY,BDEELL,CCLOOP,CILORR,CLMOOO,CLOOOR,CLOORY,CLORUY,CMMMOU,ELLOOP,ELLOOY,ELOORY,GLOOPR,LLOOPY,LOOOPY,LOOPPY
GHO;AALLPR,ADIKOW,AIIPPX,AILOOR,EEFIRW,EEIRVW,EILLOP
GHU;
GIJ;AABNNX,ABCENT,ACDMTU,ACHKLT,AENTUU,CEINNT
GIL;
GIM;
GIN;
GIO;
GIP;CCHLOO,CLOOOT
GIR;
GIS;
GIT;
GIV;
GIW;DDEORU
GIZ;ACEEIL,ADEILO,AELOOP,CEHIOT,EEGLOO,EEILOP
GJO;CEEKLT
GJU;BBGIMO,BEIRTT,CENORR,CINORR,EINPRR,INNNOR
GLO;
GLU;
GMO;
GMU;
GMY;
GNO;
GNU;
GOO;
GOR;
GOS;
GOT;
GOV;
GOW;
GOX;AHIIPP,AHLPRY,BEGGLO,BNORST
GOY;
GPU;
GPY;
GRR;AABCSS,ACDOSS,HNNOOP,KOOPUW
GRU;
GSU;
GTU;
GTY;ABIIMU,CCILOO,DILOOT
GUV;AINNRY,CIINNO,DEEINR,DINOOU,EEFIMR,EEINNR,EIINQR,EINNNR,EINNRT,IIIMNR,IMNOOT,INOOTT
GUY;EFIMNT,FIINPR
HHO;BEIMRT,BELLRT,BELMTU,BFIRRT,BIMRTY,CCEKLU,CCNNRU,DOOTUY,EINRTW,FIRTTW,IILNRT
HHS;
HHU;ABIIRV,AEFLLT,AILTTW,BELMOT,DOOOTY,EMRTYY
HIK;
HIM;
HIN;BHIKKU,EEELNP
HIO;BCEQUU,EENPUZ,GLOOPY
HIP;AAEGGO,AAGMOO,DDDEIL,DEILOO,DIIMRU,EEELNN,EEFNRY,EGGHRU,EGINRR,EGLLOO,EHLMOO,GGLOOR
HIS;
HIT;
HIU;BBGLLT,BDDENO,BEFLLT,DEEGNW,DEELNY,EEEMPZ,EGGHNW,EIPPRT,GGINNN,GGLNOY
HMM;AACEKT,AACIIN,AACKRT,ACGIOO,EEENTY,GILNOW,HOOOPR,KLORUZ,KNORRU
HMO;
HMU;
HNO;
HNT;
HNU;EFLLPU
HOO;
HOP;
HOR;
HOS;
HOT;
HOW;
HOX;CEIMOT,CEIOPR,DIMRUY,EIMNOT,EMOPRR
HOY;BEIRRV
HOZ;AACILN,AAGNOP,ABIOOP,ACILRU,ACIPRR,AEILNO,AIILOP,BIIMRU,CEEMNR,CEGIIN,CEGIIT,CEIILO,CENOTY,CIILOP,CIOPTY,EEGITT,EEINPT,EEINPU,EGIINR,EGPTYY,EINPTY,IILLNT,KLMMRU,OOPRTY
HPT;
HPU;
HPY;
HRY;DIINNN,GGLOOY,GHILOP,HMOOPP,IOOPPR,LMOOPP,MOOOPZ
HSY;
HTU;
HTY;ADINNO,FLLRUU
HWY;
IIW;ABEHTT,BDDORW,CENOPP
IJN;ABCLUY,ABRRRY
IJZ;AEGNOR,DEEPRU
IKL;
IKN;
IKO;
IKP;
IKR;
IKS;
IKT;
ILL;
ILM;
ILN;
ILO;
ILP;
ILS;
ILT;
IMM;IIRSUV,MPSSUU,PSSSUU
IMN;
IMO;
IMP;
IMR;
IMS;
IMV;ABLMOY,CLLOUU,DGIINW,ILMPUU
IMX;
IMZ;ADDIQT,CEEERR,CEERRU,CEHLOO,CEHOTT,CEIITV,CINORU,DEEHOT,EEEHPU,EEEMRS,EFLORU,EGRSUY,EKLMOR,GHINTY,HOORTY
INN;MNUUUU
INO;
INP;
INQ;
INR;
INS;
INT;
INU;BHHIKK,EGGHHW
INV;
INW;
INX;ACDIIL
INY;
INZ;HILOPR
IOP;
IOS;
IPP;
IPR;
IPS;
IPT;
IPU;
IPX;ACDEHO,ADEGNN,AGHIOP,CEEETV,CEEGNT,CEENOT,DEEGNN,EEEMTV,EEGMNT,EEMNOT,EGGNNU,EGGNRU
IPY;
IPZ;CCOOOR,COOORT,DLNOOO,DLOOOY
IQS;AAAMMQ,EEELSU,EEKOUV,ILOSUU
IRS;
IRT;
IRZ;CEEEMR,EIIMMN,EIMMNU
ISS;
IST;
ISU;AILLWW,EEKOQV
ISV;
ISW;COORRW
ISX;FIINNO,IILMUV,IILOUV,LORUUU
ITT;
ITU;
ITW;
ITX;HLOOPY,ILOPRY
ITZ;
IVY;BLOOSU,CILOSU,CLOSSU,GHLOSU,HLLOSW,LLLOSU
IWZ;AEKLLT,GILNTZ
IZZ;
JLO;
JNU;CEIISS,CEIIST,DGIINS
JOR;BDEHLO,EOPPPY
JOT;CEKOUY
JOW;EMNRUY,IMNORT
JOY;
JSU;AAILLQ,ACELMU
JTU;ACDGIM,IILMOO
KNO;
KOP;
KOR;
KOS;
KOU;
KOW;
KOY;
KST;
KSU;
KSY;
KUY;
LMO;
LMU;
LMY;
LNU;
LOO;
LOP;
LOR;
LOS;
LOT;
LOU;
LOV;
LOW;
LOX;AAADPR,BEGGGO,CCCEIY,DIIIMN,DMOORY,IIISUV,INOSUY,IRSUUU,MNNOOY
LOY;
LOZ;CHIIOP,DEHRYY,DGIIIN,GIIINN,HKMMRU
LPU;
LPY;
LRU;
LSY;
LUU;BDEHMN,CEFFFF,CHNOTY,DDDEEN,DDEINT,DEIIMQ,DHMOOT,EEFGIK,EENNQY,EGGJOT,EIMMNN,FINNNY
LUV;CDEIIP,FIMORV,IIMMPU
LUX;AAILLM,ABCIMS,AIMMMY,IIIOSV,IORSUU
LUZ;AABEFN,AAEFFN,ACHIOR,ACIIQZ,ADGIIN,AGOSYY,BGINYZ,HKMMOR
LVY;AAGNRT,ACCIIT,BIILOR,BIOOSU,CIIOSU,CIOSSU,GHIOSU,HILOSW,IILOST,ILLOSU
MMM;
MMO;BFOORR,HHOOPR,HKLRUZ,HKNRRU
MMU;HKLORZ,HKNORR
MNO;
MNU;
MNY;EGGJLU
MOO;
MOP;
MOR;
MOS;
MOT;
MOU;
MOV;AILRXY,FIILLR
MOW;
MOY;EERRRV
MOZ;ADIINU,CIINRU,HKLMRU
MPU;
MRU;
MSU;
MTU;
MUU;BCEHKR,BDEHLN,BEFLZZ,BKOORZ,CEEQRT,DEIILQ,DEILLN,DHLOOT,DILNPU,EHINOP,ENNRRR,GIOPRY,INNNUU
MUV;CEIITT,GIIINR,IILMPU
MUX;AAACRT,AABEFL,AAILLL,ABCILS,ABIIRT,DHIORY,IIOQST,IORSVY
MUY;AILTTU,CCILOT,CENORT,CIILTT,CIOOTZ,DHIORX,ENOORT,EOORTT
NNO;
NNU;IMNUUU
NOO;
NOR;
NOS;
NOT;
NOW;
NOX;BGORST,DILPSU,FFIISU
NOY;
NPU;
NPW;CEHINR,EGILLU
NRU;
NSU;
NSY;
NTU;
NWY;
OOP;
OOR;
OOS;
OOT;
OOW;GKPRRU
OOX;ACHIMT,ACIMNT,ACINTU,ACITTU,AEGMSU,AEHNPS,AEHRST,AEINRT,AEISTZ,AEMNRT,AEMRST,AHIMST,AHIRST,AHPRRT,AHPRTU,AHPTTY,AINTTU,BEEHNP,BEGGGL,BEHNPY,BGNRST,CDENOY,CEENRT,CEESTY,CEGILS,CEGINT,CEHIMT,CEIMST,CEINNN,CEISST,CIISST,DEEHRT,DELMOR,DLMORY,EEGNSU,EESSST,EGNSUY,EHLNPY,EILNPS,EIMSSS,EINRTT,EISSST,EKMNPY,HILPTY,HLMPPY,LMNNOY
OOZ;AHIILP,CHIILP
OPP;
OPR;
OPS;
OPT;
OPU;
OPW;
OPX;AGHIIP,AHIMSU,AHORRT,AHORTU
OPZ;AAGHNO,ABHIOO,ACHIRR,ACIORS,CCIOOR,CCIOOS,CDHIOS,CHIILO,CIOORS,CIOORT,DEEEFR,EEEKOR,EEMNRY,EGHTYY,EGMRSY,HOORSU,HOORTY,NOOORS,NOOORT
ORS;
ORT;
ORU;
ORV;
ORW;
OSS;
OST;
OSU;
OSV;
OSW;
OSX;ABBDOR,ACLPRY,BGNORT,BHNORT,DFHNOU,DHLRYY,FFIINU,FIIINN,IIILUV,ILRUUU
OSY;
OSZ;AQRTUU
OTT;
OTU;
OTW;
OTY;
OUY;CCEELT,CCILMT,CELMOT,DEIMPP
OVW;
OVX;ADEIIT,AEISTU,AILMRY,DEEERS,IIILSU,IMRSUY
OWW;ADOORR,AELMNR,AKMNOR,AMORRR,ARRRTY,CKNORR,DNORTU,EKMNOR
OWX;AABHLL,AEFLRW
OWY;
OXY;
PPU;
PRU;
PRY;
PST;
PSU;
PSY;
PTU;
PTW;DILOOU,IMNNOO
PUY;
PXY;AACELT
QSU;
RSU;
RTU;
RTY;CCCIIL
RUY;
RWY;GOPSTY
SSU;
STU;
STY;
SUW;BBELOT,BEEHOR,BEFLOR,BEFOOR,EFHLOR,EFKLOR,EHKOOR,FHKLOR,HKOORR
SUY;
SWY;
TTU;CCEHIZ
TUU;ABLNNY,ACFRRY,ACILRR,ADDEIN,ADGHPR,AEGIJN,AILNRX,BDDENO,BIIINQ,DDEILN,DHLMOO,EGGJLO,GHOPRW
TUX;AAACMR,ABEEER,ABIIMR,ACIOOT,AEEGPR,AEEMOR,AEEQRU,AHOOPR,CEEIRX,CEEMPR,CEINNT,DEGINR,IIMOQS
UWZ;
UZZ;AALNOP,ACIILQ
ZZZ;
