AAB;B,C,L,R,S,Y
ALU;A,B,C,D,F,G,H,K,M,N,P,S,T,U,V,W
ALV;A,E,I,O,S,U
ALW;B,C,D,E,F,I,K,L,N,O,P,S,T,U,W,Y
ALX;A,C,E,F,I,N
ALY;A,B,C,D,E,F,G,H,K,L,M,P,R,S,W,Z
AMM;A,E,I,L,O,R,S,U
AMN;A,D,E,G,I,O,S,U,W,Y
AMO;B,C,F,G,H,I,K,L,M,N,R,S,T,U,W,X,Y
AMP;C,D,G,I,L,R,S,T,U,V
AMR;A,B,C,D,E,F,G,H,I,K,L,M,O,P,S,T,U,W,Y
AMS;A,B,C,D,E,G,H,I,J,K,L,M,N,O,P,R,S,T,U,W,Y
AMT;A,E,H,L,O,P,R,S,T,U,Y
AMU;C,D,G,H,L,M,N,O,P,R,S,T
AMW;D,E,H,K,N,O,R,S
AMX;E,I,O
AMY;A,C,G,L,N,O,R,S,T,Z
ANN;A,C,E,G,I,J,O,S
ANP;A,D,E,G,I,K,L,S,T,U,W
ANR;A,B,C,D,E,G,H,I,K,L,O,S,T,U,W,Y
ANS;A,B,C,D,E,F,G,H,I,K,M,N,O,P,R,S,T,U,V,W,Y
ANT;A,B,C,D,E,G,H,I,K,L,O,P,R,S,U,V,W
ANV;E,G,I,O,S,T,Y
ANW;B,D,E,F,G,H,I,K,L,M,O,P,R,S,T,Y
ANY;C,E,G,H,I,K,M,R,S,U,V,W,Z
AOP;C,D,G,H,K,L,R,S,T,U
AOR;B,C,D,E,F,G,H,K,L,M,N,P,R,S,T,U,V,W,Y
AOT;B,C,D,E,G,H,I,J,K,L,M,N,P,R,S,U,Y
AOV;L,N,R,S,W
AOZ;E,L,N
APP;A,E,I,L,R,S,U,Y
APR;A,B,C,D,E,F,H,I,J,K,M,O,P,R,S,T,U,W,Y
APS;B,C,D,E,G,H,I,J,K,L,M,N,O,P,R,S,T,U,V,W,Y,Z
APT;A,C,E,H,I,L,M,N,O,R,S,U,Y
APV;E,M,S
APW;A,G,H,K,L,N,R,S,Y
APX;E
APY;A,C,G,L,P,R,S,T,U,W
APZ;S,U
AQT;S,U
AQU;A,D,G,I,T,Y
ARS;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,S,T,U,V,W,Y
ART;A,B,C,D,E,F,G,H,I,K,M,N,O,P,S,T,U,W,Y,Z
ARV;A,E,G,I,O,S,U,Y
ARW;B,C,D,E,I,K,M,N,O,P,S,T,U,Y
ARX;Y
ARY;A,B,C,D,E,F,G,I,K,L,M,N,O,P,R,S,T,V,W,X
ASS;B,C,D,E,G,H,I,J,K,L,M,N,O,P,R,S,T,V,W,Y
AST;B,C,D,E,F,G,H,I,K,L,M,N,O,P,Q,R,S,T,U,V,W,Y
ASU;A,B,E,F,G,K,L,M,N,P,R,T,V,Y
ASV;A,C,E,G,I,K,L,N,O,P,R,S,T,U,V,W
ASW;B,C,D,E,F,G,H,I,J,K,L,M,N,P,R,S,T,V,W,Y
ASX;E,I
ASY;B,C,D,E,F,G,H,J,K,L,M,N,O,P,R,S,T,U,W,Y
ASZ;E,G,P
ATT;B,C,E,H,I,M,R,S,T,U,W
ATU;A,B,D,F,H,I,K,L,M,N,O,P,Q,R,S,T,V
ATV;A,I,N,S,U
ATW;A,D,E,F,H,I,L,N,R,S,T,Y
ATX;A,I
ATY;B,E,K,M,O,P,R,S,W
AUV;E,L,R,S,T
AUY;C,D,G,N,P,Q,S
AVV;I,S
AVW;E,O,S,Y
AVX;
AWW;A,E,L,S
AWX;Y
AWY;A,D,F,L,N,P,R,S,T,V,X,Y
AWZ;Z
AXZ;
AYY;S,W
BBE;A,I,L,S
BBI;B,E,J,S
BBO;A,C,L,M,O,S,U
BBU;A,L,O,R,S,U
BCO;B,K,L,M,S
BCU;E,H,K,L,R,S
BDE;A,E,I,L,N,O,R,S,T,U,Y
BDI;A,E,I,N,R,S,U
BDO;A,E,L,N,O,R,S,U,Y
BDU;A,E,I,L,M,N,O,R,S
BEE;D,F,H,L,N,P,R,S,T
BEG;I,O,R,S,Y
BEK;A,C,I,M,O,R,S,U,Y
BEL;A,B,D,E,H,I,L,O,P,S,T,U,W,Y
BEN;A,D,E,I,J,O,R,S,T,U,W
BEO;D,G,J,K,L,M,N,O,P,R,S,T,Y
BER;A,D,E,G,H,I,K,M,N,O,R,S,U,V,W,Y
BES;A,B,D,E,G,I,K,L,N,O,R,T,W,Y
BET;A,D,E,H,I,L,N,O,S,U,Y
BEW;L,M,N,R,S
BEY;A,D,G,K,L,O,R,S,T,V
BEZ;I,U
BFI;F,R,S
BFO;F,L,R,S,U,Y
BFU;F,L,M,O,S
BGI;A,E,G,L,N,O,R,S
BGO;E,I,L,N,O,R,S,Y
BGU;N,R,S
BHO;O,S,T
BHU;A,C,L,R,S,T
BIJ;B,E,S
BIL;A,E,G,K,L,M,N,O,P,R,S,T
BIM;A,L,N,R,S,Z
BIN;A,D,E,G,K,L,M,R,S,T,Y
BIO;A,G,L,R,S,T
BIR;A,C,D,E,F,G,K,L,M,N,O,R,S,T
BIS;A,B,D,E,F,G,H,I,J,K,L,M,N,O,R,S,T,V
BIT;A,E,L,N,O,R,S,T
BIZ;E,M
BJO;E,S
BKO;A,C,E,N,O,R,S,U,Y
BLO;A,B,C,D,E,F,G,I,L,O,S,T,W
BMO;A,B,C,E,O,R,S,T,U,W,Y
BMU;D,F,N,O,P,S
BNO;A,D,E,G,K,O,R,S,U,Y
BNU;A,D,E,G,K,M,N,O,R,S,T
BOO;B,D,E,G,H,K,L,M,N,R,S,T,Y,Z
BOP;E,R,S
BOR;A,D,E,F,G,I,K,M,N,O,P,S,T,W,Y
BOS;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,R,S,T,V,W,Y
BOT;A,E,H,I,L,M,O,R,S,T,U,Y
BOW;L,M,R,S
BOX;Y
BOY;D,E,F,G,K,M,N,O,R,S,T,U,X
BPU;A,E,M,R,S,Y
BRR;E,I,R,U
BRU;A,B,C,D,E,G,H,K,L,N,P,R,S,T,X,Y
BSU;A,B,C,D,F,G,H,K,L,M,N,P,R,S,T,Y
BSY;A,E,O,U
BTU;A,E,H,N,O,R,S,T
BUY;O,P,R,S
CDI;A,E,H,K,O,S,T,U
CDO;A,E,I,K,L,N,O,R,S,U
CDU;E,I,K,O,R,S,T
CEE;C,D,H,P,R,S,T,X
CEH;A,E,F,H,K,L,M,O,P,R,S,T,W,Y,Z
CEI;B,D,F,L,M,N,P,R,S,T,V,W
CEL;A,F,G,H,I,L,M,O,S,T,U,W
CEO;C,D,H,K,L,M,N,P,R,S,T,V,Z
CEP;A,E,H,I,K,O,R,S,U
CER;A,D,E,H,I,K,M,O,P,S,T,U,W
CES;A,E,H,I,L,N,O,P,R,S,T,U,Y
CET;A,E,H,I,L,N,O,R,S,U,Y
CEU;B,D,K,L,N,P,R,S,T
CGI;S
CGO;H,L,R,S
CHI;A,B,C,D,K,L,M,N,P,R,S,T,U,V,W,Z
CHO;A,C,E,G,K,L,M,N,O,P,R,S,T,U,W
CIK;D,H,K,L,M,N,P,R,S,T,W,Y
CIM;A,E,H,K,O,R,S
CIP;A,E,H,K,L,R,S,Y
CIS;A,D,E,F,G,H,K,M,P,R,S,T
CIT;D,E,H,K,L,O,R,S,U,Y
CIY;K,P,R,T
CLO;A,B,D,E,F,G,H,I,K,L,N,O,P,S,T,U,W,Y
CLY;A,H,O
CMO;A,B,E,H,I,K,M,O,P,R,S
CMU;A,H,K,L,S
CMW;S
CMY;A,E,S
CNO;D,E,F,H,I,K,L,N,O,R,S,U,Y
COO;C,D,F,H,J,K,L,M,N,P,S,T
COP;A,E,H,K,L,M,O,R,S,U,W,Y
COR;A,C,D,E,F,G,H,I,K,M,N,P,S,T,U,W,Y
COS;A,B,D,E,G,H,K,L,M,N,O,P,R,S,T,W,Y
COT;A,E,F,H,I,K,L,O,R,S,T
COW;H,K,L,P,R,S,Y
COX;A,I,Y
COY;C,K,L,N,P,R,S,W,X,Z
COZ;E,I,Y
CPU;A,E,K,O,S
CRU;B,D,E,F,H,I,K,L,N,O,R,S,T,X
CRY;A,I,O,S
CTU;D,E,H,I,K,L,N,R,S
CUZ;
DDI;E,O,Y
DDO;A,E,I,O,S,W
DDU;A,E,R,S
DEE;B,C,D,F,G,H,I,J,K,L,M,N,P,R,S,T,V,W,X,Y
DEF;A,E,I,L,N,O,S,T,U,Y
DEG;A,E,I,L,O,R,S,U,Y
DEH;A,E,I,L,N,O,R,S,U,Y
DEI;A,B,C,D,E,F,G,H,J,K,L,M,N,P,R,S,T,V,W
DEK;A,C,E,I,O,R,S,U,Y
DEL;A,B,E,F,G,H,I,L,M,N,O,P,S,T,U,V,W,Y
DEM;A,E,I,L,N,O,R,S,Y
DEN;A,B,E,F,H,I,L,M,O,P,R,S,T,U,V,W,Y
DEO;A,B,C,D,F,G,H,K,L,M,N,P,R,S,T,V,W,Y,Z
DEP;A,E,I,L,N,O,S,U
DER;A,B,C,D,E,G,H,I,K,M,N,O,S,U,V,W,Y
DES;A,B,E,F,G,H,I,K,L,M,N,O,P,R,T,U,V,W,Y,Z
DET;A,B,E,F,I,L,N,O,S,U,Y
DEU;B,C,D,F,G,H,K,L,N,P,R,S,T
DEV;A,E,I,L,N,O,R,S
DEW;A,E,I,L,N,O,R,S,Y
DEX;A,E,Y
DEY;A,B,D,E,F,G,H,K,L,M,N,O,R,S,T,W,X
DEZ;A,O,S
DFI;E,F,N,O,S
DFO;A,E,F,I,L,N,O,R,U,W
DFU;E,F,N,O,S
DGI;A,E,L,N,R,S,U
DGO;A,E,L,N,O,S,W,Y
DGU;A,E,I,N,R,S
DHI;C,E,L,N,S,W
DHO;A,E,L,N,O,S,T,W,Y,Z
DHU;A,E,K,S,T
DIK;A,C,E,L,N,R,S
DIL;A,E,G,H,K,L,M,N,O,R,S,V,W,Y
DIM;A,E,I,L,N,O,P,S,U
DIN;B,E,F,G,H,I,J,K,L,M,O,R,S,T,W
DIP;A,E,M,R,S,T
DIR;A,B,E,G,I,J,K,L,N,O,P,S,T,U,Y
DIS;A,B,C,E,F,G,H,K,L,M,N,P,R,S,T,U,V,Y
DIT;A,C,E,N,O,P,R,S,T,U,Y,Z
DIU;B,C,G,M,Q,R,S,T
DIV;A,E,I,L,O,S
DIY;A,D,L,R,S,T,X
DJU;O,S,Y
DLO;A,B,C,E,F,G,H,I,L,M,O,P,R,S,T,U,W,Y
DLU;A,B,E,L,O,S,Y
DMO;E,I,L,O,R,S,U,Y
DMU;A,B,I,O,P,R,S
DNO;A,B,C,E,F,G,H,I,K,O,P,S,U,W,Y
DNU;A,B,E,F,G,K,O,R,S,T,Y
DOO;B,C,D,F,G,H,J,K,L,M,N,P,R,S,W
DOP;A,E,L,N,O,R,S,U,W,Y
DOR;A,B,C,E,F,I,K,L,M,O,P,R,S,T,U,W,Y
DOS;A,B,C,D,E,G,H,L,M,N,O,P,R,S,T,U,W,Y,Z
DOT;A,E,H,I,L,R,S,U,W,Y
DOU;B,C,F,J,K,L,M,N,P,Q,R,S,T,X
DOW;A,D,E,F,G,H,L,N,O,P,R,S,T
DOX;I,U,Y
DOY;B,E,G,H,L,M,N,P,R,S,T,X,Z
DOZ;E,H,S,Y
DPU;E,M,O,S,U
DRU;A,B,C,D,E,G,I,M,N,O,R,S,T,Y
DRY;A,E,F,I,N,O,S,U
DSU;B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,R,S,T,W
DUW;S,U
DUX;O
EEF;B,D,J,K,L,M,N,R,S,T
EEG;A,D,H,K,L,N,O,P,R,S,U,Z
EEJ;A,D,F,L,P,R,S,T,Z
EEK;A,D,F,G,K,L,M,N,P,R,S,T,W
EEL;A,B,D,F,G,H,J,K,M,P,R,S,T,V,W,Y
EEM;D,F,H,K,L,M,N,R,S,T,U,V,W,Z
EEN;B,D,F,G,I,K,M,N,P,R,S,T,V,W,Y
EEP;B,C,D,E,G,J,K,L,N,P,R,S,V,W
EER;B,C,D,F,G,H,J,K,L,M,N,P,S,T,V,W,Y
EES;A,B,C,D,F,G,J,K,L,M,N,P,R,S,T,V,W,X,Y,Z
EET;B,C,D,F,H,J,K,L,M,N,R,S,T,V,W,Y
EEV;A,D,L,M,N,O,P,R,S,T,Y
EEW;A,D,E,H,K,L,M,N,P,R,S,T,X
EEY;D,L,N,R,S,T,V
EEZ;G,J,M,S,Z
EFF;I,J,M,S,T
EFG;L,S
EFH;C,M,S,T
EFI;C,D,F,K,L,N,R,S,V,W
EFK;A,C,E,I,R,S,Y
EFL;A,C,D,E,G,I,L,O,P,S,T,U,W,X,Y
EFM;A,E,F,H,R,S,U
EFN;A,D,E,I,O,R,S,T,U
EFO;D,L,N,R,S
EFR;A,E,I,K,M,N,O,S,T,Y
EFS;A,D,E,F,G,H,I,K,L,M,N,O,R,S,T,U,W,Y
EFT;A,D,E,F,H,L,N,R,S,T,W
EFU;D,L,M,N,S,Z
EFW;I,L,S,T
EFY;C,D,K,L,R,S
EFZ;A,U
EGG;A,L,S,T,Y
EGI;B,D,L,N,S,T,V
EGK;C,E,S
EGL;A,C,D,E,F,G,I,N,O,S,T,U,Y
EGM;A,N,R,S,U
EGN;A,E,I,L,M,O,R,S,T,U
EGO;B,D,E,L,N,R,S,T,V,Y
EGP;A,E,H,S
EGR;A,B,D,E,M,N,O,S,T,U,W,X,Y
EGS;A,B,D,E,F,G,I,K,L,M,N,O,P,R,S,T,U
EGT;A,G,I,L,N,O,R,S,U,Y
EGU;A,D,E,H,L,M,N,R,S,T
EGV;A,I,O,Y
EGY;A,B,D,G,L,O,R,T,V
EHH;C,S,T
EHI;D,K,L,R,S,V
EHM;A,C,E,F,L,O,P,R,S,T,V
EHN;A,D,O,R,S,T,W,Y
EHO;C,D,K,L,M,N,P,R,S,T,V,W
EHP;A,C,G,L,M,O,S,T,W,Y
EHR;A,B,C,D,E,I,L,M,N,O,S,T,U,Y
EHS;A,C,D,F,H,I,K,M,N,O,P,R,S,T,U,W,Y
EHT;A,B,C,E,F,H,K,M,N,O,P,R,S,T,W,Y
EHU;D,G,J,K,L,R,S
EHW;A,C,E,N,O,P,S,T,W,Y
EHX;
EHY;A,C,D,K,L,N,P,R,S,T,W
EIK;A,B,D,F,H,K,L,M,N,P,R,S,T,V,Y
EIL;A,B,C,D,F,G,H,K,M,N,P,R,S,T,U,V,W,X
EIN;A,B,C,D,E,F,G,K,L,M,N,O,P,R,S,T,V,W,X,Z
EIP;C,D,K,L,N,P,R,S,T,W,Y,Z
EIR;B,C,D,F,H,K,L,M,N,P,S,T,U,V,W
EIS;B,C,D,F,G,H,K,L,M,N,P,R,S,T,V,W,Z
EIT;B,C,D,G,K,L,M,N,P,R,S,T,U,V,W,X,Y,Z
EIV;A,B,C,D,F,G,H,J,K,L,N,R,S,T,V,W
EJO;B,K,L,N,S,Y
EJT;A,E,S,U
EJU;B,H,K,P,R,T,V,X
EJW;S
EKL;A,E,I,L,O,P,S,T,U,W,Y
EKN;A,C,E,I,O,P,R,S,T,U,W,Y
EKO;B,C,D,H,J,L,M,N,P,R,S,T,W,Y
EKP;A,C,E,I,L,M,N,O,R,S,T,U,Y
EKR;A,B,C,D,E,F,I,J,M,N,O,P,S,T,Y,Z
EKT;A,E,H,I,L,N,O,P,R,S,Y
EKU;B,C,D,H,J,L,N,P,S,Y
EKW;A,E,L,N,O,S
EKX;
EKY;B,D,F,H,I,L,N,O,P,R,S,T,U
EKZ;R,S
ELL;A,B,C,D,F,H,J,K,M,P,S,T,V,W,Y
ELM;A,C,D,E,H,I,L,O,R,S,T,U,W,Y
ELO;A,B,C,D,F,G,H,J,K,M,N,O,P,R,S,T,V,W
ELP;A,B,D,E,F,H,I,K,L,O,R,S,T,U,W,X,Y
ELS;A,B,C,D,E,F,G,I,K,L,M,N,O,P,S,T,U,V,W,Y,Z
ELT;A,B,C,D,E,F,G,I,K,L,M,N,O,P,S,T,U,W,Y
ELU;B,C,D,F,G,H,I,K,M,N,P,R,S,T,X,Y
ELV;A,D,E,I,L,O,S,Y
ELW;A,B,C,D,E,F,I,K,L,M,O,P,S,T,Y
ELX;A,F,I,P,U
ELY;A,B,D,E,F,G,H,K,L,M,N,P,R,S,T,U,V,W
ELZ;A,S,Z
EMM;A,E,I,O,S,Y
EMN;A,D,E,G,I,N,O,T,U
EMO;B,C,D,H,K,L,M,N,P,R,S,T,U,V,W,Z
EMR;A,B,C,D,E,F,G,H,I,K,L,O,P,S,T,U
EMS;A,D,E,F,G,H,I,L,M,O,R,S,T,U,W,Y
EMT;A,E,H,I,L,N,O,P,R,S,U
EMU;E,F,G,L,N,O,R,S,T
EMW;A,B,E,L,O,S
ENO;A,B,C,D,F,G,H,I,J,K,L,M,N,P,R,S,T,V,W,X,Z
ENP;A,D,E,I,K,O,R,S,T,Y
ENR;A,B,D,E,F,G,H,I,K,O,P,S,T,U,W,Y
ENS;A,B,C,D,E,F,G,H,I,K,L,O,P,R,S,T,W,Y,Z
ENT;A,B,C,D,E,F,G,H,I,K,L,M,O,P,R,S,T,U,V,W,X,Y
ENW;A,B,D,E,H,I,K,O,R,S,T
ENY;A,D,E,H,K,L,P,R,S,T,V
ENZ;A,I,O,S
EOP;B,C,D,H,K,L,M,N,P,R,S,T,X
EOR;A,B,C,D,F,G,H,K,L,M,N,P,R,S,T,U,V,W,X,Y,Z
EOS;B,C,D,F,G,H,J,K,L,M,N,O,P,R,S,T,V,W,X,Y
EOT;A,B,C,D,G,H,K,L,M,N,P,R,S,T,V,Y,Z
EOV;C,D,E,G,H,L,M,N,R,S,T,W
EOW;D,H,I,K,L,M,N,R,S,V,Y
EOX;N,P,R,S
EOY;B,D,G,J,K,R,S,T,W,Z
EPP;A,E,I,O,R,S
EPR;A,C,E,I,K,L,M,N,O,P,S,T,U,V,X,Y,Z
EPS;A,C,D,E,G,H,I,K,L,N,O,P,R,S,T,U,W,Y,Z
EPT;A,H,I,K,L,M,N,O,R,S,W,Y
EPW;E,H,I,L,S,T
EPY;H,I,K,L,M,N,R,S,T
EPZ;I,R,S
ERR;A,B,O,S,U
ERS;A,B,C,D,E,F,G,H,I,K,M,N,O,P,R,S,T,U,V,W,Y
ERT;A,C,E,F,G,H,I,K,M,N,O,P,S,T,U,V,W,Y,Z
ERU;A,B,C,D,G,H,I,J,L,M,N,O,P,R,S,T,V
ERV;A,B,D,E,I,O,P,S,T,U,Y
ERW;A,B,C,D,E,G,I,N,O,S,T
ERX;G,O,P
ERY;A,B,D,E,F,G,H,K,L,N,O,P,S,T,V,Y
ERZ;A,K,O,P,T
ESS;A,C,E,F,G,H,I,J,L,M,N,O,P,R,S,T,U,V,W,Y
EST;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,R,S,T,U,V,W,X,Y,Z
