AAB;137,1547
EOX;22308,25773
EOY;
EPP;
EPR;
EPS;
EPT;
EPW;4354
EPY;
EPZ;
ERR;
ERS;
ERT;
ERU;
ERV;
ERW;
ERX;
ERY;
ERZ;30109
ESS;
EST;
ESU;
ESV;
ESW;
ESX;
ESY;
ESZ;
ETT;
ETU;
ETV;
ETW;
ETX;
ETY;
EUY;5655,16953,20800,25650,33339
EVX;34269
EWX;
EWY;33339
EXY;2548,5997,8381,11649,22308,25773
EXZ;4505,10264,25757
EYZ;1382,33613
FFI;8625
FFO;
FGI;1769
FGO;
FGU;
FHO;19385,23082,34438
FIK;
FIL;
FIN;
FIR;
FIS;
FIT;
FIX;
FIZ;2327,25561,28059,32400
FLU;
FLY;
FMU;
FNO;
FNU;
FOO;
FOP;32518
FOR;
FOT;
FOU;
FOW;
FOX;
FOY;
FRU;
FRY;
GGI;
GHI;8641,26761,26766,32828,34773
GHO;1496,29002
GHU;
GIJ;
GIL;
GIM;
GIN;
GIO;
GIP;23097,24536,26761,26766
GIR;
GIS;
GIT;
GIV;
GIW;32425
GIZ;28172,29143
GJO;
GJU;22646,33088,34881,34883
GLO;
GLU;
GMO;
GMU;
GMY;24958,32899
GNO;
GNU;34869
GOO;
GOR;
GOS;
GOT;23373
GOV;
GOW;7916,19553
GOX;4947,15118,17911,19628,19755,22308,25773,26929,28264,29956,30242,32752,33031,34883,34925
GOY;
GPU;
GPY;
GRR;499,2873,5114,12040,29951,35133
GRU;
GSU;
GTU;
GTY;3782,23373,29954,35132
GUV;26894,27810,34870,34905
GUY;23333
HHO;21056,24969,30300,31283,31295,33368,33395,33396,35146
HHS;
HHU;4376,4377,21955
HIK;
HIM;22613,35142,35143
HIN;35184
HIO;
HIP;20756
HIS;
HIT;
HIU;28151
HMM;2914,12040,24457,26979,35237
HMO;
HMU;
HNO;
HNT;
HNU;
HOO;
HOP;
HOR;
HOS;
HOT;
HOW;
HOX;22355,26074,27055,35213,35219
HOY;
HOZ;2483,6248,11014,17488,25909,32826,33379,33422,34732
HPT;
HPU;
HPY;1900
HRY;34647,34723,35151
HSY;
HTU;
HTY;
HWY;
IIW;534
IJN;
IJZ;4963,13657,19698,22646,30398
IKL;
IKN;
IKO;
IKP;
IKR;
IKS;
IKT;
ILL;
ILM;
ILN;
ILO;
ILP;
ILS;
ILT;
IMM;
IMN;
IMO;
IMP;
IMR;
IMS;
IMV;27176,27703
IMX;
IMZ;27042,27135,30109,31535,32913,34836,34840,34854,34863,35143
INN;
INO;
INP;
INQ;
INR;
INS;
INT;
INU;
INV;27703
INW;
INX;20180
INY;
INZ;20763,35184
IOP;23097
IOS;32066
IPP;
IPR;
IPS;
IPT;
IPU;
IPX;7946,19628,20046,20124,23605,24536,25829,26459,27055
IPY;
IPZ;5043,15300,35060
IQS;32066
IRS;
IRT;
IRZ;30109
ISS;
IST;
ISU;32066
ISV;
ISW;
ISX;
ITT;
ITU;
ITW;
ITX;30010,35219
ITZ;
IVY;8578,35361
IWZ;29941
IZZ;18937
JLO;
JNU;1557,22646,32620,33752,34285
JOR;
JOT;
JOW;
JOY;9831,20064
JSU;
JTU;
KNO;
KOP;
KOR;
KOS;
KOU;
KOW;
KOY;
KST;
KSU;
KSY;
KUY;
LMO;
LMU;
LMY;
LNU;
LOO;
LOP;
LOR;
LOS;
LOT;
LOU;
LOV;
LOW;
LOX;24502,26929,30015,34925,35374,35388,35432,35433
LOY;
LOZ;22639,26861,34920,34930
LPU;
LPY;
LRU;
LSY;
LUU;21206
LUV;32407
LUX;5199,12487,12659,35317,35432,35433
LUZ;3666,19753,34920,35201
LVY;27173,35361,35391
MMM;
MMO;
MMU;35237
MNO;
MNU;
MNY;
MOO;
MOP;
MOR;
MOS;
MOT;
MOU;
MOV;27088
MOW;
MOY;
MOZ;285
MPU;
MRU;
MSU;
MTU;
MUU;22740,27703,31611,34185
MUV;27703
MUX;5199,20559,35432,35433
MUY;20064,20800,25447,35356
NNO;
NNU;34854
NOO;
NOR;
NOS;
NOT;
NOW;
NOX;29956,30019
NOY;
NPU;
NPW;31545,32035
NRU;
NSU;
NSY;
NTU;
NWY;
OOP;
OOR;
OOS;
OOT;
OOW;
OOX;5138,5423,7463,8149,9767,11191,12373,12528,12585,12659,15118,16866,17153,17490,17555,18167,18283,19145,19755,20124,20161,20458,20513,20559,21070,22308,23079,24502,25390,25773,26074,26476,26557,26929,27031,27060,27131,27147,29956,31136,32752,32966,33214,33929,34925,35213,35219,35317,35374,35432,35433
OOZ;
OPP;
OPR;
OPS;
OPT;
OPU;
OPW;
OPX;5155,7946,12373,19628,20119,27055,29956
OPZ;8714,12103,12420,15300,17488,19653,19819,22719,26877,26960,30007,31003,34828,34861,34930,34943,34979,35060,35143,35166,35201,35450
ORS;
ORT;
ORU;
ORV;
ORW;
OSS;
OST;
OSU;
OSV;
OSW;
OSX;3132,19628,19641
OSY;
OSZ;
OTT;
OTU;
OTW;
OTY;
OUY;22795
OVW;
OVX;3132,13981,30633,31668
OWW;19208,33335,34316
OWX;
OWY;
OXY;
PPU;
PRU;
PRY;
PST;
PSU;
PSY;
PTU;
PTW;
PUY;
PXY;520,5984,8381
QSU;
RSU;
RTU;
RTY;
RUY;
RWY;33339
SSU;
STU;
STY;
SUW;21956,26542,30299,31300
SUY;
SWY;
TTU;
TUU;272,297,367,19498,20558,21295,29453
TUX;3883,5199,9830,17957,25754,30019,34195,35433
UWZ;
UZZ;
ZZZ;578
