AAB;AAFQU,GGGNN,GGNOT
IZZ;AENRS,BKLLU
JLO;AABMN,AACIM,CDNUY,GMNPU
JNU;ABGIR,AGINS,CDIST,CERTU,DDEGU,DEGMT,DEINO,EIJTY,ESSST,FLOUY,GIINR,IINST,OOSUY
JOR;AAHPT,BCEOT,DELOO
JOT;CEEKT,CEIMR
JOW;BEINR
JOY;AIMRT,ARRTU
JSU;ACIRS,ACIZZ,CRUUU
JTU;
KNO;
KOP;
KOR;
KOS;
KOU;EEIQV
KOW;DILMO
KOY;
KST;
KSU;
KSY;
KUY;DILNN
LMO;
LMU;BFFFU
LMY;
LNU;CFIIU
LOO;
LOP;
LOR;
LOS;
LOT;
LOU;AEEGG,BBLYY
LOV;
LOW;
LOX;AAEMM,AAMPS,AERUU,AGIOY,ALMPS,BCHNU,CIMRU,DGOOY,DHRYY,GIMOY,INRTY,MOTYY
LOY;
LOZ;BEIIM,CGIOO,CHIOO,CIIOT,DEEIM,DEIMP,EEHMY,EEIMP,EEIVW,EPRYY,FGINO,GIMNZ,GINTU,GMOYY,NOOPY
LPU;
LPY;
LRU;
LSY;
LUU;BDEMR,BDENN,BDENO,BDEOR,BDIOT,BEIMN,BFFFM,BIOTT,CCHNT,CCIOR,CFIIN,CIIRT,DEGOO,DFOOR,DIIMV,DIKRU,EFFMN,EGIMO,EHIMQ,EINQY,FFIRT,FFNOT,FFORR,FHMOR,FHMOT,FHOTY,FJNOY,FORTT,GGINN,GHORT,GINTY,GMNRT,IOQRT
LUV;DEIIT,DIIMU,DIOOT,IIIMX,IILMU
LUX;AACRT,AAIIR,BCHNO,CIMOR,IIIMV,IILLM,IRSTU
LUZ;AAERZ,ADEGN,EEFSS,GGINZ,GIMNZ,GINNZ,GINPZ,GINWZ
LVY;AABLU,AABOW,AACNT,AGIIT,AGLRU,AIIRT,AIITT,ALRUU,CDIIS,CIIIT,CIRSU,DHIOS,DIIIT,GILOR,GIOOR,IIIRT
MMM;AIIST,IIINS
MMO;DFKPU,DOORT,KKOOO
MMU;CCKOR,CDKOR,CHIOR,CKORW,CNNOO,EEERZ,EERTX,FIORR
MNO;
MNU;
MNY;EFNNU,ELLPU
MOO;
MOP;AHIIX,DILLN,FIILL
MOR;
MOS;
MOT;
MOU;
MOV;AAFLR,ADILL,CIINY
MOW;DIKLO
MOY;
MOZ;AAKRU,CHIIR,HITTV
MPU;
MRU;
MSU;
MTU;
MUU;AACGI,AADLN,ACGIO,AFLNN,AILLV,BCCER,BEELL,BEILN,BFFFL,BINNU,BINRR,BINRV,CCHKN,DDENO,DDENP,DDFNO,DIILV,DOPPP,DPPPY,EFFLN,EFGIR,EFLNR,EGILO,EHILQ,EHIRT,EIOPR,ELNZZ,ELORV,FHLOT,FLNOR,IILLV,LLOPR
MUV;ACIIT,BINRU,CILNU,DDEIN,DEIIN,DIILU,IIILX,IILLU
MUX;AAENT,ABEGI,CILOR,COPRS,EELMP,EILLV,IIILV,IILLL
MUY;ACHIT,ACILT,AEHIT,AILTW,ALLOW,ALLTU,AOOTT,AORTT,BENTT,CDIIT,CEGIN,DEORT,DHIIT,DIITT,EEGHN,EINNO
NNO;
NNU;ACCHY,CCHIL,CDGHI,CDIQU,CGHHI,CIQUX,DEEEW,DGHIZ,EEEHQ,EEKKU,EEKLN,FGIIX,GGIIV,GHIIM,GHIIV,GIIMX,GIIVW,GILZZ
NOO;
NOR;
NOS;
NOT;
NOW;
NOX;BHORT,DFHOU,FIIIN,HIMPR
NOY;
NPU;ELUZZ
NPW;EGHIL,GHIMU,GHIPU
NRU;
NSU;
NSY;
NTU;
NWY;
OOP;
OOR;CIRWW,CRWWY,IIRRR
OOS;
OOT;
OOW;BEIKV,BKKOR,BKMOR,CCCKR,CCHHW,CIRRW,CKKRR,CRRWY,HKMOR,HKRRU
OOX;AACRT,AANPP,ABBDR,ACCDY,AGILY,ALNPY,AMNTY,BBBSY,BCENO,BDNSU,BEGLV,BEHMO,BEKMS,BEKTT,BELOS,BEMNY,BIINT,CCEIT,CCITY,CEITX,CINNT,CINTY,CIOTT,CIOTZ,DENRT,DFHNU,DGLOY,DHORT,EEMPS,EEMSS,EFGLV,EGLSY,EGNTU,EINNT,EINTX,GILMY,GLLYY,INOTZ,IRSUU,LMTYY,MNORY
OOZ;CGILO,CHILO
OPP;
OPR;
OPS;
OPT;
OPU;
OPW;
OPX;AALMS,AANOP,ABINT,AHIIM,AIIMS,ALLMS,CMRSU,DIORT,HIMNR,IRSUV
OPZ;AACGH,AAGMN,AANOR,AELRY,AGHOY,AOORS,BEHOO,CILOY,CIOTY,COOSY,DEERU,DHIOR,EEFRR,ELRYY,EMORS,EOORS,HIKOR,HILOY,HIOOR,HIRSU,HMOOR,LNOOY
ORS;
ORT;
ORU;
ORV;
ORW;
OSS;
OST;
OSU;
OSV;
OSW;
OSX;AFHKR,AHIPY,AKRWW,BBBOY,BCCMO,BDLOO,BDNOU,BFFNU,BMOOR,CMPRU,FHNTU,FILNU,FORTT,IORUU,IPRUV
OSY;
OSZ;
OTT;
OTU;
OTW;
OTY;CIITX
OUY;AELPQ,AMOTT,CEHLL,CLLOQ,DEILP,DEILT,DELTV,DMPPP,DMPPY,EGHMP,ELLNV
OVW;
OVX;AEINT,AENUU,DEEIT,IPRSU
OWW;ADDNR,ADDOR,ADLOR,ADNPR,ADNRT,ADPRR,AENRT,AEPRR,ARRTT,CIIRR,CIORR,CORRY,DDORY,DKOOR,DMOOR,DNNOT,EIKRR,EIMRR,GLMOR,KLOOR
OWX;ABCHT,ABEST,ACHLT,ACINS,AEPRT
OWY;
OXY;AGILO
PPU;CEEIT,CEENT,CHIIR,EEHNN,ENNTY
PRU;
PRY;
PST;
PSU;
PSY;
PTU;
PTW;AILLO,AINOY,DOORR
PUY;CDIIT,CHIRR
PXY;
QSU;CHIIL,GGILY
RSU;
RTU;
RTY;CIIMS,IIILV
RUY;AGIMQ
RWY;DEHLS
SSU;
STU;
STY;
