AABB;D,G,K,S,Y
AARV;B,I,L,N,S
AARY;B,F,H,K,L,R,S,T
AASU;B,C,L,N,P,Q,R,T
AASV;C,F,G,J,K,L,R,T
AATU;M,S
AATV;H,N,S
AATW;F,H,I,O,P,S
AATX;Y
AAWW;P,S
AAWY;L,S
ABBE;D,K,L,R,S,Y
ABBL;E,S,U
ABBO;C,K,N,O,S,T
ABBR;E,I,S,Y
ABBS;A,E,L,O,R,U
ABBU;B,L,S
ABBY;A,C,E,F,G,R,T,Y
ABCH;A,E,I,O,R,S,T
ABCK;A,L,R,S
ABCN;I,O,S
ABCR;A,E,H,I,K,O,S,T,Y
ABCS;A,H,I,K,N,R,S,U
ABDE;A,B,D,G,I,K,L,M,N,O,R,S,T,U,Y
ABDI;E,R,T
ABDL;A,E,N,O,S,U,Y
ABDN;A,E,H,L,R,S,Y
ABDO;E,L,O,R,S,T
ABDR;E,I,N,O,S,Y
ABDS;E,L,N,O,R,U,W
ABDU;E,L,S,Y
ABDW;S,Y
ABEK;B,D,H,L,N,R,S,Y
ABEL;B,C,D,E,F,G,H,J,K,L,M,R,S,T,Y,Z
ABEM;A,D,G,J,L,N,R,S,W,Y
ABEN;D,G,K,M,O,R,S,U,Y
ABEP;C,S,T
ABER;A,B,C,D,E,G,H,I,K,L,M,N,O,R,S,T,V,Y,Z
ABES;A,B,D,H,I,K,L,M,N,P,R,S,T,U,W,Y
ABET;A,D,G,H,L,P,R,S,T,U,Y
ABEU;D,N,S,T,X,Z
ABEY;B,D,K,L,M,N,R,S,T
ABFF;L,S,U,Y
ABFL;E,F,S
ABFR;I,S,U
ABFS;F,L,R,T
ABFT;A,S
ABGH;I,N,S
ABGI;E,H
ABGL;E,S
ABGM;A,E,O,S
ABGN;E,H,O,S,U
ABGR;E,O,S
ABGS;H,L,M,N,R
ABGY;B,G
ABHI;C,G,J,M,S,T
ABHL;E,S
ABHS;A,C,E,G,I,L,O,R,T,U
ABHT;C,E,I,S,U
ABHU;N,S,T
ABIL;A,I,K,M,N,O,P,Q,R,S,T,Y
ABIM;B,H,I,L,R,S,T
ABIN;A,C,K,L,Q,R,S,U,V
ABIO;C,L,O,S,T
ABIR;A,B,C,D,E,F,J,L,M,N,R,S,U,V
ABIS;A,C,E,H,J,L,M,N,O,R,S,T
ABIT;D,H,I,K,L,M,O,S
ABJM;E,O,S,U
ABJS;I,M,U
ABJU;M,S
ABKL;C,E,I,N,S,U,Y
ABKN;A,E,I,L,O,R,S
ABKO;B,N,R,S
ABKR;A,C,E,N,O,S,U,Y
ABKS;A,C,E,L,N,O,R,S,U,W
ABKU;L,R,S
ABKW;S
ABLL;E,S,U,Y
ABLM;E,I,S,U,Y
ABLO;D,I,O,R,S,T,W,X,Y
ABLS;A,B,D,E,F,G,H,I,K,L,M,O,S,T,U,W,Y
ABLT;A,E,I,O,R,S,T,U
ABLU;B,D,K,L,M,N,R,S,T
ABLW;N,O,R,S,Y
ABLY;D,E,I,K,L,M,O,S,W
ABMO;A,G,H,J,M,S,Z
ABMR;A,E,I,S,U,Y
ABMS;A,E,G,I,J,L,O,R,Y
ABNO;B,C,E,G,J,K,O,R,S,T,Z
ABNR;D,E,I,K,O,S,T,U,W,Y
ABNS;A,C,D,E,G,I,K,N,O,R,S,T,U,W
ABNT;O,R,S,U,Y
ABNU;A,E,G,H,I,L,N,R,S,T,Y
ABNW;A,L,R,S
ABOR;A,C,D,E,G,H,K,L,N,R,S,T,V,X,Y
ABOS;B,D,H,I,K,L,M,N,R,S,T
ABOT;B,D,I,J,L,N,O,R,S,U,W
ABPR;S
ABPS;E,R,U
ABPU;S
ABRS;A,B,C,D,E,F,G,H,I,K,M,N,O,P,S,T,U,W,Y
ABRT;A,C,E,L,N,O,S,U,Y
ABRU;F,I,K,L,M,N,Q,S,T
ABRW;L,N,S,Y
ABRY;A,B,C,D,E,K,M,N,O,R,S,T,W,X
ABSS;C,E,I,K,L,N,O,R,T,U,W,Y
ABST;A,E,F,H,I,L,N,O,R,S,T,U,Y
ABSU;A,B,C,D,E,H,J,K,L,N,P,Q,R,S,T
ABSW;D,E,K,L,N,R,S
ABSY;A,E,L,M,R,S,T
ABTT;A,E,L,S,U,Y
ABTU;E,H,L,N,O,R,S,T
ABTY;B,E,N,R,S,T,W
ABZZ;U
ACCE;A,H,L,M
ACCK;H,L,O,R,S,Y
ACCO;A,B,H,K,M,O,S,T,Y
ACDE;A,D,E,F,G,H,I,K,L,M,N,P,R,S,T,V,W,Y
ACDH;A,E,O,R,S,Y
ACDI;E,L,N,R,S,T,Y
ACDK;E,R,S
ACDL;E,I,O,S,U,Y
ACDO;H,L,R,S,T,Y
ACDR;E,H,I,K,O,S,Y
ACDS;E,H,I,K,L,N,O,R,S,U
ACEF;D,H,L,R,S,T
ACEG;D,L,R,S,Y
ACEH;B,C,D,F,K,L,M,N,P,R,S,T,V
ACEK;D,E,H,L,R,S,W,Y
ACEL;B,C,D,F,G,H,I,K,L,M,N,P,R,S,T,V,Y
ACEM;C,D,H,I,L,O,R,S,Y
ACEN;D,H,I,L,N,O,P,R,S,T
ACEP;A,B,D,E,H,L,N,R,S,T,X,Y
ACER;A,B,D,F,G,H,I,K,L,M,N,O,P,R,S,T,V,X,Z
ACES;D,E,F,G,H,I,K,L,M,N,P,R,S,T,U,V
ACET;A,D,F,H,L,N,O,P,R,S,T,U,X
ACEV;D,H,I,L,R,S
ACFF;H,S
ACFL;E,I,K,O,S
ACFS;E,F,I,L,R,T
ACFT;A,E,H,R,S
ACFU;H,R
ACGH;N,T,U
ACGL;E,N,S
ACGN;H,I,L,O,S
ACGR;E,I,O,S
ACGS;E,L,N,R,S
ACGY;D,E,U,W
ACHI;B,C,K,L,M,N,O,R,S,T
ACHK;A,C,E,I,L,N,R,S,T,W
ACHL;C,E,I,K,N,O,R,S,T,U
ACHM;E,I,O,P,R,S,T
ACHN;A,E,G,H,I,K,L,O,R,T,U
ACHO;B,C,D,I,L,M,N,O,P,R,S,T,V,W
ACHP;A,E,M,O,R,S,T
ACHR;A,B,D,E,I,K,L,M,N,O,P,R,S,T,Y
ACHS;B,D,E,I,K,L,M,O,P,R,T,U,V,W,Y
ACHT;B,C,E,F,G,H,I,K,L,M,N,O,P,R,S,W,Y
ACHV;E,O,S,U
ACHW;K,O,S,T
ACHY;A,D,R,S,T
ACHZ;
ACIL;D,E,F,H,I,L,M,N,P,S,T,U,V,X
ACIM;C,E,F,G,H,I,L,N,P,R,S,U
ACIN;B,D,E,F,G,H,I,L,M,O,P,R,S,T,U,V
ACIO;B,H,N,R,T,Z
ACIP;L,M,N,R,S,Z
ACIR;A,B,C,D,E,F,G,H,M,N,O,P,S,T,U,V
ACIS;A,B,D,E,F,H,K,L,M,N,P,R,S
ACJK;S,Y
ACKK;I,N,S,Y
ACKL;A,B,C,E,F,H,N,O,P,S,U
ACKM;S,U
ACKP;L,S,U
ACKR;B,C,D,E,F,H,N,O,S,T,W
ACKS;B,C,D,E,H,I,J,K,L,M,N,P,R,S,T,U,W,Y,Z
ACKT;H,R,S,Y
ACKU;L,M,P,Q,S
ACKW;E,H,O,R,S,Y
ACKY;A,C,E,J,K,S,T,W
ACKZ;S
ACLL;A,E,I,O,S
ACLM;E,I,O,P,S,Y
ACLN;A,E,G,H,I,K,S
ACLO;A,D,F,H,K,L,M,P,R,S,T,V,W,X,Y,Z
ACLP;A,E,I,K,M,O,S,T,U
ACLR;A,E,H,O,S,T,W,Y
ACLS;A,D,E,F,G,H,I,K,L,M,N,O,P,R,S,T,U,W,Y
ACLT;E,H,I,O,P,R,S,U,Y
ACLU;D,H,I,K,P,S,T
ACLW;O,R,S
ACLX;I,O,Y
ACLY;D,E,M,O,R,S,T,X
ACMO;C,E,H,L,M,N,P,R,S
ACMP;H,I,L,O,R,S,Y
ACMR;E,H,I,O,P,S,Y
ACMS;A,E,H,I,K,L,O,P,R,S,U,Y
ACMU;I,K,S
ACMY;E,L,P,R,S
ACNN;A,E,O,S,Y
ACNR;E,F,H,I,K,O,S,Y
ACNS;B,D,E,G,I,K,L,N,O,R,S,T,Y
ACNT;A,E,H,I,O,S,Y
ACNY;D,F,N,O,R,S,T
ACOP;H,L,M,N,R,S,T,Y
ACOR;B,D,E,G,H,I,K,L,M,N,P,S,T,Y
ACOS;C,D,H,L,M,N,P,R,S,T
ACOT;C,D,E,G,H,I,L,N,P,R,S,T,U
ACOX;E,L,N
ACPR;A,E,H,I,M,O,S,Y
ACPS;A,E,H,I,K,L,M,O,R,T,U,Y
ACPT;A,E,H,L,O,S,U
ACPU;K,L,N,P,S,T
ACPY;E,M,O,R,S
ACRR;E,H,S,U,Y
ACRS;A,B,D,E,F,G,H,I,K,L,M,N,O,P,R,S,T,U,W,Y,Z
ACRT;A,B,E,F,H,I,K,L,O,S,T,U
ACRW;K,L,S
ACRY;B,D,F,H,L,M,N,O,P,R,S,V,Z
ACRZ;E,S,Y
ACSS;A,B,D,E,G,I,K,L,M,N,O,R,T,U,W
ACST;E,F,H,K,L,N,O,P,R,S,T,U
ACSV;A,E,H
ACSW;A,H,K,L,R,S
ACSY;C,H,K,L,M,N,P,R,U
ACTT;E,I,O,R,S,Y
ACUY;C,G,O,S
ACVY;R
ADDE;B,C,D,F,H,I,J,L,R,S,T,V,W,Z
ADDO;H,I,R,S
ADDR;A,E,O,Y
ADDS;A,E,O,U,W,Y
ADDU;A,S
ADDW;E,S,Y
ADDY;B,C,D,F,L,N,P,R,S,W
ADEF;C,D,G,K,M,R,S,T,X,Y,Z
ADEG;A,B,C,F,G,J,L,M,P,R,S,T,U,W,Z
ADEH;A,C,D,J,K,L,M,O,R,S,T,W,X,Y,Z
ADEI;B,C,D,L,M,N,R,S,U,W,Z
ADEJ;D,G,H,P,S,W
ADEK;B,C,F,H,L,N,O,R,S,W
ADEL;A,B,C,D,E,G,H,I,K,L,M,N,O,P,R,S,T,V,W,X,Y,Z
ADEM;A,B,C,E,F,G,H,I,L,M,N,P,R,S,T,W,X,Y,Z
ADEN;B,C,E,I,K,L,M,O,P,R,S,T,V,W,Y
ADEO;B,H,K,L,N,P,R,Z
ADEP;C,G,J,L,M,N,O,R,S,T,U,V,W,Y
ADER;A,B,C,D,E,F,G,H,I,K,L,M,N,O,P,R,S,T,U,V,W,X,Y,Z
ADES;B,C,D,E,F,G,H,I,J,K,L,M,N,P,R,S,T,V,W,Y,Z
ADET;B,C,D,E,F,G,H,L,M,N,P,R,S,W,X
ADEV;C,D,E,L,N,P,R,S,W
ADEW;C,D,G,H,I,J,K,L,M,N,P,R,S,T,V,X,Y
ADEX;F,H,L,M,R,T,W
ADEY;B,C,F,H,L,M,N,P,R,S,W
ADEZ;D,F,G,H,I,L,M,O,R,S
ADFF;R,S,Y
ADFN;O,S
ADFO;N,S
ADFR;A,E,F,S,T,U,W
ADFS;E,F,N,O,R
ADFT;E,R
ADFY;D,E,F
ADGI;D,L,S
ADGL;E,I,N,S,Y
ADGN;L,O,R,S,W,Y
ADGO;J,M,N,O,P,S
ADGR;A,E,N,S,U
ADGS;E,I,L,N,O,R,U,W
ADGU;E,R,S,Y
ADGW;E,N,S
ADHJ;E,I,O
ADHK;E,I,S
ADHL;A,E,I,O,S,U
ADHN;A,B,I,O,S,U,Y
ADHO;C,D,E,J,L,N,R,S
ADHR;C,E,O,S,Y
ADHS;C,E,I,K,L,N,O,R,S,T,U,Y
ADHU;L,N,S
ADIK;A,H,N,O,S,U
ADIL;C,E,G,H,I,N,O,P,R,S,T,U,V,Y
ADIM;D,E,N,O,R,S,T,X
ADIP;A,H,L,O,R,S,V
ADIQ;S
ADIR;B,C,E,I,L,M,N,O,P,R,S,T,X,Y,Z
ADIS;A,C,E,G,H,K,L,M,O,P,Q,R,S,T,V,W,Y
ADIT;B,C,L,M,N,O,R,S,U,V
ADIV;F,L,N,O,P,S,T,V
ADIW;E,N,S
ADIY;C,L,R,S,Z
ADKN;E,I,R,S,Y
ADKR;C,E,N,S,Y
ADKS;C,E,H,I,L,N,R,U,W
ADKU;I,K,M,S
ADKW;E,S
ADLN;A,B,E,G,I,O,S,U
ADLO;B,C,E,H,I,L,M,N,P,S,T,U,W
ADLR;E,I,S,U,W,Y
ADLS;A,B,C,E,G,H,I,K,N,O,P,R,T,U,W,Y
ADLT;A,E,I,O,S,U
ADLU;B,C,F,H,I,M,N,O,R,S,T,Y
ADLW;A,E,M,O,R,S
ADLY;B,C,D,E,G,I,K,L,M,R,S,U
ADMN;A,E,I,O,S,U
ADMP;A,E,S,Y
ADMR;A,E,I,S,U,Y
ADMS;E,I,N,P,R,U,W
ADMU;K,L,N,O,R,S,T,W
ADMW;E,L,S,U
ADNO;E,F,G,H,I,L,M,N,O,R,S,W,Z
ADNP;A,E,S,Y
ADNR;B,E,G,I,K,O,S,T,W,Y
ADNS;A,B,C,E,F,G,H,K,L,M,O,P,R,S,T,U,W,Y
ADNT;E,I,R,S,U,Y
ADNU;C,H,J,L,M,N,S,T
ADNW;E,G,I,O,R,S
ADOP;E,G,I,L,S,T
ADOR;B,C,D,E,H,I,N,R,S,T,U,W
ADOS;B,C,D,F,G,H,I,L,N,P,R,S,T,W
ADOT;B,C,I,L,P,R,S,T,Y
ADOW;L,N,R,S
ADPR;E,I,S,U,Y
ADPS;E,I,L,M,N,O,R,Y
ADQU;O,S,Y
ADRS;B,C,E,F,G,H,I,K,L,M,N,O,P,S,T,U,W,Y
ADRT;E,F,I,N,O,S,Y
ADRU;E,F,G,L,M,O,P,R,S
ADRW;A,E,F,L,N,O,S
ADRY;B,C,D,E,H,I,K,L,M,N,P,S,T,V
ADSS;C,E,H,I,N,O,R,W
ADST;E,H,I,L,N,O,R,U,W
ADSW;A,B,D,E,G,I,K,L,M,N,O,R,S,T
ADSY;A,D,E,H,I,L,N,P,R,U
ADTU;C,I,L,M,N,S
ADTW;E,S
ADUY;B,G,L,Q,S
ADVY;R
ADWY;B,D,E,H
AEEG;L,N,P,R,T
AEEJ;
AEEK;C,M,N,P,R,S
AEEL;B,D,G,L,N,R,S,T,V,W,Y,Z
AEES;C,D,F,K,L,M,P,R,S,T,V,Z
AEEV;D,H,L,N,R,S,W
AEEW;L,V
AEFK;D,I,L,N,R,S,Y
AEFL;B,C,K,L,M,N,R,S,T,V,Y
AEFM;D,L,R,S
AEFN;A,E,G,I,K,L,R,S,Y
AEFR;A,C,D,E,I,K,L,M,N,O,P,R,S,T,U,V,W,Y
AEFS;C,D,E,H,K,L,M,N,R,S,T,V,X,Z
AEFT;C,D,L,R,S,T,W
AEFV;L,O,R,S,U
AEFZ;D,E,S
AEGG;D,I,O,R,S,U
AEGL;A,B,C,D,E,I,L,M,N,P,R,S,T,V,Y,Z
AEGM;B,D,I,L,M,N,O,R,S,Y
AEGN;B,E,F,L,M,O,R,S,T,U,V,Y
AEGP;A,D,E,H,L,R,S
AEGR;B,C,D,E,G,H,J,L,M,N,P,R,S,T,U,V,W,Y,Z
AEGS;C,D,G,I,L,M,N,P,R,S,T,U,V,W,Y,Z
AEGT;A,B,D,E,L,N,O,R,S,U
AEGU;D,G,J,N,R,S,T,V,Z
AEGV;A,L,N,R,S,U
AEGW;D,R,S
AEGY;C,L,M,N,R,S
AEGZ;A,D,L,R,S,U
AEHK;A,B,C,D,N,S,U
AEHL;B,C,D,M,O,P,R,S,T,U,V,W,Y,Z
AEHM;C,D,E,L,N,O,R,S,T
AEHN;C,K,M,N,S,T,V,Y
AEHP;A,C,G,H,L,R,S,Y
AEHR;B,C,D,E,G,J,L,M,P,S,T,U,V,W,Y,Z
AEHS;B,C,D,F,J,K,L,M,N,P,R,S,T,U,V,W,Y,Z
AEHT;B,C,D,E,H,L,M,N,R,S,T,U,W
AEHV;C,E,L,N,O,R,S,Y
AEHW;D,L,R,S,T
AEHY;D,L,N,P,R,S,V,Y
AEHZ;D,L,R,S
AEIK;F,L,S
AEIL;C,D,G,K,L,M,N,P,R,S,T,V,W,X,Z
AEIM;C,D,G,L,M,N,R,S,V,Z
AEIN;C,D,E,F,L,M,N,R,S,T,V,X,Z
AEIV;C,L,M,N,R,S,T,W,Z
AEJK;R,S,Y
AEJN;S
AEJP;D,L,R,S
AEJT;S
AEKK;M,S
AEKL;A,B,C,D,F,I,N,R,S,T,W,Y
AEKM;E,K,M,R,S
AEKN;A,B,D,E,F,H,L,O,P,R,S,T,V,W
AEKP;A,E,N,O,S,Y
AEKR;B,C,D,E,F,J,L,M,N,O,R,S,T,W
AEKS;B,C,D,E,F,H,I,J,K,L,M,N,P,R,S,T,U,W
AEKT;L,N,O,R,S,W
AEKW;A,C,D,L,N,O,R,S,T
AELL;B,C,D,E,F,G,I,L,P,S,Y
AELM;B,C,D,F,G,H,I,M,N,O,P,R,S,T,U,Y
AELN;A,C,D,E,F,G,I,K,M,O,P,R,S,T,U,V,W,Y
AELO;D,H,M,N,P,R,S,V,W,Z
AELP;A,C,D,G,H,I,J,L,M,N,O,P,R,S,T,U,Y
AELR;A,B,C,D,E,F,G,H,I,K,M,N,O,P,S,T,U,V,W,X,Y
AELS;B,C,D,E,F,G,H,I,K,L,M,N,O,P,R,S,T,U,V,W,X,Y,Z
AELT;A,B,C,D,E,F,G,H,I,K,M,N,P,R,S,T,U,V,X
AELV;A,C,D,E,F,G,H,I,J,N,O,R,S,T,U,V,Y
AELW;D,E,H,I,K,N,O,R,S
AELX;D,I,R,S,T
AELY;B,C,D,E,F,G,H,K,L,M,N,P,R,S,V
AELZ;B,D,E,G,H,I,O,S,Z
AEMM;D,E,G,I,K,L,S,Y
AEMN;B,D,E,G,H,I,L,R,S,T,V,X,Y
AEMR;A,B,C,D,E,F,G,H,I,K,L,N,O,P,R,S,T,Y,Z
AEMS;B,C,D,E,F,G,H,I,J,K,L,M,N,R,S,T,U,W,X,Y,Z
AEMT;A,D,H,L,N,R,S,T,Y
AEMW;B,D,S
AEMX;D,N,S
AEMZ;A,D,I,R,S,Y
AENN;C,H,I,P,S,T,X
AENO;B,C,D,G,K,L,P,S,T,V,X,Z
AENP;A,C,D,K,L,N,O,P,R,S,T,V
AENR;A,B,C,D,E,F,G,I,K,L,M,P,R,S,T,U,V,W,Y
AENS;A,B,C,D,F,G,H,I,J,K,L,M,N,O,P,R,S,T,U,V,W,Y,Z
AENT;A,C,D,E,G,H,I,K,L,M,N,O,P,R,S,Y,Z
AENU;B,G,L,Q,R,S
AENV;D,E,G,H,I,K,L,M,O,P,R,S,W
AENW;D,K,L,R,S,V,X,Y,Z
AENY;B,D,F,G,H,L,M,R,S,T,W
AENZ;I,O,S,T,W,Z
AEOR;B,C,D,F,K,L,M,P,S,T
AEOT;C,G,K,N,P,R,S,V,W,Z
AEOZ;A,D,E,L,N,O,S,T
AEPP;L,N,R,S,U
AEPR;A,C,D,E,F,G,H,I,J,L,M,N,O,P,R,S,T,U,V,W,Y
AEPS;B,C,D,E,G,H,I,J,K,L,N,O,P,R,S,T,U,V,X
AEPT;B,C,D,E,I,L,N,O,R,S,T,U,X,Y
AEPV;D,N,R,S,Y
AEPX;C,S,T
AERR;A,B,C,D,E,F,G,I,K,M,N,P,R,S,T,U,V,W,Y,Z
AERS;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,R,S,T,U,V,W,X,Y,Z
AERT;A,B,C,D,E,F,G,H,I,K,L,M,N,O,P,R,S,T,U,V,W,X,Y
AERU;A,D,F,G,H,I,L,N,P,Q,R,S,T,Z
AERV;B,C,D,E,F,G,H,I,L,N,P,R,S,T,V,W,Y
AERW;A,D,F,G,H,K,L,N,P,R,S,T,V,X,Y,Z
AERY;B,D,F,G,H,I,L,M,N,P,R,S,T,V,W
AERZ;B,C,D,E,G,H,I,M,R,S,U,W
AESS;B,C,D,E,F,G,H,K,L,M,N,O,P,R,S,T,V,W,X,Y,Z
AEST;B,C,D,E,F,G,H,J,K,L,M,N,O,P,R,S,T,U,V,W,X,Y,Z
AESU;B,C,G,H,K,L,M,N,P,R,T,V
AESV;C,D,E,F,G,H,I,L,N,O,P,R,S,T,U,W,X,Y
AESW;B,D,G,H,K,L,M,N,R,S,T,V,W,X
AESX;F,L,M,P,R,S,T,V,W,Z
AESY;B,D,G,H,J,L,M,N,R,S,T,V
AESZ;D,E,F,G,H,I,L,M,N,O,R,S,T,X
AETT;B,C,F,H,I,L,M,P,R,S
AETW;D,F,H,I,K,O,R,S,V
AETY;B,M,N,P,R,S
AETZ;E,N,O,S,Z
AEUV;F,G,L,M,S,T
AEUX;B
AEVW;A,D,E,I,N,R,S,T,Y
AEWW;S
AFFF;L,S,Y
AFFG;E,R,S
AFFH;C,S
AFFN;S,Y
AFFO;L
AFFR;D,G,S
AFFW;S,U
AFFY;B,D,F,N,S,T
AFGL;O,S,U
AFGN;A,E,I,O,S
AFGO;L,N,S,T
AFGR;F,S,T
AFGS;F,L,N,O,R
AFHK;S
AFHL;A,S
AFHS;A,E,F,K,L,T,U
AFHT;C,I,S
AFHU;C,G,S
AFIK;E,L,R,S
AFIL;C,K,L,N,O,P,R,S
AFIN;C,E,G,L,R,S,T
AFIR;B,C,E,K,L,M,N,Q,R,S,T,Y
AFIT;A,H,N,R,S,W
AFIW;S,T
AFIX;F
AFKL;C,E,I,N,S,Y
AFKN;A,E,L,R,S
AFKS;E,H,I,L,N,W
AFKW;S
AFLL;E,I,S
AFLM;E,M,S,Y
AFLN;A,E,I,K,S,W
AFLO;C,F,G,I,O,R,S,T,U
AFLP;I,S
AFLR;E,I,O,S,U,Y
AFLS;A,B,C,E,G,H,I,K,L,M,N,O,P,R,T,U,W,Y
AFLT;A,E,O,S,U,Y
AFLU;D,F,G,O,R,S,T,W
AFLW;N,S,U,Y
AFLX;Y
AFLY;E,K,M,R,S,T,W,X
AFMO;R,S,Y
AFMR;E,I,O,S
AFNO;D,G,N,S
AFNS;D,E,F,G,I,K,L,O,R,U,W
AFNU;A,M,R,S
AFNW;L,S,Y
AFOR;E,L,M,R,S,V,Y,Z
AFOS;D,G,L,M,N,R,S,T,Y
AFOY;M,R,S
AFPR;E,S
AFQW;S
AFRS;A,B,C,D,E,F,G,I,L,M,N,O,P,S,T,U,W,Y,Z
AFRT;C,D,E,G,I,K,S,Y
AFRU;B,C,D,E,L,N,S
AFRY;A,C,E,I,L,O,S,T
AFRZ;O,S
AFST;B,C,E,F,H,I,L,O,R,S,U,W
AFSU;H,L,M,N,R,T,V
AFSW;F,I,K,L,N,Q,R,T
AFSY;F,L,O,R
AFTU;L,O,S
AFTW;A,E,I,S
AFUX;
AFWY;L,N
AGGH;S
AGGI;E,N,R,S,W
AGGJ;S,Y
AGGM;S,U
AGGN;I,S,U,Y
AGGO;E,G,R
AGGR;A,E,I,O,S,Y
AGGS;E,H,I,J,M,N,R,U,Y
AGGU;E,L,M,N,S
AGHN;B,C,I,O,P,S,T,W
AGHR;A,E,P,T
AGHS;A,B,G,N,S,T,U
AGHT;C,I,N,R,S,U
AGHU;C,F,H,K,L,S,T,W
AGIL;A,D,E,H,K,L,N,O,R,S,U,W,Y
AGIM;A,C,E,N,O,S
AGIN;A,C,F,G,H,K,L,M,N,O,P,R,S,T,W,X,Z
AGIO;L,M,N,P,R,S
AGIR;A,C,G,J,L,N,O,P,S,T,V
AGIT;A,H,I,N,R,S,T,U
AGIV;I,R,S
AGIY;L,S
AGJO;D,S
AGJS;A,G,O
AGJU;A,E,L
AGKN;A,I,L,R,S,Y
AGKO;L,P,S
AGKS;N,O,S,U,W
AGKU;H,S
AGKW;S,Y
AGLL;A,E,I,S,Y
AGLM;E,O,S,U
AGLN;A,C,D,E,I,K,O,R,S
AGLO;F,I,K,M,N,O,P,R,S,T,V,W
AGLS;A,B,C,D,E,F,I,L,M,N,O,S,U,Y
AGLU;F,G,H,I,J,M,R,S,T
AGLY;A,D,E,I,L,P,R,S,Y,Z
AGMN;A,E,I,O,S,U,Y
AGMO;B,D,E,H,I,L,N,P,R,S,T
