AAAARR;0
AABCMN;46,634,647,669,683,687,716,730,748,856,868,901,907,926,930
AABCMT;637,837,892,907,930
AABCRS;
AABCSU;63,613,848,885,890,894,906
AABCUU;603,608,903
AABDER;46,588
AABDES;584
AABDET;70,1009
AABDEU;
AABDGO;678,682
AABDHI;648,679,987,1001,1004,1056,1060,1061,1067,1068,1069
AABDHS;961,1069
AABDIN;691
AABDIR;
AABDIT;540,694,1000,1035,1062,1079
AABDLL;
AABDLM;637,656,973
AABDLS;584,684
AABDMN;683
AABDNR;
AABDNS;
AABDOR;643,678,1071,1089
AABDRR;0,41,690,1089
AABDRT;588,680,694,1062,1066,1079,1085,1089
AABDRY;41,687,690,1062,1071,1079
AABDSS;1005,1055,1070,1087
AABEEM;711,1093
AABEFN;708,746,748,749,1189,1198,1201,1203,1204,1205
AABEGM;1106,1109
AABEGS;593,1211
AABEGT;557,1233
AABEIK;85,586,656,788
AABEIL;597,646,724,795,796,815,1193,1309
AABEKT;831,1016,1273
AABELM;603,1232,1342
AABELR;1256
AABELT;
AABELZ;85,790,1114,1122,1265,1284,1291
AABEMN;
AABEMO;94,530,604,1232,1236,1256,1258,1291
AABEMS;
AABEMT;668,1182
AABERS;
AABERT;
AABERU;46,608,662,670,713,761,1023,1153,1241,1288,1301,1342
AABERZ;849
AABESS;1148
AABEST;
AABETU;775,1109,1229
AABETZ;849,1114,1122,1284,1291
AABGGR;678
AABGGS;1207
AABGIM;570,1066,1379
AABGIN;609,682,859,1359,1367,1368
AABGIR;101,678,861,862
AABGKT;611,680
AABGMN;570,871,1066,1109,1379
AABGMS;1390
AABGOZ;997
AABGRT;680,853,857,867,873,1062,1066,1388
AABGSS;
AABHIJ;
AABHIS;103,559,576,885,1113,1245,1369,1399,1415
AABHJN;
AABHKS;
AABHKT;680,1416
AABHLR;595,1398
AABHMR;1068,1071
AABHMS;81
AABHNV;
AABHNW;773,1367
AABHSS;1055,1070
AABHSW;1009,1399
AABILL;866,870,1193
AABILM;1076
AABILU;722,798,859,903,1073,1076,1126
AABILX;
AABIMR;39,52,86,1127,1258,1291,1446,1451
AABINN;758,880,893,1123,1133,1213,1238,1253,1314,1359,1360,1376
AABINQ;722,1316
AABINR;
AABINS;
AABINW;1137,1214,1215,1301,1367
AABINZ;
AABIRR;41,548,571,572,681,690,796,862,903,1038,1124,1133,1140,1141,1288,1309,1363,1442
AABIRS;
AABIRZ;
AABISS;914,1087
AABIST;1415
AABISW;1031,1399
AABISZ;576,813
AABJNS;1423,1443
AABJNX;
AABJRS;535,1143,1423,1443
AABKMT;1273
AABKNN;1374
AABKNR;529,551,1214,1215
AABKNS;876,926
AABKRS;1469
AABKSU;105,1469
AABLLN;
AABLLO;866,870,897,908,1080
AABLLR;
AABLLT;836,870,1446
AABLMR;39,1232,1256,1258,1291
AABLMS;
AABLNS;114,623,889
AABLOR;1256
AABLOV;731,940,1138,1433
AABLRZ;1122,1284,1291
AABLSS;108,1055,1070,1397
AABLST;
AABLTU;113,1073,1432
AABMMS;876,1287,1338
AABMNR;1438
AABMNS;
AABMNT;1074,1257,1276
AABMNY;1354
AABMOS;688,876,924
AABMOY;947,1068,1071,1446
AABMPS;81,111,838,877,1087,1405
AABMRS;
AABMRY;947,1068,1071,1342,1390,1445,1446,1448
AABMSS;
AABMST;1110
AABNNY;880,930,955,1253,1376
AABNOR;107,854,881,1205,1269,1273,1314,1357,1388,1416,1438,1440,1466
AABNSS;40,533,847,1235
AABNST;1091
AABNSU;114,579,607,623,733,847,890,926,961,1082,1145,1185,1207,1234,1358,1370,1423,1473
AABNSW;
AABNSY;623,809,890,1077,1082,1338,1461
AABNYY;856
AABORR;544,1216,1440,1477
AABORS;7,924,1211
AABORT;1416,1477
AABORZ;107,849,1291
AABOSU;103,114,576,885,1340,1341,1358,1415,1418
AABRRS;571,1158
AABRRT;115,827,1442,1477
AABRSS;1055,1070
AABRST;
AABRSV;102,983,1120,1180
AABRSY;7,582,844,890
AABRSZ;
AABRTY;1477
AABSSU;1087
AABSTT;
AABTTU;1366,1402,1475
AABTTW;1233
AABZZZ;
AACCDI;
AACCDU;1529,1531
AACCEL;1478,1630,1649,1654
AACCHK;
AACCHM;
AACCHN;1582
AACCIL;5,597,1478,1517,1525,1546,1553,1626,1667,1713,1714,1729
AACCIM;
AACCIN;118,125,155,609,1498,1615,1641,1658
AACCKR;
AACCLO;621,1657,1696
AACCLP;1649
AACCLR;589,597,1649,1667
AACCMO;162,1534,1570,1584,1615,1657,1664,1670,1696,1697,1742
AACCNN;1496,1526,1536,1571,1631,1672,1704
AACCOS;1480,1481
AACCRT;162,163,1549,1742,1743,1744
AACCSY;1481,1548,1609,1619,1691,1693,1715,1723,1731,1738,1751
AACDDU;1785,1790
AACDEF;1510
AACDEI;
AACDEL;587
AACDER;588,640,643
AACDEU;46,1481,1537,1860,1937
AACDFR;
AACDGI;128,682,1538,1770,1800,1876,1886,2020,2021,2026,2028,2029,2030
AACDHR;1543,2040
AACDHS;1788
AACDHT;129,1544,2034,2040
AACDIR;
AACDLU;1860,2003,2075
AACDMP;1527,1912,1968,2048
AACDNR;
AACEFI;646,746,1865,2253,2264,2265
AACEFL;192,748,2253,2270
AACEFR;202,2252,2253,2264,2275
AACEGH;203,1580,1583,2113,2281,2284,2287,2289
AACEHP;765,1583,1901,2138,2287
AACEHR;1583
AACEHT;
AACEIL;138,214,597,724,789,790,795,796,815,1478,1557,1598,1626,2166,2308,2313,2322,2445
AACEJR;
AACELN;
AACELP;221,2474
AACELS;
AACELT;1626,2571,2599
AACEMO;530,643,669,748,801,1527,1534,1584,1822,1865,1871,1913,2132,2137,2270,2387,2492
AACEMR;2265,2275,2454
AACENN;50,205,594,782,783,1536,1591,1883,1885,1900,1916,1918,1928,2110,2153,2333,2414,2415,2421,2588
AACENP;784
AACENR;
AACENT;118
AACERS;
AACERT;2571
AACEST;
AACESU;1481,2391,2418
AACETU;
AACETV;
AACETX;196,845,1626,2337,2494,2545,2585
AACFIL;
AACFIS;180,2012,2013,2640
AACFLO;748,749,856,1657,1664,2248,2618,2633
AACFLU;
AACFNT;749,2111,2248,2275,2618,2646
AACFRS;235,1659,2622,2634,2640,2644,2647
AACFRX;1867
AACGGM;1871,2649,2650,2651
AACGHN;679,857,859,1666,2016,2649,2650,2661,2662,2669,2670,2671,2677
AACGIM;683,1669,2649,2650,2671,2675,2745
AACGIN;609,679,683,858,859,1804,2029,2615,2649,2650,2665,2675,2676,2703,2705,2721,2742
AACGIR;678,873,874,1538,1676,2308,2313,2615,2654,2721
AACGIU;859,872,1665,2021,2028,2649,2728
AACGLY;241,2025,2031,2113,2657,2673,2691,2725,2755,2757
AACHHL;2136
AACHKN;594,1908
AACHKP;255
AACHKR;1908
AACHKW;2669,2671
AACHLL;264
AACHLN;859,2411,2669
AACHLS;
AACHLT;1544
AACHMN;647,687,716,771,1666,2016,2041,2649
AACHMS;
AACHMT;1915,2034,2098,2138,2158,2414,2762
AACHNO;687,881,2016,2041,2674,2790,2803,2816
AACHNR;
AACHNS;1796
AACHNT;716,1916,2158,2414
AACHNZ;
AACHPS;2659,2687
AACHRS;242,2681
AACHRT;
AACHSW;2816
AACHSY;252,715,890,1609,1691,1693,1788,2033,2043,2659,2802,2806
AACHTT;2034,2765
AACHTW;2163
AACIJM;2021
AACILL;119,138,151,277,790,1620,2064,2907
AACILM;2778,2783,2890
AACILP;724,815,2048,2445,2474,2783
AACILR;214,724,815,2308,2313,2322,2654
AACIMN;233,2649,2890
AACIMS;2958
AACINR;2615
AACINS;882,2342,2391,2655,2705
AACIOT;259,870,897,1483,1626,1684,1689,2063,2076,2242,2326,2614,2824
AACIPR;2278
AACIPS;
AACIPT;
AACIRV;2063
AACISS;2761
AACIST;120,2014,2894
AACITV;2983
AACITX;251,1626,2171,2337,2545
AACJKL;
AACJLS;2884
AACJOU;1790
AACKLP;2213,2469
AACKPZ;
AACKRR;2571
AACKRW;2669
AACKSY;2573
AACKTT;
AACLLN;
AACLLS;2985
AACLLU;221,603,836,2469,2474,2828,2907,2910
AACLMT;162,163,1549,2031,2991
AACLMU;2728
AACLNO;621,1646,1689,2824
AACLNR;234,2618,2682
AACLNS;
AACLNT;1550,1743
AACLNU;621,859
AACLOS;838
AACLOT;621,897,1626,2087,2824
AACLOX;196,844,845,2585
AACLPR;
AACLPS;
AACLPU;221,1569,2220,2469,2474
AACLRS;2681
AACLRW;1649,2228,2669
AACLSU;894
AACLTU;621,1494,2021,2599,2814,2991
AACMNR;233,234,647,716,2265,2454
AACMNS;297,876,1747,2088
AACMNY;234,687,748,856,930,2016,2087,2089,2646,2757,2809
AACMOY;241,291,687,748,856,930,1993,2016,2031,2065,2076,2087,2089,2272,2382,2412,2492,2585,2646,2757,2778,2793,2809,2866
AACMRT;2275,2414,2454,2991
AACMSS;2987
AACMSW;2409,2410,2574,2645,2816
AACNNS;699,928,931,1883,2015,2043,2088,2110,2391,2415,2421,2457,2534,2588,2663,2665,2795,2819,2925,2948,2993
AACNOR;931,1655,1677,1744,2005,2111,2350,2607,2618,2647,2819,2994
AACNPT;2158
AACNRT;2618
AACNRY;12,165,234,283,291,1677,1735,2089,2643,2646,2760,2967
AACNST;
AACNSV;2054,2257,2463,2994
AACNTT;2746,2869,2880
AACNTV;199,1853,2607
AACPPY;815,1691,1729,2519,2806
AACPRS;149,2659,3002
AACPSS;878,2627,2744,2952
AACRRT;827,2571,2715
AACRRU;608,874,921,2028,2228
AACRST;
AACRSU;2085,2681,2819
AACRTV;
AACSSV;1816,2464,2525
AADDEL;3028,3061,3062,3084
AADDER;3032,3042
AADDEW;1756
AADDHS;961,1788
AADDIL;3088,3089,3094
AADDLN;1771,3089
AADDOU;1790
AADDRW;
AADDST;301,957,3044,3081
AADDSU;949,958,961,963,1779,1785,3021,3044,3049,3075,3081,3082
AADEFL;3100,3117
AADEFR;3222
AADEGJ;
AADEGL;13,1871,3061,3062,3231,3262
AADEGM;13,1860,1871
AADEGN;3010,3057,3296
AADEGS;546,3119
AADEGZ;997,3254,3269
AADEHK;585,1908,3103,3138
AADEIT;1504,1510,1511,1799,1812,1863,1940,1974,3155,3313,3345,3359,3404
AADEKM;656,665
AADEKW;1756,1843,3436
AADELS;
AADELT;13,3333,3359
AADELV;
AADELY;955
AADEMM;13,1534,3225,3262
AADEMN;
AADEMT;13,668,1534,1915,3081,3225,3345,3359
AADEMZ;3342,3345,3404
AADENT;945,1763,3054,3319
AADENX;1857,1867
AADEPR;1793
AADEPS;3119
AADERS;3132,3457
AADERT;588,1536
AADERW;
AADEWW;3436,3466
AADFIR;3222,3477,3478,3480
AADFLW;
AADFMU;1860,3225,3227
AADFNR;3216,3222,3477
AADFNT;3214,3227
AADFRS;
AADFRT;2011,3099,3113,3114,3214,3217,3218,3219,3222
AADGGS;2015,3119,3230,3489
AADGHR;3500,3501
AADGIM;2021,3089,3492
AADGIO;678,1059,1064,1538,2029,3269,3486
AADGIR;678,1538,3118,3500
AADGJU;2021
AADGMN;2016,3089,3492
AADGNP;3057,3488
AADGNR;
AADGOP;3488,3520
AADGRS;
AADGRU;308,3295
AADGRY;1062,1538,2031,3497,3500,3501
AADHIL;1001,1067,1813,1899,3302
AADHKN;1908
AADHMM;1071,3135
AADHMR;1071,3148
AADHNR;
AADHNS;961,3230
AADHNX;
AADHNY;1903,2016,3305,3308,3309,3319,3502,3559
AADHPR;1793,1901,1912,1914,2040,3028,3247,3551,3553,3555
AADHRS;
AADHRZ;3308
AADHSW;2019,3491,3548
AADIKS;1878,2037,3105,3356,3490
AADILO;350,658,1028,1525,1546,1822,1871,1872,1881,1897,2045,2075,3094,3269,3302,3389,3566,3573,3574,3577
AADILR;
AADILS;
AADILU;1067,1073,1076,1081,1082,1548,2075,3155,3164,3373,3386,3565,3575,3576,3577,3597
AADIMN;
AADIMR;
AADINR;
AADINS;3490
AADINT;333,3566,3574
AADINV;333,997,1059,1081
AADIPP;1520,1773,3302,3309,3551,3552,3601
AADIQS;1037,2085,3175
AADIST;1069,1812,2037
AADISZ;176,1514,3355
AADKMS;3609
AADKNS;
AADKPU;
AADLLS;191
AADLMP;171,335,973,3597
AADLMW;
AADLMY;1549,1912,1993,2087,3154,3443
AADLNO;955,979,3566
AADLNS;
AADLNU;1067,1081,3202,3373,3386,3565,3575,3576
AADLNV;3202
AADLOP;1546,3094,3302,3441,3555,3597
AADLPR;335,345,3094,3555,3597
AADLRU;
AADLSS;1055
AADLST;
AADLSW;1843,3548
AADMMN;3579
AADMMR;174,1071
AADMMS;
AADMNS;
AADMOU;1085,1860,2079,2089,3597
AADMPS;1087,3147,3608
AADMRS;
AADMRU;46,308,350,1085,2089,3597
AADMRZ;
AADMSS;1087,2049
AADMYY;2066,3594
AADNNP;3295,3447
AADNNR;303,1536,1885,3172,3295,3415,3439,3460,3598
AADNPR;1931,3206
AADNPS;
AADNRS;
AADNRT;945
AADNSV;
AADNSY;
AADOPS;
AADPPY;74,3309,3551,3552
AADPST;668,1840,3313
AADPSW;1843,3491,3611
AADPSY;185,1020,2042,3313,3604
AADPYY;
AADRRS;342,1482,2013
AADRSW;2019,3491,3548
AADRTU;1085,1790,2089
AADRTY;1764,3133,3472,3551
AADRVW;
AADSSZ;1040,1959,3311
AAEEGL;2095,2113,3673
AAEEGT;359,1800,1811,3660
AAEEKK;528
AAEELP;626,1129,1843,1847,2181,2214,3028,3707,3752,3753,3756
AAEELT;196,3729
AAEEOZ;3682,3826,3841
AAEEPR;358,1558,1570,1793,1847,2114,2115,2157,2175,2201,2214,2220,3028,3664,3707,3737,3752,3753,3756
AAEERT;
AAEFFR;
AAEFGN;367,1189,1800,1859,2243,3214,3641,3867,3873
AAEFGR;3873
AAEFLM;192,1189,1192,2270,3225,3227,3876,3877,3880,3881
AAEFLR;201,707,750,1102,1197,2270,3113,3218,3865,3880,3891
AAEFLV;1553,2253,2263
AAEFNR;202,369,708,1205,1769,2111,2252,2253,2264,2265,2268,2275,3214,3222,3641,3647,3650,3873,3878,3881,3894
AAEFNS;369,1866,1868,2251,2268,3221,3226,3229,3650,3879,3888,3894
AAEFNU;202,749,1201,1205,2268,2273,2275,3227,3229,3863,3895
AAEFRS;370
AAEGGL;1871,1872,3231,3233,3653,3656,3916
AAEGGR;
AAEGGV;65,3652,3901,3903
AAEGLM;1232,1584,1871,3262,4066
AAEGLN;
AAEGLR;2289,3062,3914,3943
AAEGLS;15
AAEGLT;1233,3916
AAEGLV;
AAEGMN;
AAEGMR;1584,2309
AAEGNN;367,987
AAEGNT;3867
AAEGOR;530,943,2126,2132,2284,2289,2308,2313,2339,3217,3247,3296,3691,3699,3871,3914,4063,4064
AAEGPR;3247,4070
AAEGPS;15,3937,4082
AAEGPV;2126,4047,4050
AAEGRV;389,3922,3973,4018,4047,4050
AAEGST;
AAEGSV;
AAEGTU;1109,1228,1770,3867,3909,3916,3936,4025,4045,4088
AAEHKP;4104
AAEHKS;
AAEHKT;585
AAEHLM;711,1813,2113,2411,4089,4104
AAEHLT;
AAEHMS;81,2141,2152,2288,2383,3643,3654,3946,4101,4126
AAEHMT;2138,3714,3716
AAEHNT;1763,1769,1904,1916,2393,3319,3623,3624,4131,4147
AAEHNY;1903,2153,2382,2393,2395,3305,3308,3309,3319,3734,3938,4109
AAEHPR;375,765,1901,1912,3028,3052,3247,3664,3725,4105
AAEHPW;
AAEILM;320,3262,3359,3877,4099,4104,4254
AAEILR;724,796,815,1309,2445,3647,3753
AAEILV;1553,2166,4204
AAEILX;1626,1813,2494,3163,3165,4099,4114
AAEIMN;1242
AAEINT;746,2242,2393,3936,4131
AAEIRS;3981,4350
AAEITV;1553,2166,4204
AAEKLM;427,2432,3750,3979,4104,4223,4226
AAEKLN;594,1646
AAEKLS;1327,2572,2573
AAEKMW;
AAEKNN;411,594,1908,3259
AAEKNS;4379
AAEKNW;2299
AAEKRS;2363,2572,3356
AAEKRT;831,1016,2571,4224
AAEKSW;428,1098,1148,1327,4059
AAELLP;1129,1192,2469,4222
AAELLU;603,836,1128,1149,1153,1155,1159,1193,1278,1286,1328,1330,1334,1337,2365,2469,2579,3073,3082,3225,3814,3863,4222,4248,4251,4385
AAELMR;1232,1342,3876,3877,4385,4392
AAELMT;
AAELNN;328,435,594,955,2153,3704,3823,4382
AAELNP;1129
AAELNT;
AAELOR;3217,3439,3871,4382
AAELPP;2099,3302
AAELPR;
AAELPS;15
AAELPT;
AAELRT;201,1654,2571,2599
AAELRU;201,1153,1159,1330,1334,1337,1342,1652,1654,2228,2599
AAELRV;940,980,4392,4410
AAELST;3761
AAELSV;4410
AAELTV;3730,3823
AAELTZ;1114,1614
AAEMMM;429,3993
AAEMNP;1242,1277
AAEMNS;18
AAEMNT;
AAEMNX;
AAEMRS;3132,3643,3876,4170,4387
AAEMRT;1915
AAEMSS;4211
AAEMST;668
AAEMSZ;176,2582,3787,4035,4332,4341,4387,4426
AAENNZ;3399,3682,3936
AAENOP;404,1242,1527,1655,1968,2005,3397,3400,3417,3840,4216,4344,4352,4420,4422
AAENOZ;3682,3826,4190,4194
AAENPS;3700
AAENPV;784,3413,3417,3730,3773,3823,4047,4352
AAENRS;1206,3046,3063,3242,4350
AAENST;3624
AAENSU;18,417,2391,2594,4294,4379
AAENSW;
AAEORT;1536,2132,3217,3439,3722,3871,4248
AAEOSZ;813,1305,2325,4020,4332,4387,4414
AAEPPR;375,3086,3921
AAEPRR;435,3848
AAEPRS;
AAEPRT;
AAEPRZ;2262,3753
AAEPTT;4446
AAEPTW;3319
AAERRR;375,796,1139,1563,2390
AAERRS;555,2594,4113,4350
AAERRT;827,2571,3025,3151,3614
AAERRW;207,2390,2571,4405
AAERST;
AAERSY;844,2562,3621,3981,4350
AAERTT;
AAERTU;4088
AAERWX;
AAERWY;1267,3621
AAESTV;366,1098,4439
AAESWY;
AAFFIM;3861,4455
AAFFIR;2612,2613,2614,4455
AAFFIT;2614,3861,4455
AAFFJS;
AAFFLR;
AAFFPR;
AAFFRY;4455
AAFFRZ;
AAFGHN;3214
AAFGIN;439,853,1189,1800,1859,2243,2612,2615,2617,3867,4449,4457,4459,4462,4463,4464,4466,4470
AAFGNR;439,853,2612,2615,3480,3641
AAFGNS;440,2616,2617,4462,4463
AAFHLS;1191,1353
AAFHMT;
AAFHRS;2250,3643,3864,3875
AAFHTW;
AAFIJT;
AAFIKL;
AAFIKS;
AAFIMS;2108,2634,2640,3223,3638,3883,4474,4482
AAFINR;233,439,2265,2612,2613,2615,3480,3647,3881,4477,4486,4488
AAFINT;
AAFIRS;1659,2634,3638,3646
AAFIST;3638
AAFKNS;1190
AAFKNT;
AAFLLL;2259,3874
AAFLNS;192,1190,1868,2251,2622,2643,3859,3870,3888,4491
AAFLNU;749,1201,2273,3227,3863,4491
AAFLOT;749,1358,3882,3891,4483,4491
AAFLSV;2622
AAFLTU;3225,3227,3863
AAFNSU;235,1358,1866,2268,2273,2640,2647,3229,4470,4491
AAFOST;131,855,1356,1358,1577,1803,1869,2271,2645,2647,3223,3482,3888,3894,4454,4471,4490,4491,4493
AAFRSY;2643
AAFSTW;2645,3482,4493
AAGGKU;
AAGGLO;1872,2653,2654,2657,3488,3915,3916,4503
AAGGMN;2649,3658,3909,4499
AAGGNZ;4496,4503,4506
AAGGQU;
AAGGRS;4500,4510,4528
AAGGRT;450,4509,4511,4514,4520,4522,4523,4524,4525
AAGGSW;3489,4527
AAGHIN;451,570,857,859,1209,1365,1366,1367,1368,1666,1668,1804,2649,2650,2669,2670,2671,2677,3010,3662,3922,3930,4499,4501,4535,4537,4538
AAGHJN;4499
AAGHKN;679,859,1367,2669,4535
AAGHLS;858,2681
AAGHLZ;241
AAGHMR;453,1670,2650,2661,2680,3478,3502,3661,3930,3947,4535,4560,4561
AAGHMS;1669,2288,3654
AAGHNR;1582,2650,2661,2669,2677,3662,3668,3865,3922,3930,4533,4535,4548,4560
AAGHNS;
AAGHNU;859,1366,1370,2677,3935,3936,4564
AAGHRR;2118,3214,3478,3500,3501,3668,3930,3949,4557,4560,4564,4565
AAGHST;452,455,3864,3926,3928,3937,4566
AAGIKN;529,609,679,859,1216,2721,3980,4457,4516
AAGILN;859,1367,1372,4449
AAGILO;1871,1872,2284,4517,4634
AAGILP;335,1872
AAGILR;2654,4517
AAGILS;
AAGILV;
AAGIMN;439,2649,4538
AAGIMS;1669
AAGINN;1359,2029,2712,3057,3682,4045,4516
AAGINR;2721,4516
AAGINS;
AAGINT;3936,4045
AAGINU;463,859,872,1058,1366,2649,2728,3520,3867,3906,3909,3936,3982,4003,4025,4045
AAGINV;1059
AAGIOS;374,455,1490,1669,3664,3937,3981,4051,4552
AAGIPR;1388,4466,4498,4525,4551,4582,4667
AAGIRS;3977
AAGIRW;207,2669,3922
AAGIRY;1062,1538,2722,2725,3056,3675,3921,4006,4043,4498,4524,4551,4627
AAGISS;3495,3528,3531,4469,4591,4601,4653,4662
AAGIST;455,1490,4552
AAGJNR;1214,2721
AAGJNS;4628,4629
AAGJRS;
AAGJRU;
AAGJSU;
AAGKLY;2722,4457
AAGKNS;876,1190
AAGLLN;1367,1372,1888,3938,3983,4535
AAGLLP;466,2673,2691,2726,2727,3488,4466,4531,4538,4580
AAGLMM;2316,2695,3914
AAGLMN;2757,3089,3492,4538,4673
AAGLNO;709
AAGLNR;
AAGLNS;
AAGLNT;467,1233,4449,4595
AAGLNU;463,859,872,2706,2728,2737,4593
AAGLRS;4676
AAGLRT;22,467,2031,3218,4673,4681,4682
AAGLST;
AAGLSY;3859,4011,4643,4651,4674,4677
AAGLSZ;2325,2702,2705,3963,4020,4600,4629
AAGLXY;3938,4681
AAGMMN;377,449,2316,2670,2695,2742,2743,3909,3965,4560,4574,4584,4603,4605
AAGMMR;22,449,2132
AAGMMS;1669,4082
AAGMMT;2132,3964,3965,4574,4603
AAGMNR;4560
AAGMNS;
AAGMNZ;
AAGMPR;1670
AAGMRS;2710
AAGMRY;2031,3056,3502,3945,4067,4559,4561
AAGMSY;4677
AAGNNO;1059,2029,2618,2724,3658,3915,4503,4678
AAGNNS;
AAGNNW;2
AAGNOR;873,1676,1677,3699,4560
AAGNOT;451,531,1233,2280,2618,3520,4063,4554
AAGNPR;2115,2278,3668,3983,4070,4466,4582
AAGNPS;
AAGNRR;2685,4560
AAGNRS;1206
AAGNRY;1677,2682,2722,2760,3675,3997,4006,4043,4067,4627
AAGNSS;
AAGNST;
AAGNSU;
AAGNTU;1109,1366,3520,3867,3909,3936,4025,4045,4464,4620
AAGNUY;1677,4564,4672
AAGNWY;
AAGORS;7,242,1490,2658,2738,4546,4552,4683
AAGOTU;1109,2030,3514,3520,3530,3916,4088,4649,4682
AAGPPR;1388,3668,3921,4525,4667
AAGRRY;1588,2686,3501,4565,4682
AAGRST;1490,2658,2659,2710,4552,4683
AAGRSZ;2702,3240,3963,4016,4020
AAGRUV;308,4088
AAGRVY;4627,4651
AAGSST;21,456,1229,2096,2133,4087
AAGSUV;
AAHHJJ;
AAHHLL;
AAHHLV;
AAHHMZ;
AAHHNT;945,2280
AAHHPT;252,575,1395,2763,4530
AAHIIK;2354,2355
AAHIKM;4104
AAHIKP;4104
AAHIKR;4535
AAHILT;1113,1114,1399,4707,4708,4714
AAHILY;143,1365,1403,1684,1896,2777,2778,3308,4099,4104,4109,4686,4693,4705,4706,4708
AAHIMS;470,1392,4126,4719
AAHINT;451,478,3721,3936,4131,4499,4548
AAHINW;1367,2669,3922
AAHIOT;451,478,570,575,881,1068,1237,1395,1398,1412,1598,1684,2387,3722,4131,4537,4548,4708
AAHIPR;25,3921,4498
AAHIRR;25,399,879,1597,2377,3478,3500,3714,3716,3930,4114
AAHIRS;470,4500,4692
AAHIRV;3922
AAHITW;
AAHJKT;
AAHJLS;4094
AAHJNR;
AAHJRR;
AAHJRS;470,2405
AAHKKT;
AAHKLS;1692,4702
AAHKLT;1117,2354
AAHKLY;4104
AAHKMS;105,2405,4726
AAHKNT;1416,4728
AAHKNU;859
AAHKPS;4729
AAHKPU;
AAHKSS;2761
AAHKSY;1788
AAHLLL;
AAHLLN;3100,3938
AAHLLO;1684,2778,2780,3938,4705
AAHLLP;4531,4538,4705
AAHLLS;
AAHLLW;
AAHLMM;4693
AAHLMS;
AAHLMT;2813
AAHLMU;
AAHLNS;474,961,1008,1191,1353,3315,4540,4702
AAHLOS;686,1070,1191,1247,1353,3556,4113,4685,4702
AAHLPS;1369
AAHLRS;2791,4113,4692
AAHLRT;145,146,473,1403
AAHLST;1399
AAHLSV;2359,4702
AAHLSW;
AAHMMM;
AAHMNR;3930,4560
AAHMNS;
AAHMNT;570,4147,4499,4537
AAHMOS;946,1589,1669,2416,3557,3654,3732,4126,4685,4731
AAHMPR;3714
AAHMPY;2113,2138,2778,3502,4104,4538,4559,4686,4693,4710
AAHMRS;3643,3875
AAHMSS;
AAHMST;3557
AAHMSU;105,2416,2818,3654,4726,4737
AAHMSW;2409,2410,2816,3875,4124,4731
AAHMSZ;
AAHMTZ;3711
AAHNNT;396,478,1916,2414,2814,3139,3936,4119,4131,4548,4720
AAHNPS;474,4740
