AABB;575
AFLR;
AFLS;
AFLT;
AFLU;
AFLW;
AFLX;3891
AFLY;
AFMO;1657
AFMR;234
AFNO;
AFNS;
AFNU;
AFNW;
AFOR;
AFOS;
AFOY;16643
AFPR;10643,10645
AFQW;
AFRS;
AFRT;
AFRU;
AFRY;
AFRZ;13671
AFST;
AFSU;
AFSW;
AFSY;
AFTU;
AFTW;
AFUX;1867,6100,10624,12399,14935,16543
AFWY;16606
AGGH;444,4498,16669,16670,16680
AGGI;
AGGJ;5648,6879,10671,10688,16672
AGGM;
AGGN;
AGGO;
AGGR;
AGGS;
AGGU;
AGHN;
AGHR;
AGHS;7667,7670
AGHT;
AGHU;
AGIL;
AGIM;
AGIN;
AGIO;
AGIR;
AGIT;
AGIV;13802
AGIY;8586,10697,10699,10760,10762,13122,15089
AGJO;8993,10846
AGJS;
AGJU;6880,6937,16672
AGKN;
AGKO;451,4537,15248
AGKS;
AGKU;
AGKW;2,9568,9817
AGLL;
AGLM;
AGLN;
AGLO;
AGLS;
AGLU;
AGLY;
AGMN;
AGMO;
AGMP;11657
AGMR;
AGMS;
AGMU;
AGMY;
AGNN;
AGNO;
AGNP;
AGNR;
AGNS;
AGNT;
AGNU;
AGNV;10905,10906
AGNW;
AGNY;
AGOP;
AGOR;
AGOS;
AGOT;
AGOY;7443
AGPS;
AGPU;
AGPW;
AGPY;10702
AGQU;439,463,13185
AGRS;
AGRT;
AGRU;
AGRV;
AGRY;
AGSS;
AGST;
AGSU;
AGSV;
AGSW;
AGSY;
AGSZ;
AGUY;16582
AGYZ;
AHHO;575,1236,1237,1364,1395,2016,2280,5473,6976,6977,6978,6979,7860,9851,10697,13801,14059,14061,15637,16740,16741,17064,17067,17071
AHHS;17064
AHHT;13202,16744,16747
AHIJ;4499,16672,16673
AHIK;
AHIL;
AHIM;
AHIN;6976
AHIO;444,4498,17063
AHIR;6591
AHIS;
AHIU;
AHIY;3305,5079,6979,9628
AHJJ;
AHKL;16760
AHKN;
AHKO;451,17080
AHKP;
AHKR;4728,17080
AHKS;
AHKT;
AHKU;
AHKW;17080
AHLL;11364
AHLM;
AHLO;
AHLR;
AHLS;
AHLT;
AHLU;
AHLY;241
AHMO;
AHMR;
AHMS;
AHMT;
AHMU;
AHMW;5357,13811
AHNO;15623
AHNR;6299
AHNS;
AHNT;
AHNU;
AHNW;313,3145,5357,7709
AHNY;
AHOP;404,444,13849
AHOR;
AHOS;
AHOT;
AHOW;
AHOX;7339,8583,9992,10624,15714,16773,16815,16821,17083,17143
AHOY;4104,11505
AHPR;
AHPS;
AHPT;
AHPU;
AHPW;11876
AHRS;
AHRT;
AHSS;
AHST;
AHSW;
AHSY;
AHTT;471,4554
AHTU;
AHTW;
AHYZ;241,345,1122,3556,9644,10754,12745,15813,15814
AIIL;
AIIN;
AIIX;1442,2693,3749,4693,6701,9599,14337,17273,17291
AIJL;2021,2166,15378
AIJO;
AIJS;
AIKK;
AIKL;
AIKM;
AIKN;
AIKP;
AIKR;
AIKS;
AIKT;
AIKU;
AIKV;
AIKZ;16836
AILM;
AILN;
AILP;
AILR;
AILS;
AILT;
AILV;
AILW;
AILX;
AILZ;17192,17197
AIMM;7711,11134
AIMN;
AIMO;5027,5028
AIMP;
AIMR;
AIMS;
AIMX;
AINN;4477
AINO;
AINP;
AINR;
AINS;
AINT;
AINU;
AINV;
AINW;
AINY;5772
AINZ;17197
AIOT;
AIPP;
AIPR;
AIPS;
AIPT;
AIQU;
AIRS;
AIRT;
AIRV;
AIRW;
AIRY;11296
AIRZ;
AISS;
AIST;
AISV;
AISW;29
AISX;
AITT;
AITU;
AITV;
AITW;
AITX;1442,11018
AITZ;507,1284,2706,3574,4595,4753,4798,10777,10781,16869,16900,17197,17213
AIVV;4829
AJKR;
AJKS;
AJKU;
AJLR;234
AJMS;470
AJNN;13015
AJOS;
AJOT;
AJPR;
AJPS;
AJPU;
AJRS;
AJRU;
AJSS;10011
AJSW;10932,12884
AJSY;470,6859,17108
AJXY;
AJYZ;
AJZZ;
AKKO;7552
AKKR;1488,2571
AKKS;
AKKY;
AKLN;
AKLO;14972
AKLP;
AKLR;
AKLT;
AKLU;
AKLW;
AKLY;
AKMO;
AKMR;
AKMS;
AKMW;
AKNO;
AKNP;
AKNR;
AKNS;
AKNT;
AKNU;
AKNW;
AKNY;
AKOP;
AKOR;
AKOS;
AKOT;
AKOY;
AKPR;
AKPS;
AKPU;
AKPW;
AKRR;
AKRS;
AKRT;
AKRU;
AKRW;
AKRY;
AKSS;
AKST;
AKSU;
AKSV;14645
AKSW;
AKSY;
AKTU;
AKTY;
AKUW;
ALLL;31,7277
ALLM;
ALLO;4222
ALLP;
ALLS;
ALLT;4475,4833,16625,16832
ALLW;
ALLY;
ALMM;
ALMO;
ALMP;
ALMR;
ALMS;
ALMT;
ALMU;
ALMY;
ALNO;
ALNP;
ALNR;
ALNT;
ALNU;
ALNW;
ALNX;11109
ALOO;9113
ALOP;
ALOR;
ALOS;
ALOT;
ALOV;
ALOW;
ALOZ;
ALPP;
ALPS;
ALPT;
ALPU;
ALPW;4992
ALPY;
ALRS;
ALRY;
ALSS;
ALST;
ALSU;
ALSV;
ALSW;
ALSY;
ALTU;
ALTW;
ALUU;1654,5014,6077,6095,7764,9241,11109,16476
ALUV;
ALUW;2228
ALWW;
ALWY;
ALYZ;345,1122,3556
AMMO;3914
AMMR;
AMMS;
AMMU;
AMNO;
AMNS;
AMNU;
AMNW;
AMNY;
AMOR;
AMOS;
AMOT;
AMOU;7392,13392
AMOW;
AMOX;
AMOY;
AMPR;
AMPS;
AMPT;
AMPU;13086,13168,13203,17303
AMPV;
AMRS;
AMRT;
AMRU;
AMRW;
AMRY;
AMSS;
AMST;
AMSU;
AMSW;
AMSY;
AMTT;8621,11008
AMTU;
AMTY;
AMYZ;16932
ANNO;
ANNS;
ANOR;
ANOS;
ANOT;
ANOV;
ANOW;
ANOX;6100,17083
ANOZ;4753,4885,17213
ANPS;
ANPT;
ANPU;
ANPW;
ANRS;
ANRT;
ANRU;
ANRW;
ANRY;
ANSS;
ANST;
ANSU;
ANSV;
ANSW;
ANSY;
ANTU;
ANTV;
ANTW;4906
ANUU;4671,5162,5756,6077,6095,7262,7764,7914,9241,10456,10619,10666,11109,12985,16670
ANUY;
ANVY;12,1357,2084,2607,3826,4350,10905,10906
ANWY;
ANYZ;
AOPR;
AOPS;
AOPT;
AOPU;
AORR;
AORS;
AORT;
AORU;
AORV;
AORW;
AORY;
AOSS;
AOST;
AOSV;
AOSY;
AOTU;
AOTY;5724
AOVW;
APPR;
APPS;
APPU;
APPY;
APRR;
APRS;
APRT;
APRU;
APRW;
APRY;
APSS;
APST;
APSU;
APSV;
APSW;
APSY;
APSZ;10753,13225,13256,15108,15222,16814
APTU;
APTY;
APUY;
APUZ;9178,17366
APWY;
AQST;
AQTU;
AQUY;1677
ARRY;
ARSS;
ARST;
ARSU;
ARSV;
ARSW;
ARSY;
ARTT;
ARTU;
ARTW;
ARTY;
ARTZ;849,8778,9036,11011,12102
ARUV;10836
ARUW;
ARVY;
ARWY;
ARXY;2585,4681,4747,14734
ARZZ;
ASSS;
ASST;
ASSV;
ASSW;
ASSY;
ASTT;
ASTU;
ASTV;
ASTW;
ASTY;
ASUV;
ASUY;
ASVV;
ASVW;
ASWW;13332,16782
ASWY;
ASYY;5731,7150,7710,7721,7744,8733,9951,10775,10927,10950,11207,15637,16753,16823,17071,17152,17425,17430
ATTT;11061
ATTU;
ATTW;
ATUV;
ATWY;
AVWY;
AWXY;
AWYY;
AWZZ;
BBBI;
BBCO;17476
BBEI;
BBEL;
BBES;
BBIJ;
BBIS;
BBLO;
BBLU;
BBMO;
BBOO;
BBOS;
BBOU;576
BBRU;
BBSU;
BBUU;4972,4978,4986,5014
BCEI;17867,17887
BCEK;
BCEU;
BCHI;
BCHU;
BCIR;17618
BCKO;
BCKU;
BCLO;
BCLU;17823
BCMO;
BCOS;
BCRU;
BCSU;17944
BDEE;
BDEI;
BDEL;
BDEN;
BDEO;
BDER;
BDES;
BDET;
BDEU;
BDEY;
BDII;1073,4971,5079
BDIN;
BDIR;
BDIS;
BDIU;
BDLO;
BDLU;18355
BDMU;
BDNO;
BDNU;
BDOO;
BDOR;
BDOS;
BDOU;
BDOY;
BDRU;18324
BDSU;
BEEF;17626
BEEH;
BEEL;
BEEN;
BEEP;
BEER;
BEES;
BEET;
BEGI;
BEGO;
BEGR;
BEGS;
BEGY;
BEHL;18249,18389
BEHR;18693
BEHT;
BEIJ;17867
BEIK;
BEIL;
BEIN;784
BEIR;
BEIS;
BEIT;
BEIV;784,17622
BEIX;5306,17717
BEIZ;
BEJN;1214
BEJO;
BEJU;
BEKM;5234,18825
BEKO;
BEKR;
BEKS;
BEKU;
BEKY;18463
BELL;
BELO;
BELP;
BELS;
BELT;
BELU;
BELW;5492
BELY;
BEMO;
BEMR;
BEMW;17744,18361
BENO;
BENR;
BENS;
BENT;
BENU;
BENW;96,773,5357
BEOO;1236
BEOP;1237,5473,5849,18496
BEOR;
BEOS;
BEOT;17806
BEOY;17867
BEPU;784
BERR;
BERS;
BERU;
BERV;
BERW;
BERY;
BEST;
BESW;
BESY;
BETU;
BETY;17806,18512
BEUZ;
BEVY;
BFFI;
BFFO;
BFFU;
BFIR;
BFIS;6855,6856,18925
BFLO;6500,17938
BFLU;1355,18051,18104,18924
BFMU;
BFOR;6500,18029,18679
BFOS;6225,17726
BFOU;18051
BFOY;
BFSU;17586
BGGI;678
BGIL;
BGIN;
BGIO;678,1364
BGIR;
BGIS;
BGLO;
BGNO;
BGNU;
BGOO;1364
BGOR;
BGOS;
BGOY;
BGRU;
BGSU;
BHIS;18521,18766
BHLU;5713,17823,17855
BHOO;1071,5077,17603,17839
BHOS;18984
BHOT;
BHRU;
BHSU;
BHTU;18109,18242,18545
BIIS;17557,17944,19001
BIJS;
BIKL;
BIKN;
BIKR;
BIKS;
BIKU;6986
BILL;17476
BILM;
BILN;
BILO;
BILP;17476,17603,17630,17777,18389
BILR;
BILS;
BILT;17970
BIMN;17744,18361
BIMR;
BIMS;
BIMZ;18081,18929
BINR;
BINS;
BINT;
BINY;880,5772,6141,6977
BIOR;
BIOS;
BIOT;
BIRR;17696,17977,18992
BIRS;
BIRT;
BISS;
BIST;
BISV;1392,6902,18055
BITT;619,5683
BJOS;
BKLU;
BKNO;
BKNU;
BKOO;
BKOR;
BKOS;
BKOU;
BKOY;
BKRU;
BKSU;
BLLO;17476
BLLU;
BLOO;
BLOS;
BLOT;
BLOW;
BLRU;
BLRY;5075
BLSU;
BMNU;
BMOO;1236,6286
BMOR;
BMOS;
BMOT;1089,17752,17806
BMOU;
BMOW;
BMOY;18996
BMPU;
BMSU;
BNNU;
BNOO;
BNOR;
BNOS;
BNOU;1328
BNOY;6977
BNRU;
BNSU;
BNTU;
BOOR;
BOOS;
BOOT;
BOOY;
BOOZ;
BOPR;18996
BOPS;6965,18961,18999,19001
BORS;
BORT;
BORW;
BORY;
BOSS;
BOST;
BOSV;17866,17884
BOSW;
BOSY;
BOTT;1416
BOTU;
BOTY;19002
BOUY;18996
BOUZ;6152
BOXY;18178
BPRU;17983,18996
BPSU;
BPUY;113,17983
BRRR;1091,1442,5000,5273,5428,5678,5781,6154,6233,17728,17782,17787,18061,18575,18601,18620
BRRU;
BRSU;
BRTU;
BRUX;1449,6100,17699
BRUY;
BSSU;
BSTU;
BSUY;
BTTU;
BUZZ;
CCEE;1483,5097,7300,7392,7398,17567,17579,19252,19278,19289,19311,19329,19376
CCEO;7392,19070,19329
CCHI;
CCHO;19329
CCKO;
CCOO;19405,19636
CCOR;
CCOY;17600,19038,19044,19077,19086,19098,19207,19254,19329,19644,19713,19720
CDEE;
CDEI;
CDEK;
CDEO;
CDER;
CDEU;
CDHI;
CDIK;634,8247,8671
CDIO;
CDIS;
CDIT;
CDIU;
CDKO;8671
CDKU;680
CDLO;
CDNO;
CDOO;20591
CDOR;
CDOS;
CDOU;
CDRU;680
CDSU;
CDTU;
CEEH;
CEEP;
CEER;
CEES;
CEET;
CEEX;
CEFH;20879
CEFI;19422
CEFK;
CEFL;19422,20218,21532
CEFY;7419,7423,19121,19420,19422,20861,20869,21530,21560
CEGK;5219,5220,7439
CEGL;17460,19070
CEHH;5223,5471,7860,8923,9588,17843,19312,20695,21782,21800
CEHK;
CEHL;
CEHM;
CEHO;
CEHP;
CEHR;
CEHS;
CEHT;
CEHW;
CEHY;
CEHZ;7477,9011,21794,21849
CEIL;
CEIM;
CEIN;
CEIP;
CEIR;
CEIS;
CEIT;
CEIV;
CEIW;1755
CEKK;587,588,1488,5087,7256,7552
CEKM;
CEKN;
CEKO;
CEKP;
CEKR;
CEKU;21120
CELL;
CELM;
CELO;
CELS;
CELT;
CELU;
CELW;10291
CEMO;
CEMR;
CEMY;
CENO;
CENS;
CENT;
CENU;
CEOP;
CEOR;
CEOS;
CEOT;
CEOV;
CEOZ;
CEPR;
CEPS;
CEPU;
CERS;
CERT;
CERU;
CERW;
CESS;
CEST;
CESU;
CESY;22030
CETU;
CETY;20861
CFFO;2614
CFFU;
CFIL;
CFIO;
CFIS;
CFIU;20649,20651,20913
CFKU;
CFLO;
CFNO;19422
CFOO;7658,8568,10590,10620,10643,10649,10663,19422,19608,19799,20224,20867,22319
CFOR;
CFOT;17726,19960
CFRU;22318
CFSU;
CGHO;241
CGHU;21581
CGIS;7667,7670
CGKU;680
CGLO;241,21009
CGOR;21764
CGOS;21011
CGSU;
CHIK;
CHIL;
CHIM;
CHIN;
CHIP;
CHIR;
CHIS;
CHIT;
CHIU;5348,21581
CHIV;238
CHIW;2390
CHIZ;20296,22415
CHKO;
CHKU;
CHLO;
CHLY;241,1544
CHMO;
CHMU;
CHNO;
CHOO;
CHOP;
CHOR;
CHOS;
CHOT;
CHOU;
CHOW;
CHRU;
CHSU;
CHTU;
CHUY;21097
CHWY;2816
CIKK;
CIKL;
CIKM;634,2670,7431,8946
CIKN;
CIKP;
CIKR;
CIKS;
CIKT;
CIKW;8600
CIKY;
CILL;17476,22447
CILO;
CILP;
CILR;
CILT;
CIMO;
CIMR;
CIMS;
CINO;
CINQ;
CINU;
CINZ;2706,10063,17942,22420,22434
CIOR;
CIOT;
CIOX;8583
CIOZ;
CIPR;
CIPS;
CIPY;
CIRS;
CIRT;
CIRU;
CIRY;1538,11296,17475
CISS;
CIST;
CITU;
CITY;5772
CJKO;5648
CJOO;
CJOU;
CKLO;
CKLU;
CKMO;10720
CKMU;
CKNO;
CKOO;
CKOP;20694
CKOR;
CKOS;
CKOT;
CKOW;
CKOY;
CKPU;
CKRU;
CKSU;
CKTU;
CKUY;
CLLO;
CLLU;
CLMU;
CLNO;
CLOO;8568
CLOP;20694
CLOS;
CLOT;
CLOU;
CLOW;
CLOY;
CLRU;
CLSU;
CLTU;
CMMO;
CMOO;
CMOP;
CMOR;
CMOS;
CMSU;
CMSW;10507,17932,17964,19657,20590,21126,22303
CMSY;
CNNO;
CNOO;
CNOR;
CNOS;
CNOU;
CNOY;
CNRU;
CNSY;22030,22617
CNTU;
COOP;
COOS;
COOT;
COPR;
COPS;
COPU;
COPW;
COPY;
CORS;
CORT;
CORU;
CORW;
CORY;19609
COSS;
COST;
COSW;
COSY;
COTT;
COWY;2816,10039,21709
COXY;7226,7339,10033,10472,22538
COYZ;241,22416
CPSU;
CRRU;
CRSU;
CRSY;22536
CRTU;
CRUX;1867,11018,11320,17699,21536,22538,22688
CSSU;
CSTU;
CSTY;
DDEE;
DDEI;
DDEO;
DDER;
DDEU;
DDEY;
DDIO;
DDIY;
DDOO;11571
DDOS;
DDOW;
DDRU;
DDSU;18057,22993
DEEF;
DEEG;
DEEH;
DEEI;
DEEJ;
DEEK;
DEEL;
DEEM;
DEEN;
DEEP;
DEER;
DEES;
DEET;
DEEV;
DEEW;
DEEX;
DEEY;
DEFI;
DEFL;
DEFN;
DEFO;
DEFS;
DEFT;
DEFU;
DEFY;18201,23960
DEGI;
DEGL;
DEGO;
DEGR;
DEGS;
DEGU;
DEGY;
DEHI;
DEHL;
DEHN;
DEHO;
DEHR;
DEHS;
DEHU;3138
DEHY;
DEIJ;
DEIK;
DEIL;
DEIM;
DEIN;
DEIP;
DEIR;
DEIS;
DEIT;
DEIV;
DEIW;
DEKO;
DEKR;
DEKS;
DEKU;
DEKY;
DELL;
DELM;
DELN;
DELO;
DELP;
DELS;
DELT;
DELU;
DELV;
DELW;
DELY;
DEMN;
DEMO;
DEMR;
DEMS;
DEMY;
DENO;
DENP;
DENR;
DENS;
DENT;
DENU;
DENV;
DENW;
DENY;
DEOP;
DEOR;
DEOS;
DEOT;
DEOV;
DEOW;
DEOY;
DEOZ;
DEPS;
DEPU;
DERS;
DERU;
DERV;
DERW;
DERY;
DEST;
DESU;
DESV;
DESW;
DESY;
DESZ;
DETU;
DETY;
DEWY;
DEXY;
DFFI;2008,3477,8568
DFFO;2008
DFFU;
DFIN;960
DFIO;960,8568
DFIS;6094
DFLO;
DFNO;24405
DFNU;
DFOO;
DFOR;
DFOU;
DFOW;3482
DFRY;
DFSU;
DGIL;
DGIN;
DGIR;
DGIS;
DGIU;13069
DGLO;
DGNO;
DGNU;
DGOO;
DGOS;
DGOW;
DGOY;2016
DGRU;
DGSU;
DHIL;23992,24526
DHIN;24526
DHIS;
DHIW;
DHKU;680,3138
DHLO;
DHNO;20537,24405,24514,24540
DHOO;
DHOS;
DHOT;
DHOW;
DHOY;2016
DHOZ;8313,12372,12458,19172,20296,23418,23421,23992,24137,24188,24459
DHSU;
DHTU;3138
DIIM;
DIIN;
DIIR;
DIIV;
DIIX;
DIJN;
DIJR;
DIKL;19048,20584
DIKN;
DIKR;
DIKS;
DILL;
DILM;
DILN;
DILO;
DILR;
DILS;
DILV;
DILW;8600,24558
DILY;
DIMN;
DIMO;
DIMP;
DIMS;
DIMU;
DINO;
DINR;
DINS;
DINT;
DINW;
DIOR;
DIOT;
DIOV;
DIOX;
DIPR;
DIPS;
DIPT;
DIQU;13185
DIRS;
DIRT;
DIRU;
DIRY;
DISS;
DIST;
DISU;
DISV;
DISY;
DITT;2034,8621
DITU;
DITY;
DITZ;318,1899,1924,3430,3518,3584,12775,13098,13140,13141,13184,13239,18177,20026,20216,20296,20346,20383,23138,23986,24338
DIXY;18178,19862,24188
DJOO;
DJOU;
DJSU;
DJUY;20142,20564
DKNO;24478
DKNU;
DKNY;
DKOO;
DKOR;24478
DKOU;
DKSU;
DKUU;7256,12626,19107,20062
DLLO;
DLLU;13262,18051
DLMO;
DLOO;
DLOP;24538
DLOR;
DLOS;
DLOT;
DLOU;
DLOW;
DLOY;
DLSU;
DLUY;
DMOO;
DMOR;
DMOS;
DMOU;
DMOY;
DMPU;
DMRU;
DMSU;
DNOO;
DNOP;24514
DNOS;
DNOU;
DNOW;
DNOY;
DNRU;
DNRY;
DNSU;
DNSY;18345
DNTU;
DNTY;20575,24514,24541,24561
DNUY;
DNWY;
DOOP;
DOOR;
DOOS;
DOOW;
DOPR;
DOPS;
DOPU;
DOPW;
DOPY;
DOQU;
DORR;24536
DORS;
DORT;
DORU;
DORW;
DORY;
DOSS;
DOST;
DOSU;
DOSW;
DOSY;
DOSZ;8616
DOTU;
DOTW;
DOTY;18336
DOUX;6100,12763,17699,20312,22964
DOXY;13202
DOYZ;3556,13019,24188
DPSU;
DPUU;8179,13033,13185
DRRU;
DRSU;
DRSY;
DRTU;
DRUY;
DSSU;
DSTU;
DSUW;19212
DTUY;11597,18049,20142,20159
DUUW;
EEEP;
EEEW;18429,18442,20815,24692
EEFJ;17626
EEFK;20882,20899,25170
EEFL;
EEFM;
EEFN;
EEFR;
EEFS;
EEFT;20899,20911
EEGH;2113,13802,13849,25311
EEGK;
EEGL;
EEGN;
EEGO;
EEGP;18512
EEGR;
EEGS;
EEGU;
EEGZ;18490,23433,25462,25475
EEHL;
EEHM;17632
EEHR;
EEHT;
EEHW;
EEIN;
EEJL;11942
EEJP;21400
EEJR;12253
EEJS;
EEJT;
EEJZ;14343,17758
EEKK;
EEKL;
EEKM;
EEKN;
