AAAADNP;ILOTT
AAADMNT;CCEII,GHIOO
AAADMPP;
AAADMRS;AILNN,BEILT,DILNO,EGIUV,ILOQU
AAADNNS;AILMR,EFFOR,EILMR,JMPRU
AAADNPS;CENOU,JMNRU
AAADNRS;AILMN,DILMO,IILOR,JMNPU
AAADNRT;EIOPT,FIIOZ
AAADWYY;
AAAEGLT;CCIMT,CGGOU,EGMNU,EMMNN,EMNOP,ILMOT
AAAEGNP;AGLRU,CNORY,ELMOT
AAAEHLT;INNRT
AAAEIMN;AMRRT,CCDLO,CHILV,EHTTZ,HORTT,LOPPR
AAAEKST;HORUV,LMNOO
AAAELMP;CHILR,INOPR,NOSSS
AAAELSZ;
AAAEMRT;AIMNR,BDILZ,CCEIR,CHIRT,CHLOY,EILMT,HOPRY,ILRTX
AAAENST;BHIRR,CCHOU,CCRTT,CDHIR,CDILR,CDIRT,CEIMO,CERTV,CFITT,CHIRR,CMRRY,GIILR,KLMOO,LRTUV
AAAERWY;
AAAFFLL;
AAAFHRT;
AAAFIRT;CINRT,DINOZ
AAAFNRS;CIMNO,CIMRT,CJLMY,DIIOT,GIMQU,IRTTU
AAAFRWY;
AAAGGLN;AEPRU,AIMMT,EEMTU
AAAGHIP;CLLNY
AAAGHLN;
AAAGHNT;DIMOO,EIMMO
AAAGHPR;ELOPY,NOSTU
AAAGILN;AGMMT,AMMOT,CHLPY,DERTV,IINTT,ILPTZ,INOTV,NNPRT
AAAGINR;ACMMT,CEMPT,ENNNO,LNNPT
AAAGINZ;BINPT,CDIMM,ILLPT,INOPT
AAAGIPT;BINNS,BINNZ,CCINT,CDIMR,CEMNR,GOPRU,HIMRS,HMNRS,HPRRS,INNOS,INNOZ
AAAGISS;ILNPR,IMNRR,INNRU
AAAGJMU;
AAAGKNR;
AAAGLMM;EENNT
AAAGLMN;AGIMT,AIMOT,EEMNT,EEOPT
AAAGLNO;AIMMT,EEMPT,IINTV
AAAGLNS;
AAAGLRS;
AAAGMMT;EELNN,EORST
AAAGMNR;
AAAGMNS;CDIIM,EHIMO
AAAGMTT;CCEIL,EILLO,EMORS
AAAGNNS;AAKTW,BIIPT,EEIRX,IIOPT,ILPQU,ILRTV
AAAGNPR;GHIPR,ILNNT
AAAGNRR;DLQUU
AAAGNRT;ACIMM,AEVXZ,CEEVX,CEVXY,ILNNP
AAAGNRU;DLQRU
AAAGNST;AAKNW,BIINP,IILLP,IINOP
AAAGNTY;CERVX
AAAHHKL;
AAAHHLL;
AAAHHLV;
AAAHIKP;
AAAHIKW;
AAAHINR;ACCTT,ELNTT
AAAHIPS;BNOOT
AAAHIST;ACNRS,ANPRW,BCKLN,BEERS,BNOOP,CCDRY,CDENR,CKPPR,CLNOU,CPPRR,EEPRS,ENPPR,GKNOT,GPPRR,NNORZ
AAAHJKW;
AAAHKRS;CIPPT,EOTUV
AAAHLLS;CCKUW,CEGIP,MNPTY
AAAHLMR;CEILP,CEOTY
AAAHLNN;ABCCI,CCIOR,CEEIP,EIRTT,IILOT
AAAHLSW;CCKLU
AAAHMMT;CEILT,IINOR
AAAHMRS;
AAAHMST;LOPTY
AAAHNSV;
AAAHPRT;CEIRT,CLLYY,EMORY
AAAHRTW;
AAAHTTT;
AAAIKKR;
AAAIKLT;
AAAIKRS;CHPPT
AAAILLS;BCCIT,BCEIM,BNSUY,CCCDY,CEGHP,CEGNN,CIMNT,GINPT,IMMMR,NNRTY,NOTTU
AAAILMR;BDEGM,BDETZ,BEEGR,EEMTT,ERTTX,IPRTY
AAAILNX;CEOTV,CERRT,ENNOT
AAAILPS;BEENP,CCHTY,CEGHL,GILNT,GNNQU
AAAILRS;CCDHO,CNNOY,DINOR
AAAILRT;ACCPT,BDEMZ,BENOR,CEMPR,EEMMT,EHNNT,EINQU,EMRTX,IMPRY,INOPP,NOPYZ
AAAIMNS;CFNOR,CNORY,FGQRU,LOPSS
AAAIMNT;ACGMR,AEMRR,AGGLM,BELLO,CNOTU,EEHTZ
AAAINPS;BEELP,BGINT,BHOOT,GILLT,GINOT,GLNQU
AAAIPRX;DDINO
AAAIPSV;
AAAIQRU;
AAAISST;ACHNR,BEEHR,BHOPR,BINOR,BMPPR,CCCTU,CEELP,CENPR,CHHPY,DMOPR,EEHPR,EGILM,KNOPP,MNNOO,NOOPP
AAAISTW;AHNPR,GHRTY
AAAISTX;EEGLM
AAAJKST;
AAAJMPS;DNNRU
AAAJMST;
AAAJMSU;DNNPR
AAAKKMR;
AAAKKNS;
AAAKKRS;
AAAKLMS;ENOOT
AAAKLMY;
AAAKLSS;
AAAKMMU;
AAAKNST;AAGNW,BCHIL,ELMOO,GHIOT
AAAKPPU;
AAAKPST;CHIPR
AAALLPT;CHRYY
AAALMPT;IIRRY
AAALMRS;AAATT
AAALMSS;CEEFN,ELMMP,ENOPS,INOPS,MOOPT
AAALNNT;BEIIM,BIIOZ,BITUY,CDIOV,CIIOZ,CIIRR,CILUY,EEGMM,EINOX,GIIIT,GIIOV,HIILO
AAALNPT;ADIOT,GIILZ
AAALPPS;BENUY,ENNRR
AAALRRY;BBCIL,IIMPT,LMNOP
AAALWYY;
AAAMMNS;CDGII,EGHIO
AAAMMPR;
AAAMNNS;ADILR,CFIOR,CIORY,DEILR,DJPRU
AAAMNNT;CIOTU
AAAMNPS;DJNRU,ELOSS,ERRTU,ILOSS
AAAMNRT;AEIMR
AAAMNSS;ABDRU,BDERU,CEEFL,ELOPS,GIIRR,GLRTU,ILOPS,INOOT
AAAMNST;EKLOO
AAAMNSW;
AAAMNTY;CEHPR,CILLO
AAAMORT;CEHLY,EHPRY
AAAMPPU;
AAAMPRT;CDGII,EHORY,IILRY
AAAMRRZ;
AAAMRSS;BIPPT,GIINR
AAAMRST;AAALT,CCIIL
AAAMRTU;CHINO,HIINN
AAAMSTT;AAALR
AAANNSV;GILRT
AAANNSZ;HIORT,IILOT,ILOTY
AAANNTT;AGIRR,BILUY,CCIIP,CIMOU,CNORT,DIIOP,GIIIL
AAANORW;
AAANPPS;BEEIL,BEELU,BELUY,CIRTY,EHIRR,EHIRT,EILRR,ELNRR,GHIRR
AAANPPY;BELLU,BELSU,CIRST,ERSSS,IRSSS
AAANRST;AHIPW,BBIRU,EHIPP,INNRU
AAANRSU;ABDMS,BBIRT,BDEMS,DJMNP,EMPRT,FIRTT,INNRT
AAANRTT;ACCHI,CNNOT
AAANSTT;EHISU,GHIKO,ILLOU
AAAOPRZ;
AAAPPRT;GGIOU,IILNO
AAAPPSY;BELNU,CINRT,ENRSS,INRSS
AAAPRSS;CDHNY,CINTT,DIMOT,EEHIT,INPSY
AAAPSST;BHIOR,BIMPR,CEEIL,CHHIY,CINRT,DIMOR,EEHIR,IILNU,IKNOP,INOOP,LMMOO
AAAPTTU;
AAARSST;BHIKV,BHIOP,BIINO,BIMPP,CEINP,CHLOT,DIMOP,EEHIP,EETVX,INOSS
AAARSTV;CEENT,CILUY,EHKOU,GGINO,GILNN,INOTT
AAARTTT;CNNNO,IILNO
AAARTTU;CCILO
AAARTXY;CEGNV
AABBBOS;
AABBCEG;
AABBCGY;
AABBCKR;
AABBCMO;IIILN,IIRRX
AABBCOS;EGNTW
AABBCSU;CEMOO
AABBDGR;
AABBDHS;CELRR
AABBEGN;
AABBEIS;
AABBELT;IRTTU
AABBERT;ILTTU,LLMTU
AABBGRT;
AABBHLS;CDERR
AABBHST;GIMNO,HIOOP
AABBIJL;
AABBLLS;
AABBLOR;EEKNN,EHITX
AABBLOS;DIMNU,IIIMN
AABBSST;DEEKR
AABBSSU;
AABBSTY;
AABCCEL;AILMT,DEIRT,DIIRT,DMMOO,HHPRY,ILMOV,IMNOR
AABCCER;DIKNR,HHLPY,HINOP,ILMNO,NOOSU
AABCCET;AILLM
AABCCHH;ELPRY,IIMPR
AABCCIR;ADDRY,DEELT,DEILT,EHNOP,ELLTU,ERTUU,GKKNT,NSTTU
AABCDIM;ILNOY
AABCDIR;EGKNN,GNNOO
AABCEFR;
AABCEKR;DGINN,DNSSW
AABCELN;EHIUV
AABCELP;
AABCELT;ACILM,EILMM,IILVY,ILLLY,ILTUV
AABCEMR;EEQSU,HIOSU
AABCEMS;BCOOU,BGORW,DEORR,EEQRU,FLNOY,IILMR
AABCEOS;BCMOU,FINTT,FLMNY,IILLZ
AABCERR;AEGIL,DHOTY,DNOOT,EEGHL,GLNUU,ILLPY
AABCERT;DHORY
AABCFKT;
AABCHHR;CELPY,ENOOP,GIPTY,GPRYY
AABCHIR;GHPTY,IMOTT
AABCHKO;
AABCHMT;IILPS,IIORT
AABCHNR;
AABCHOR;AELPP,CDRST,CEINP,DEMNR,DERSY,DERTY,EELPR,EHNOP,ELMNS,ELPRY,ENOTY,GIILP,IIMTT
AABCHSS;
AABCILM;COORT
AABCINR;ALOUV,DGLOP
AABCIOP;CEHNR,ELNOT,ENRRZ,HHIMO
AABCITX;EEGNR,EENOR
AABCKLY;DGLRU
AABCKNN;DEGIR
AABCKPY;
AABCKRR;CLNTU
AABCKRS;
AABCKSW;DMNOO
AABCKWY;
AABCLMU;
AABCLPY;CEHHR,EGHIT,EHORR
AABCLSY;EFMNO,EHNRU,ENORT,NORTU
AABCMMU;AELNN,EELNN
AABCMST;HIILP,IIKLN,IILRS,ILLNU
AABCMSU;BCEOO,EEEQR,EHIOR
AABCNRR;CKLTU,EGLUU
AABCORR;BIIMX,DEHTY,LLOOT
AABCORT;CKMNU,CLNTY,DEHRY,FLNOU,HIIMT,IIMMN,LLOOR
AABCOTT;CIILY,CLNRY,EEENR,GILLO,HIIMR
AABCRSS;DEKNW
AABCSUU;INORT
AABCTTU;EILLV
AABDDEL;CGKRU,CKRRW,IMNTU
AABDDEN;ILMTU,LLOOW
AABDDER;CGKLU,CKLRW
AABDDIK;
AABDDIN;ELMTU,GLNOR
AABDDLN;CEHKY,EIMTU,ELOOW,MOOTZ
AABDDNS;CIKMO,EGIOV
AABDEFL;
AABDEGM;AILMR,CKMNO,LLNOR
AABDEGN;CKMMO
AABDEHS;BCLRR,CORRY,IINTT
AABDEIR;
AABDEIS;EHLPT,GIMTU,LLLOW,MOPPT,OPPTT
AABDEKW;CDLRR
AABDELL;
AABDELT;
AABDELW;DLNOO
AABDEMM;AGILR,CCLOO,CGKNO
AABDEMN;CGKMO,CHORR
AABDEMS;ARSSS,CEORR,IOPPT,IRRSS
AABDENU;LNOPR
AABDERR;CHMNO,IILMU
AABDERS;AMSSS,STTUU
AABDERW;
AABDERY;CHORS,CHORT
AABDESU;GIIMT
AABDGHN;
AABDGHR;DORTU
AABDGMO;CEKMN,ELLNR
AABDGNS;CIORT,IIORR,IIRTZ,IORRT
AABDGOS;CGIOR,IILNR,IINNT
AABDHMS;MOORY
AABDHNT;CEIIR,EITUU
AABDHNY;CDEKL
AABDHRS;BCELR,CCORT,CEORY,EHIRT,MMOOY
AABDHRU;DGORT
AABDIIS;EGMTU,EHNTT,EKNRY,GNORR,GNRST,GNRTZ,IRSTU
AABDIKR;CCENR,CEGNN,EGNOW
AABDILN;CGOPR,DGNOR
AABDIMR;
AABDINR;
AABDINS;CDKMO,CINNO
AABDINT;EGORU,EHTUU,LLOOY,OOTUY
AABDIOT;EGNRU,EMPPS,EPPST,ILPTY,LLNOY,NOTUY
AABDIRS;IISTU
AABDLLS;
AABDLMS;IIQRU
AABDLNS;
AABDLRW;
AABDMNN;
AABDMNR;
AABDNNO;ACIIT,CGIOR,DGILR,LPRUY
AABDNOR;CGILP,EGIKW
AABDNRS;
AABDNRU;CEILT,EFFLO,ELNOP,ENOTV,LNOPY
AABDNSW;AENOR,CKMOO,CKMOR,EHLOU
AABDORS;HMMOY
AABDORV;CEELN,ENNTU
AABDORX;
AABDOTY;IILPT,ILLNO,INOTU
AABDRRS;AAABC,ACDIY
AABDRRW;
AABDRST;AEILM,CDEKL,CEHNN,CGHKU,CIIQU,DEHHN,EIILN,GIINZ,IMNOU
AABDRSU;CIIQT,IILMQ,LOORT
AABDRSY;ACDIR,CEHOR,CIMNO,HMMOO
AABDSTU;CEENO,CEINO,CGHKR,CIIQR,EGIIM,EILMN,IIIRS,IMNOR,LOORR
AABEELT;
AABEEMN;AHIPS
AABEEMO;GGLRT,ILRRS
AABEERZ;DIILV,HILPT
AABEFFL;CEINY,EORST,IIIST
AABEFFN;CEEIL,CEILY,DLORU
AABEFGL;EIRRR,IRRRY
AABEFGU;
AABEFLX;
AABEFNS;CEORR,CIILT,CILOT,CIOTT,CLMOY,CLOTU,GIKRT,IILOP,ILLMM,LMOTY,LMTUU
AABEGGG;
AABEGGM;ELORT
AABEGGR;CDEPT,CEPRT,ELMOT,IKLNO
AABEGLR;FIRRY,IIJKN
AABEGMR;ADILM,AEILR,HIOPR
AABEGMS;ENOTU,ILSST
AABEGRR;CEGPT,CLNUU,FILRY
AABEGSS;DINOV
AABEGST;BDILN,BIINR,CCILN,DIIMU,EGGRU,FIKNR,ILMSS
AABEGSU;DIIMT,EGGRT,EMNOT
AABEHLT;DIRWW,IIRSY,INSSU
AABEHNT;BELRU,COORY,DITUU,EFIRR,FLMOU,GIKPR,GIKRT,GIMTW,IILRT,IIORZ
AABEHRS;CDORY,CIMOU,CIPRY,DHIRT,MORRT
AABEHSS;AIMNP,FILNO,IILRZ,ILNTU
AABEIKN;CDGLL,CDGLP,CDGNR,CEMRT,CGPPR,DGORW,GGLOR,GHPRT,GHRTT,GIJLR
AABEIKS;
AABEILM;EFNST,ENOTT,IIIST,IISTT
AABEILN;CEHUV,IILTY
AABEILS;
AABEILT;ACCLM,AIMNN,CELMM,CHILY,CHLTY,EKRRR,IILNY,IQTUY
AABEILX;BHORT,DERTT,IISTT
AABEIOR;BHLTX,BINTV,CDLUV,CHMSU,CLMVW,CLSUV,DGKNW,DGNTU,ELMRS,FLLMZ,GGKLN,GHMPR,HINTZ,HLMNZ,HLTUZ,HMMNP,LLMNZ,LPPPR
AABEIRS;CHPRY
AABEIRZ;CNOPR,EHLPT,FLLMO,HINOT
AABEJLL;
AABEJMU;
AABEKLM;
AABEKLT;
AABEKNS;CCHLN
AABEKPR;GHINT
AABEKRS;GILNW
AABEKRY;
AABEKST;IMNOR
AABELLL;
AABELLN;AEPPU,ARSSW,ARSTT,EPPSS,GGITU,IIITY
AABELLO;ABIIV,CCIMV,CIISS,CIISZ,FIMRS,FIMRZ,GIOPY
AABELLR;BMTTU,DGMNO,FIMOZ
AABELLS;
AABELMN;FLMNO
AABELMS;BELNS,CFNOY,EENNS
AABELMT;ADIRZ,AIINN
AABELNO;CCIMR,EGUVY,EMRUV,HIMRZ
AABELNR;ALSSW,ALSTT,BEESS,EEMUV,EFRST,EKMRU,EMOUV,FSSTU,MSTTU,NSTTU,OPSST
AABELNS;
AABELPP;
AABELPR;
AABELPY;CCHHR,CGHIT,DIIRT
AABELRS;
AABELRT;BHIOX
AABELSS;EIIRV,EIJOU,HIIRZ
AABELST;
AABELSV;
AABELSY;CFMNO,FMNOT
AABELTT;CHILY
AABELTU;GGILN,ILLRR,ILNRR
AABELTV;
AABELTX;BHIOR
AABELWX;
AABEMNO;CCILR,CDGKM,CDHRR,DGLLR,DIRRS,FLLMN,HILRZ,HIMPR,ILLRZ
AABEMNS;BELLS,CFLOY,EELNS,FILLM,HIOOP
AABEMOS;BCCOU,BCGRW,CDERR,CFLNY,CHIRU,DINRR,DIPPT,DNNNT,EILRR,EMPRT,FLNTY,HHIOP,HINOP,HRRRT
AABENNW;
AABENPR;CHHOO,CLTUU,EELLU,EELTU,ELNOY
AABENRT;
AABENTY;CCLPU,CHOOR,CIILL,IIILL
AABEORT;HIINZ,HILUZ,HIOPT,HTUWY
AABEPRW;
AABERRW;
AABERSS;ADMSS,ALLNW,BEELN
AABERST;EEKVW
AABERSU;BCDDN,CCNOO,CDINR,CHIMO,CHLNY,DIMNR,LNNWY
AABERSZ;COOTT
AABERTT;GHIKN,HIILN,HIOOP
AABERTU;HOTWY
AABESTZ;COORT,EHILP,EHLRY,ILLRR
AABETTU;DRSSU,HORWY,INSST
AABETUX;
AABFFLY;CEEIN
AABFILU;CORST,EINQT
AABFLNO;DEFRU,DELNR,EHMTU,EILLT,ELMMN,IIRRT,MRTUU
AABFLRU;DEFNO,ENSST
AABGGRS;CDIOO
AABGGRY;GILLN
AABGGSS;ELNUU,IMRRT
AABGHNR;
AABGHNS;
AABGHST;BIMNO,CDKRU
AABGHSW;IINNR
AABGIIL;CHOPR,CNOTZ,EERTY,EJKNR,FITTY,FMORY,GMNNT,HINTT,INOUV,INTVY,LNNPT,LNOOT,NRTUZ
AABGILM;ADEMR,CKLNP,FIORY,GINNT
AABGIMS;
AABGINR;CCKKT
AABGINS;BBCKT,CKLPP
AABGINT;AINPZ,BBCKS,CCHKT,CCKKR,CDORS,CKMPS,DIRSS,DIRSZ,EFKRS,EHKPR,EHMTW
AABGINZ;AINPT,CILOT,EELMT
AABGIRS;AHOOP,CDGOO,CHOOP
AABGMNS;EEOTU
AABGMNY;
AABGOSZ;
AABGRST;CDHKU,DIINS,DIINZ,EEGGU,EFIKN,IILNU
AABHHIS;BOOPT,EMOOP,EOPPT,GOOPP,OOPPT
AABHHKS;
AABHHRU;
AABHHSS;DEERR
AABHINS;CEELM,ELQUV,EMOOP
AABHINT;ACELP,CLRUY,EEFRR,EGKPR,EIORZ,ILNRY
AABHISS;BKOUZ,DOTTV,EELPT,EILRZ,IILRZ
AABHITT;BIILY,CELLY,CHILY,CIMOR,EOOPR
AABHJNS;
AABHKNR;EGIPT,EGITT
AABHKSS;
AABHKST;ACILN,CDGRU,NOORT
AABHLRS;IIOTT
AABHLTY;CCDRY,CHIIT,DEERR,EIIRS,FMNOU,IINNR
AABHMNR;CDEOR
AABHMRS;CEIOU,DMOOY,EORRT
AABHMSS;AEINP,HITTV
AABHMTT;CIIOR,EGINW
AABHNSV;EILQU
AABHNSW;DELOU
AABHSSW;
AABIILX;EISTT
AABIILZ;ANNOT,CGNOT,DEERV,GLNRT,GNOPR,GNRTU
AABIJMY;
AABIKLM;
AABIKNS;ACHLT,BBCGT,CDDMO,CGLLT,CGLPP,CGMPT,CILMT,LMTUY
AABILLN;AESSU,ASSUY,BCIRY,CCLUY,CIPPY,EIITY,GGGRY,ISTUY,OSTTU
AABILLR;ADOOP,EEEPR,EEPRY,EFMOZ,GGGNY
AABILLS;ANSUY
AABILMN;CGIKL,CGKLP,EEGTZ,EEOTT,GGINT
AABILMS;EIIIT,EIITT
AABILMY;EILLT,ELNTV,EMRSU,FGIOR,FILMT,ISSTU
AABILNS;ACHKT,ALSUY,APRSU,CGKPP,GHOOP
AABILOU;ACNRV,BENNT,CDERV,CEGLN,CGNNT,CINNT,EHRTZ,GIINV,HIOPR,LMRTY
AABILRS;
AABILST;
AABILSU;AELNS,ALNSY,CEENQ,CLMNT,EHNQV,ILNTY,IMSTY,KMNTY
AABIMMR;ADEGL,EHNOP
AABIMNO;EHLRZ,EHMPR,ELLRZ
AABIMOS;DEPPT,EHHOP,HTTUW
AABIMRS;
AABIMST;ADELR,BGHNO,CGKNP,CIKLN,CLLNU,DEGIU,DEOPP,DNORU,EEFLN,EIIIL,EIILT,EILLR,ENRRT,GNRTU,HOTUW,IMNOR,INNOO,NOPRY,NORTU
AABINNS;AILOT,DGLST,EOORT,EQRTU,GHIRW,IMOOT
AABINOU;ACLRV,BELNT,CEGLL,CGLNT,CILNT,DOTTY,GIILV,INRTZ
AABINQS;CEELU,EHLUV,ENRTU
AABINRS;ALPSU,ILMUU
AABINRT;IIQUU,OOPRY
AABINST;BBCGK,CGKMP,CLLMU,KLMUY
AABINSW;EGKLR
AABINSZ;
AABIORS;AGHOP
AABIORT;BEHLX,BEINV,EHINZ,EHLUZ,ILPVY,INNUZ,INORZ,NOPRY
AABIPUX;
AABIRST;CDIQU
AABIRSZ;ILOTT
AABISSW;
AABISTT;CCNRU,CEFNO,DEOPP,ILRUY
AABJMRT;
AABKLSU;EIMNT,IMNTY
AABKMST;CIILN,EINOR
AABKNNS;
AABKNRS;BCEGI,DEIIY,EGILW
AABKNRT;CCLRU,CCMOU,DEELU,EELMU,EGHIP,EGHIT
AABKOOZ;
AABKRST;CDDEL,CDGHU,CEQRU,EEEVW
AABKSSU;
AABLLNS;AERSW,EEPPS,EFIMM
AABLLNT;AEIMO,CEEOO,CEIIY,EIIIY,EIRRU,FMOYY
AABLLNY;BCIIR,CCILU,CEIIT,CIIPP,DIOOT,EIIIT,FMOTY,GGGIR,GIIOR
AABLLOR;ADIOP,COORT
AABLLOS;CEIIS,CEIIZ,GIMOT,INTTU,MMUXY
AABLLPT;
AABLLST;
AABLLSY;HPSYY,MMOUX
AABLLWY;
AABLMRS;EEEGS
AABLMRU;EEENV,EEKNR,EENOV,EKNRY
AABLMSS;BEELN,DEENN,EEENN,GLORY
AABLMST;CIIKN
AABLMSY;CEFNO,LMOUX,NRTTU
AABLNTT;AELRS,AINUY,CCORY,CEORS,CORSY,EHIIR,EMRSU,ENRSU,GHIII,IIIRY,IIISY,IINNU,MRSUY
AABLORT;BEHIX,CCIMO,CCNTY,CEILL,CLOOR,EHIUZ,IIPVY
AABLOSV;
AABLPRU;AINSS,CENTU,DENNO,DNNOY,EEELN,EEENT,EEINR,EMORT,HIIOO,IORST
AABLPYY;
AABLRST;
AABLRSU;ENNWY
AABLRSZ;EEHTY,EILRT,EIMMU,IIOTT
AABLRTU;CCKNR,CHINY,EILLR,EILNR,GIINZ
AABLRTY;CCDHY,CNOSU,GINRU,MNSTU,ORRSU
AABLSST;
AABLSSY;AILNU,CIOTT,GLMOR
AABLSTU;IIMSY
AABLTTU;AINNY,IINNN
AABLTXY;
AABMNOT;CCKRU,DDLOZ,FLRUU
AABMNOY;CDIIL
AABMNST;CGIKP,CIIKL
AABMORU;EELNV
AABMOSY;DHMOR,LLMUX,RRTTU
AABMRSS;AADNU,ADENU,ADESS,AIPPT,CEITT,CIIIL,GGIRT,GLLOY,ORTTU
AABMRTU;
AABMSST;ORRTU
AABMSSY;GLLOR
AABNNOZ;AIILT,IIRTU
AABNNSY;AELLU,ELORU,ELOSU,ELRUW
AABNORS;CCEOU,CLTTY,CLTUY,ELPST,HKOTT
AABNOST;AHIOP,BCEGW,CDEEU,CLRTY,CLRUY,EGLTW,EHIIR,EIIOR,HIOPP,HKORT,IIORR,IIRRT,IOPPR
AABNOSY;CLRTT,CLRTU
AABNSST;DRRRU
AABNSYY;
AABORRS;BDEEV,EETTT
AABORST;
AABORSZ;AIINT,CEOTT,IILTT
AABOTTY;CCIIL,CCLNR,DIILP,DINOU,EHRUW,FIILL
AABQSUU;
AABRRST;HIIPV,IINOO
AABRRSU;CDEIN
AABRRTU;BEEIV,CCKLN,DDGHO,EILLL,EILLN,ELMOP
AABRRUV;BEEIT
AABRSTY;CLNOU,IILTU,IMNOP,LMNTU,LORRU,MORTU
AABSSSY;
AABSTTW;EGLNO
AABSTUX;
AABTTTU;
AABZZZZ;
AACCDEI;BELRT,BKNRR,BLLSY,CNORS,EHNOX,ENNSS,ENRRT,HLTXY,ILOPT,NQTTU
AACCDEM;BLMOO,EKNRR
AACCDES;BILLY
AACCDII;DLOPR,DOTTU,ELMTZ,LNOTU,OPRTT
AACCDIR;ABDRY,BEELT,BEKNR,DILOP,EENRT,IOPTT,LLNOY
AACCDIS;BELLY,EENNS,EFLTU,ELOPY
AACCDSU;EHMOR
AACCEFT;HLRRU
AACCEKR;BDINR,DEMNR
