AAAARR;8,24,33
AABBDS;518
AABBGS;493,538
AABBHL;498,519
AABBKS;
AABBLL;47
AABBLO;48
AABBLR;47,497,537,543
AABBST;51,503,536
AABBSY;
AABCCE;494
AABCCS;494,551,568,582,583
AABCEO;549,558,614,622,722
AABCHM;619,834
AABCHS;551,621,728,733,835
AABCIM;510,732,812,828,834,836
AABCIR;812,857
AABCKR;585
AABCLS;
AABCLU;584,682,696,765,770,832,839,848
AABCMN;585,619,662,663,820,825,828,843
AABCMT;53,689,851
AABCRS;
AABCSU;568,647,658
AABCUU;755
AABDER;
AABDES;
AABDET;620,924,951,953
AABDEU;938
AABDGO;649,650,884
AABDHI;898,899,933,934
AABDHS;
AABDIN;
AABDIR;
AABDIT;83,924,976,977,978
AABDLL;84
AABDLM;549,887
AABDLS;
AABDMN;662,887
AABDNR;
AABDNS;
AABDOR;
AABDRR;
AABDRT;550,976
AABDRY;550
AABDSS;972
AABEEM;
AABEFN;921,1093,1095,1100
AABEGM;
AABEGS;
AABEGT;1109,1110
AABEIK;1042
AABEIL;766,1091,1117,1188
AABEKT;1109,1110
AABELM;549
AABELR;
AABELT;
AABELZ;79,906,1099,1130,1181
AABEMN;1111
AABEMO;549,558,561,1112,1199
AABEMS;
AABEMT;924,951,1146
AABERS;
AABERT;
AABERU;630,696,920,938,955,995,996,999,1045,1051,1061,1070,1193
AABERZ;
AABESS;994
AABEST;951,953
AABETU;924
AABETZ;79,1018,1133
AABGGR;
AABGGS;76
AABGIM;1111,1112
AABGIN;571,1224
AABGIR;85,814,816,1007,1016,1091,1112,1207,1219
AABGKT;493,569,573,826,828,829,1090,1109,1110
AABGMN;820,825,1018,1111,1217
AABGMS;
AABGOZ;823
AABGRT;573,814,1109,1231,1237
AABGSS;1242
AABHIJ;
AABHIS;111,617,733,835
AABHJN;
AABHKS;
AABHKT;1109,1110
AABHLR;65,530,550,554,738,1129,1136,1140,1249,1250
AABHMR;836,1112
AABHMS;538,835,1127,1142
AABHNV;682
AABHNW;1111
AABHSS;886
AABHSW;
AABILL;63,729,770,1117
AABILM;
AABILU;533,557,579,682,755,762,770,938,1106,1164,1171
AABILX;
AABIMR;85,510,836,1099,1112,1207
AABINN;97,114,126,1217,1273
AABINQ;1095
AABINR;
AABINS;
AABINW;925,1111
AABINZ;122
AABIRR;60,85,766,938,952,1036,1037,1091,1188,1286,1302
AABIRS;
AABIRZ;
AABISS;1041
AABIST;539,1128,1245
AABISW;1255
AABISZ;1029
AABJNS;842
AABJNX;
AABJRS;910
AABKMT;585
AABKNN;524
AABKNR;524,925,1105,1113
AABKNS;662
AABKRS;
AABKSU;647,793
AABLLN;
AABLLO;1210,1212
AABLLR;
AABLLT;729,770,862
AABLMR;85,580,1015,1207
AABLMS;
AABLNS;863,864,1308
AABLOR;1207,1250
AABLOV;48,558,1070,1224,1276
AABLRZ;79,906,1027,1099,1231,1234,1237
AABLSS;1247
AABLST;
AABLTU;832,848
AABMMS;974,1084
AABMNR;49,999,1071,1198
AABMNS;49,662
AABMNT;97,1111,1217
AABMNY;
AABMOS;662,663,987
AABMOY;879,1207
AABMPS;951,1127,1142,1297
AABMRS;987
AABMRY;561,660,1207,1297,1307,1311
AABMSS;969
AABMST;987,1084,1146
AABNNY;93,103,127,715,985,1074,1213,1232,1249
AABNOR;531,585,586,808,1282,1284,1286,1302
AABNSS;846
AABNST;1308
AABNSU;51,92,543,568,864,1022,1137,1236,1271,1308
AABNSW;105,503,1079
AABNSY;937,1288,1307,1308
AABNYY;1212
AABORR;1211,1273,1286,1302
AABORS;
AABORT;
AABORZ;786,1099,1133,1136,1140,1173,1284,1286
AABOSU;494,568,936,971,1022
AABRRS;1036
AABRRT;862,1286,1302
AABRSS;1247
AABRST;
AABRSV;705,806,993
AABRSY;733,737
AABRSZ;
AABRTY;561,739,814,1147,1302
AABSSU;1192,1259,1299
AABSTT;
AABTTU;8,984,1241,1259,1298
AABTTW;1111
AABZZZ;
AACCDI;1375
AACCDU;1331,1363,1367,1373
AACCEL;1384,1398,1399,1486
AACCHK;
AACCHM;1397,1465
AACCHN;
AACCIL;545,571,1330,1347,1375,1383,1398,1399,1478
AACCIM;1555
AACCIN;158,571,576,1434,1547,1550,1555
AACCKR;
AACCLO;1373,1605
AACCLP;554,1385,1398,1399
AACCLR;545,550,554,1398,1399,1422,1540
AACCMO;549,558,1358,1381,1488,1490,1519,1548,1585,1604,1605,1623
AACCNN;158,170,1316,1332,1361,1434,1549
AACCOS;1462,1523,1524
AACCRT;586,1381,1623,1626
AACCSY;132,143,167,548,564,1359,1405,1451,1501,1515,1517,1520,1523,1534,1564,1570,1577,1583,1596,1599,1602,1606,1615,1616,1618,1622
AACDDU;495,590,592,1640,1641,1656,1659
AACDEF;
AACDEI;
AACDEL;
AACDER;
AACDEU;188,495,590,600,630,1349,1723,1759,1765,1816
AACDFR;1721,1839
AACDGI;180,190,191,192,611,612,1645,1656,1658,1728,1729,1730,1731,1738,1857
AACDHR;1840
AACDHS;
AACDHT;550,1840
AACDIR;
AACDLU;1367,1759,1852,1856
AACDMP;192,200,1875
AACDNR;
AACEFI;1714,1918
AACEFL;1420,2047
AACEFR;
AACEGH;218,714,1388,1422,1722,2073,2074,2075,2076,2077,2078,2085,2092
AACEHP;
AACEHR;
AACEHT;
AACEIL;726,760,766,2047,2195
AACEJR;237,1912,2174
AACELN;
AACELP;
AACELS;
AACELT;
AACEMO;180,237,549,558,561,1466,1748,2071,2085
AACEMR;
AACENN;226,613,1391,1470,1520,1723,1742,2066,2340,2361
AACENP;
AACENR;568,1524
AACENT;
AACERS;
AACERT;
AACEST;
AACESU;494
AACETU;
AACETV;
AACETX;225,243,1347,1655,1956,2126,2188
AACFIL;2369,2380
AACFIS;256,812
AACFLO;161,2062,2367,2380,2393
AACFLU;
AACFNT;259,813,2062
AACFRS;256,258,812
AACFRX;
AACGGM;1924,2367,2417
AACGHN;818,1541,1837,1841,2417,2426,2428,2430,2436
AACGIM;2083,2110,2417
AACGIN;571,1547,1658,1841,2424,2448
AACGIR;573,1551,1738,1851,2484
AACGIU;1738
AACGLY;261,262,652,714,1538,1544,2438
AACHHL;554,833,1538,2157
AACHKN;
AACHKP;
AACHKR;
AACHKW;
AACHLL;278
AACHLN;
AACHLS;
AACHLT;550
AACHMN;227,1397,1748
AACHMS;2454
AACHMT;1397,1908,2446
AACHNO;1561,1563,2514
AACHNR;
AACHNS;
AACHNT;739,1470,2214
AACHNZ;2428
AACHPS;1577,2458,2460
AACHRS;1577
AACHRT;287
AACHSW;1671
AACHSY;167,621,733,737,1451,1564,1577,1633,2181,2208
AACHTT;833,836,1561,2446,2529
AACHTW;2531
AACIJM;2174
AACILL;2264,2657
AACILM;
AACILP;1399,2466
AACILR;
AACIMN;21
AACIMS;812,2687
AACINR;
AACINS;
AACIOT;2076,2096
AACIPR;1399
AACIPS;757
AACIPT;
AACIRV;
AACISS;
AACIST;
AACITV;
AACITX;1347,1655,1956,2126
AACJKL;
AACJLS;258
AACJOU;1659
AACKLP;2639
AACKPZ;
AACKRR;
AACKRW;2531
AACKSY;1405,1515,1596,2486,2638
AACKTT;
AACLLN;
AACLLS;
AACLLU;310,2657
AACLMT;1965
AACLMU;
AACLNO;
AACLNR;
AACLNS;
AACLNT;584,813,1626
AACLNU;2367,2515
AACLOS;2147
AACLOT;
AACLOX;2351
AACLPR;
AACLPS;
AACLPU;1626
AACLRS;
AACLRW;237,776
AACLSU;
AACLTU;310,584,1626,2657
AACMNR;1339,1431,1912,1969
AACMNS;662
AACMNY;2554
AACMOY;200,655,1447,1731,1748,1970,2088,2188,2417,2512,2541,2554,2613,2686,2689
AACMRT;1475,2165,2226
AACMSS;2454
AACMSW;502,662,663,2206
AACNNS;219,226,1742,1769,1899,1904,2241,2340,2361
AACNOR;224,312,568,863,864,1317,1524,1525,1535,2362
AACNPT;
AACNRT;586
AACNRY;224,863,1317,1524,1616,2630,2686,2712
AACNST;
AACNSV;757,2509
AACNTT;2390,2411,2529,2621
AACNTV;205,225,1525,1913,1914
AACPPY;307,2322,2355,2547,2584,2649,2668,2680
AACPRS;
AACPSS;1884,2460
AACRRT;195,862,1848,2062
AACRRU;584,721,2090,2448
AACRST;
AACRSU;653
AACRTV;
AACSSV;790,2339,2357
AADDEL;2719,2727,2730,2746,2756
AADDER;
AADDEW;881,1647
AADDHS;885,1647,2730
AADDIL;1330,2726,2759,2763,2766
AADDLN;2726,2759,2763
AADDOU;883,1659,2739
AADDRW;
AADDST;
AADDSU;495,1640,1641,1654,2750,2770
AADEFL;
AADEFR;1720,1721,2739
AADEGJ;
AADEGL;180,612
AADEGM;
AADEGN;
AADEGS;
AADEGZ;2902
AADEHK;
AADEIT;1347,1673,2806
AADEKM;614
AADEKW;
AADELS;
AADELT;
AADELV;1831,2862,2863
AADELY;2730
AADEMM;2895
AADEMN;
AADEMT;
AADEMZ;1353,2806,2849,2881
AADENT;
AADENX;2867,3004
AADEPR;
AADEPS;
AADERS;
AADERT;
AADERW;
AADEWW;934
AADFIR;332,333,3033
AADFLW;
AADFMU;922,1721
AADFNR;332,333,1721,2787,2874,3033
AADFNT;888,922,2787,2879,3033,3036
AADFRS;3032,3035
AADFRT;333,1721,2787,2874,2877,2884,3033
AADGGS;
AADGHR;1837,3033
AADGIM;
AADGIO;1646,2760,2795,2930,3072
AADGIR;2761,2789,3033
AADGJU;1656
AADGMN;336,1857
AADGNP;612,1658,1841
AADGNR;
AADGOP;2795
AADGRS;2727,2798
AADGRU;
AADGRY;3076
AADHIL;340,899,1347
AADHKN;
AADHMM;1748,2806,2895
AADHMR;2791
AADHNR;2788
AADHNS;2772
AADHNX;
AADHNY;1350,1748,1749,2817
AADHPR;1761,1840,2818
AADHRS;3032
AADHRZ;902
AADHSW;1671,3032
AADIKS;
AADILO;142,180,980,2940
AADILR;
AADILS;
AADILU;1852,2803,2832,2837,2882,2885,2956,3060,3067,3083,3094,3115
AADIMN;
AADIMR;
AADINR;
AADINS;
AADINT;2759,3109
AADINV;2831,2832,2956
AADIPP;951,953,1841,3044,3068,3072,3073,3079,3114
AADIQS;2847,3013,3064
AADIST;3084
AADISZ;967,1854,3049,3099,3107
AADKMS;662
AADKNS;662,937
AADKPU;
AADLLS;2772
AADLMP;200,2756
AADLMW;2943,3122
AADLMY;140,200,954,1773,2733,2756
AADLNO;881,936
AADLNS;2772
AADLNU;339,955,985,2803,2832,2837,2857,2885,2956,2988,2989
AADLNV;2831,2832,2956,2988,2989
AADLOP;
AADLPR;
AADLRU;985,3094
AADLSS;
AADLST;
AADLSW;3032
AADMMN;200
AADMMR;191,2841,2895
AADMMS;
AADMNS;662
AADMOU;954,2993,3122
AADMPS;
AADMRS;
AADMRU;1721,2867,2996,3060,3094
AADMRZ;2881
AADMSS;1882
AADMYY;1380
AADNNP;955,985
AADNNR;985,1723,1837,2758,2867,3020,3033,3038,3123
AADNPR;2783,2861
AADNPS;
AADNRS;2856
AADNRT;1721,3020
AADNSV;
AADNSY;1903
AADOPS;
AADPPY;3066,3079
AADPST;2953
AADPSW;
AADPSY;1752,2947,3001,3047,3053,3084,3085
AADPYY;
AADRRS;3032
AADRSW;3032
AADRTU;197,3060
AADRTY;2778
AADRVW;
AADSSZ;1695,2755
AAEEGL;1667,2730,3179
AAEEGT;597,676
AAEEKK;
AAEELP;1043,1385,1398,1399,1677,2727,3140,3228
AAEELT;
AAEEOZ;2807,2818
AAEEPR;1385,1398,1399,1677,2010,3140,3174,3242,3266
AAEERT;3280
AAEFFR;
AAEFGN;2038,3361
AAEFGR;1007,1091,1918,3361
AAEFLM;1664,1921,3376,3377,3378,3381
AAEFLR;1091,1418,2061
AAEFLV;2042,3377,3380,3383
AAEFNR;1104,1420,1714,2739,2788,3157,3361,3368,3369,3376
AAEFNS;1420,2046,2772,2886,3376,3392
AAEFNU;1093,1095,1104,2060,2739,2873,2875,2882,3157,3384
AAEFRS;
AAEGGL;216,1107,2065
AAEGGR;
AAEGGV;3129
AAEGLM;77,180,1388,3524
AAEGLN;
AAEGLR;
AAEGLS;3524
AAEGLT;
AAEGLV;28,1722
AAEGMN;
AAEGMR;
AAEGNN;1723
AAEGNT;
AAEGOR;180,224,377,1726,1918,2895
AAEGPR;27,224
AAEGPS;3525
AAEGPV;3449
AAEGRV;30,225,529
AAEGST;
AAEGSV;
AAEGTU;1434,3408,3443
AAEHKP;1109,3438
AAEHKS;
AAEHKT;
AAEHLM;1388,1466,1907,2940,3440,3585
AAEHLT;
AAEHMS;1127,1142,2199,3172,3533,3585
AAEHMT;
AAEHNT;1470,1958,2788,2879,3157
AAEHNY;739,1350,1445,1465,1748,2817,3443,3554,3580
AAEHPR;738,2211,3421
AAEHPW;
AAEILM;28,373,2733,2940,3377,3534
AAEILR;382
AAEILV;28,558,2264
AAEILX;243,400,401,1347,2188
AAEIMN;
AAEINT;
AAEIRS;147
AAEITV;3667
AAEKLM;2224,3766
AAEKLN;591
AAEKLS;
AAEKMW;
AAEKNN;524,613,3362,3767
AAEKNS;3422,3477,3769
AAEKNW;
AAEKRS;
AAEKRT;911,1042,1110,2224,3283,3423
AAEKSW;
AAELLP;1443,2264,3554
AAELLU;103,1045,1516,1517,2266,2281,2344,2345,2746,3167,3609,3679,3681,3684,3687,3689,3691,3693,3694,3771,3773,3774,3778,3780
AAELMR;990,999,1070,3377
AAELMT;
AAELNN;103,1064,1100,1913,2019
AAELNP;1043
AAELNT;
AAELOR;
AAELPP;1760
AAELPR;
AAELPS;
AAELPT;
AAELRT;393
AAELRU;413,995,996,999,1061,1193
AAELRV;413,999,1070
AAELST;
AAELSV;413
AAELTV;28
AAELTZ;
AAEMMM;1990
AAEMNP;
AAEMNS;
AAEMNT;
AAEMNX;2229,3606,3700
AAEMRS;
AAEMRT;
AAEMSS;
AAEMST;
AAEMSZ;1477,3236,3274,3309,3375,3571
AAENNZ;103
AAENOP;1141,1370,2993,3004,3157,3263,3549,3551,3580,3660,3743
AAENOZ;2045,2930,2951,3549,3551,3637,3657
AAENPS;
AAENPV;1819,1913,1980,2019,2223,3383,3623
AAENRS;
AAENST;
AAENSU;1137,1320
AAENSW;3340
AAEORT;
AAEOSZ;745,805,2055
AAEPPR;
AAEPRR;1385,2211,2221,3590,3797
AAEPRS;
AAEPRT;
AAEPRZ;786,1399
AAEPTT;2221,3812
AAEPTW;2783
AAERRR;1007,1918,2092,2896
AAERRS;
AAERRT;24,1382,2774
AAERRW;3531
AAERST;
AAERSY;2363,3760
AAERTT;
AAERTU;3408
AAERWX;
AAERWY;1147
AAESTV;
AAESWY;
AAFFIM;3353
AAFFIR;2758
AAFFIT;
AAFFJS;
AAFFLR;
AAFFPR;
AAFFRY;
AAFFRZ;
AAFGHN;3361
AAFGIN;2038,2369,2372,2373,3358
AAFGNR;1837,3361,3822
AAFGNS;2373
AAFHLS;1664,3032
AAFHMT;1208
AAFHRS;1417,2876,3032
AAFHTW;
AAFIJT;
AAFIKL;3362,3822
AAFIKS;1090,1416
AAFIMS;256,417,1097,3388,3830
AAFINR;255,333,2390,2403,2411,3382,3384
AAFINT;
AAFIRS;2052,3826
AAFIST;3826
AAFKNS;807,1416
AAFKNT;
AAFLLL;364
AAFLNS;258,1097,1102,1420,2772,2882,3376
AAFLNU;1093,1208,1213,2367,2882,2885,3836
AAFLOT;1211,2884,3380,3382,3386,3836,3838
AAFLSV;
AAFLTU;1208,1213,2885,3036,3384,3829,3836
AAFNSU;417,713,1102,2875,2882,2886,3392
AAFOST;332,1531,1533,1535,1665,2366,2412,3392,3816,3827,3835,3839
AAFRSY;258,2413,3386
AAFSTW;
AAGGKU;
AAGGLO;216,1105,2065,2415,3858
AAGGMN;35,348,1924,2367,2417,3398
AAGGNZ;3851,3858
AAGGQU;
AAGGRS;419,3850,3857
AAGGRT;422,3818,3819,3848,3861,3865,3872
AAGGSW;
AAGHIN;336,1109,1110,1111,1221,1925,1926,2416,2417,2426,2428,2448,3039,3175,3176,3418,3423,3426,3434,3848,3873,3882
AAGHJN;
AAGHKN;3438
AAGHLS;2424
AAGHLZ;162,2428,2441
AAGHMR;3440,3874
AAGHMS;2454,3891
AAGHNR;1837,2426,2433,3033,3039,3360,3418,3434,3873,3878
AAGHNS;
AAGHNU;677,715,2448,3050,3848
AAGHRR;218,667,2453,2774,2775,3849
AAGHST;428,3445,3885,3893,3897
AAGIKN;507,571,611,612,613,820,825,3957
AAGILN;571
AAGILO;162,816,1207
AAGILP;2466
AAGILR;1551,2484
AAGILS;
AAGILV;28,3060
AAGIMN;
AAGIMS;
AAGINN;114,2372
AAGINR;
AAGINS;
AAGINT;
AAGINU;2367,3200
AAGINV;2426
AAGIOS;111,147,1220,1423,3508
AAGIPR;1219,1551,3851,3858,3911,3937
AAGIRS;
AAGIRW;2135,2914,3434
AAGIRY;1016,2484,2496,2914
AAGISS;
AAGIST;428
AAGJNR;1113
AAGJNS;3919
AAGJRS;
AAGJRU;
AAGJSU;
AAGKLY;652,2484
AAGKNS;3
AAGLLN;931,3361
AAGLLP;825,1540,2147,2466,2493,3964,3965,3983
AAGLMM;1125,3872,3882
AAGLMN;825,3962
AAGLNO;
AAGLNR;
AAGLNS;
AAGLNT;35,352,431,2759,3901
AAGLNU;2367
AAGLRS;3894
AAGLRT;2774,3872,3985
AAGLST;
AAGLSY;3412,3959,3973,3984
AAGLSZ;3458
AAGLXY;678,3076,3208,3521
AAGMMN;21,35,3856,3882
AAGMMR;2895,3872
AAGMMS;2083,2454
AAGMMT;2453,3429,3872
AAGMNR;
AAGMNS;
AAGMNZ;
AAGMPR;
AAGMRS;
AAGMRY;2503,3367,3440,3523,3872,3957,3985
AAGMSY;
AAGNNO;377,650,718,884,1646,1667,1723,1944,2760
AAGNNS;
AAGNNW;
AAGNOR;377,1317,2760,3821,3878,3916
AAGNOT;
AAGNPR;2066,3393,3403,3407,3851,3911
AAGNPS;3898
AAGNRR;3874
AAGNRS;
AAGNRY;224,1317,2496,3984
AAGNSS;
AAGNST;
AAGNSU;
AAGNTU;1237,3443,3864,3926,3943,3962
AAGNUY;93,715,1021,1232,3066,3443,3923,3962
AAGNWY;1658,3962
AAGORS;111,646
AAGOTU;422,2491,3408
AAGPPR;422,3044,3072,3957
AAGRRY;815,2073,3171,3875,3895
AAGRST;428,2473,3897
AAGRSZ;967,1543,3049,3458,3918
AAGRUV;3060
AAGRVY;
AAGSST;1389
AAGSUV;1858,2485
AAHHJJ;
AAHHLL;
AAHHLV;
AAHHMZ;
AAHHNT;1437,2375,2514,2515
AAHHPT;3875,3992
AAHIIK;3224
AAHIKM;2940
AAHIKP;1109,4012
AAHIKR;
AAHILT;3135,3136,3233,3565
AAHILY;278,724,726,729,833,1134,1249,1347,1445,1447,1456,1862,2163,2179,2183,2188,2532,2538,2940,3135,3554,3556,3564,3997,4016,4019
AAHIMS;1127,1255,4028
AAHINT;449,2788
AAHINW;
AAHIOT;449,836,1133,1563,1928,2076,2078,2188,2514,3429,3435,3551,3580,4002
AAHIPR;1219,1250,3993
AAHIRR;1862,3233,3572,3873
AAHIRS;3049
AAHIRV;
AAHITW;2943
AAHJKT;
AAHJLS;3584,4010
AAHJNR;
AAHJRR;
AAHJRS;
AAHKKT;
AAHKLS;2424
AAHKLT;4012
AAHKLY;591,2940
AAHKMS;
AAHKNT;4012
AAHKNU;3423,3438
AAHKPS;
AAHKPU;3438
AAHKSS;4011,4014
AAHKSY;
AAHLLL;
AAHLLN;3361,3586
AAHLLO;447,1134,2552,3586,3993,4016
AAHLLP;1906,2211,2553,3361,3554,3993
AAHLLS;
AAHLLW;
AAHLMM;229,2174,2536,2554,3543,3882,4022
AAHLMS;
AAHLMT;1208,3892
AAHLMU;1208,1446,3892
AAHLNS;1137,1223,4037
AAHLOS;936,1135,1251,1467,1675,3032,3083,3230,3256,3533,3552,3558,3589,4037
AAHLPS;
AAHLRS;
AAHLRT;287,550
AAHLST;
AAHLSV;
AAHLSW;
AAHMMM;
AAHMNR;3572,3874
AAHMNS;
AAHMNT;336,1208,3443
AAHMOS;732,974,1127,1255,1556,1763,1946,2083,2454,3172,3258,3533,3896
AAHMPR;3219
AAHMPY;453,1556,2554,3178,3440,3593
AAHMRS;
AAHMSS;
AAHMST;3897,3987
AAHMSU;1255,2455,3258,3897,4040,4041
AAHMSW;1255
AAHMSZ;3571
AAHMTZ;357,2807,4002
AAHNNT;1470,3263,3580,3878
AAHNPS;3898
AAHNSS;886,2941,4011
AAHNST;3141
AAHNSZ;451,3049,3086,3139,3242,3537,3571,4006
AAHNTW;
AAHNUW;
AAHNZZ;
AAHORS;111,288,419,551,621,974,1251,1675,1763,1946,2168,3032,3172,3250,3596,3896,4031
AAHOTW;903,1147
AAHPPR;207,2074
AAHPRY;287,554,738,815,2221,2817,3875,3895
AAHPSS;1260,1439,2220,2460,3220,3421,3444,3593,3899
AAHPTY;390,714,1544,2221,2522,2540,2817,3178,3220,3593,3875,3889
AAHRSS;
AAHRST;2876,3897
AAHRSY;974,3052,4036
AAHSST;274,972,1389
AAHSSW;3260,3991
AAHSSY;194,274,3220
AAHSTV;389,3553,4014,4033
AAHSTW;1671
AAIIKK;576
AAIIKW;
AAIIKZ;
AAIILS;462,463,1094,1148,1151,1272,1277,1279,1473,1580,1773,1877,2047,2386,2510,2586,2601,2764,2939,3278,3545,3815,3826,3827,4047,4050,4055,4056,4120
AAIJKR;
AAIJNR;455,1113
AAIJNT;1656,1659
AAIJRW;237
AAIJSV;2978
AAIKKS;1596,3668
AAIKLL;
AAIKLM;2224,2733,2827,2940,3822,3920
AAIKLN;571
AAIKLS;
AAIKNO;925,3283,3553,3957,4014,4071
AAIKNR;613,1110,3283
AAIKNT;3283
AAIKRS;
AAIKRT;1042,3283
AAIKRU;
AAIKSS;541,3045,3854,3866
AAIKST;
AAILLP;825,2466,3554,3964,3965,3993,4017,4018,4144
AAILLX;
AAILMN;
AAILMP;825,1388,1447,2438,2466
AAILMS;
AAILMU;1289,1494,3060,3543
AAILNN;293,299,1273
AAILNR;382,3275
AAILNS;
AAILNT;431,1274,2759,3901
AAILNY;672,1990,3554
AAILPR;1188
AAILPS;3668
AAILQU;157,1137,1164,2485,2803
AAILRS;
AAILRT;2657
AAILSS;1247,1322
AAILSV;
AAILSY;1534,2391,2407,3691,3959
AAILTV;28
AAIMMS;2687,4028
AAIMMX;2895
AAIMNR;
AAIMNS;
AAIMNT;
AAIMNV;2566,3406
AAIMRR;510,3057
AAIMRT;
AAIMST;349,3545,4010
AAIMSU;
AAIMSZ;1477,3236,3274,3309,3375,3571
AAIMTT;373,836,1111,1585,2475,2576,3200,3269,4045,4046
AAIMTU;1264,1494,3200,3543,3741,3836,3962
AAINNT;114,127,2761,3901
AAINOP;1302,1555,2689,2993,3743
AAINOT;984,1284,3551,3819,3979,4177
AAINOX;316,1334,2514,3914
AAINPP;844,1043,1547,2322,3044,3072
AAINPR;1302,3407,3851,3858
AAINPS;
AAINPT;114,1302
AAINRS;
AAINRT;4177
AAINRU;3004,4177
AAINST;
AAINSV;1137,3727
AAINTT;38
AAINTV;3667
AAINTW;3962
AAIOPR;1188,1219,1234,1250,2442,3395,3858,3993
AAIORR;440,510,1112,1188,1545,1786,1918,2071,2440,3395,3429
AAIORZ;786,2930,3977
AAIPPR;1188,1219,3044,3072
AAIPRT;
AAIPRY;1302
AAIPSS;1260,3220,3487
AAIPTY;83,120,459,980,1162,1276,1302,3603,4019
AAIPZZ;
AAIRRY;1162,1302,1862,2336,2602,2707,2966,3382,3564
AAIRST;
AAIRSV;
AAIRTY;1302,2686,3135,3564,3955,3982,4045,4082
AAIRUW;2135,2943
AAIRVY;535,1496,1611,2989,3383,4082
AAIRWY;
AAIRZZ;
AAISSS;1059,3281,3570,3658,3662,3825,4140
AAISST;3278,4143
AAISTW;
AAITUY;127,984,1164,1264,2266,2375,2613,2837,2885,3687,3741,3962,3982
AAJJMR;
AAJKNS;
AAJLPS;
AAJMNP;
AAJMPY;
AAJNNO;
AAJNNS;3919
AAJNOW;
AAJNOY;
AAJNPR;
AAJNPS;
AAJNSW;
AAJNSZ;
AAJQQS;
AAJRST;910,1660,2258
AAJRSV;
AAJRSW;
AAKKLP;
AAKKMR;
AAKKNU;
AAKKOP;
AAKKPU;
AAKKSY;1596
AAKLMS;
AAKLOS;3552,3668,3670,3768
AAKLOT;2639,3766,3768,3920,4012
AAKLPS;
AAKLRS;890
AAKLSS;3854,3866,4011
AAKLST;3282
AAKLSV;2485
AAKLTU;584,1062,3766
AAKMMO;
AAKMMU;
AAKMNU;585,3766
AAKMRS;
AAKMRT;
AAKMRU;1061,1062
AAKMSS;
AAKMSY;
AAKMTU;585,1062
AAKNOR;524,585,925,1105,3283,3438,3766,3767,3822,3920,3957
AAKNRT;3283,3322
AAKNST;
AAKNWZ;
AAKOPR;2639,3438,3767,3957
AAKOPS;3552,3670
AAKPPS;827
AAKPRS;4013
AAKPSS;469,3921,4142
AAKPST;2117,4070
AAKRST;
AAKRSY;1596,2486
AAKSSV;4011
AAKSTT;1261,3768,4033
AAKSTZ;4073
AAKSUW;2531
AAKTUY;
AAKUYZ;
AALLLN;152,266,267,294,364,395,507,557,579,696,1043,1064,2017,3843
AALLLS;45,487,877
AALLMM;
AALLMS;525,1238,1580,2342,2487,3584,3772,3773,4010,4183,4184
AALLNS;
AALLNY;489,3554
AALLOR;3689,3993
AALLOZ;488,1099,1173,2580,3092,3586
AALLPP;
AALLRU;310,537,996,1044,1045,1171,2061,2494,2535,2653,2657,3673,3684,3693,3771,3778,3993,4145
AALLRV;3844
