AAB;2,1019,1020
ELT;
ELU;
ELV;
ELW;
ELX;
ELY;
ELZ;23673,23730,26401,27641,29739,29818,30075,30097,30131,31203,31725,32714,33348,34068
EMM;
EMN;
EMO;
EMR;
EMS;
EMT;
EMU;
EMW;23486
ENO;
ENP;34028
ENR;
ENS;
ENT;
ENW;
ENY;
ENZ;30736
EOP;
EOR;
EOS;
EOT;
EOV;
EOW;
EOX;3180,18652,20491,24300
EOY;
EPP;34215
EPR;
EPS;
EPT;
EPW;28134
EPY;
EPZ;20234,30736
ERR;22819,28792,28805,29160
ERS;
ERT;
ERU;
ERV;
ERW;
ERX;21676,32275
ERY;
ERZ;23730,26344,29093,32802
ESS;
EST;
ESU;
ESV;
ESW;
ESX;
ESY;
ESZ;
ETT;
ETU;
ETV;
ETW;
ETX;24300
ETY;
EUY;2380,4716,8700,11801,13901,14439,14590,16117,16172,20231,20586,21427,22320,23339,23386,24088,26145,29485,31002,31292,31298,31394,31651,31675,31785,31957,32387,33008,33026,33458,34215
EVX;16099
EWX;24354
EWY;
EXY;996,6192,16203,18566,20027,20051,21389,23156,24217,24300,29351,31785,33046,33521
EXZ;3278,13030,14873,15233,22962
EYZ;1681,3243,5985,6160,10922,11067,15210,20414,23730,32079,32991,33796
FFI;16273,34416
FFO;34408,34416,34430,34432,34436
FGI;30946
FGO;
FGU;9116
FHO;10892,10897,13648,21244,24433,24437,25845,26889,26890,28178,29252,31070,34444,34469,34578
FIK;
FIL;
FIN;34657
FIR;21439,24433
FIS;
FIT;19540
FIX;21439
FIZ;8084,10904,13674,13678,13684,29276,31265,34520
FLU;24449
FLY;24443,28182,28204,34402
FMU;287,22359,25753,28224,34556,34739
FNO;34738
FNU;34657,34704
FOO;
FOP;24456,31010,31259
FOR;
FOT;
FOU;
FOW;
FOX;16408,16438,20667,28201,34618
FOY;21440,24473
FRU;26933
FRY;
GGI;34864
GHI;1755,16748,28277,31570,31587,31613,31651
GHO;3483,28277,31587,31665
GHU;
GIJ;5698,6256,9209,9279,16884,16886,16887,31792,34827,35121,35125,35126
GIL;
GIM;28862
GIN;
GIO;21445,28307,31738,34954,35000,35112,35175
GIP;7563,12787,12789,20063,21996,31010,35175,35386
GIR;
GIS;
GIT;34864
GIV;
GIW;2856,11077,12789,26880,28361,31904,34869,35175,35349,35386,35388
GIZ;3512,23299,24691,27107,29540
GJO;26883
GJU;20773,23313,24640,31795,35125,35126,35633
GLO;34954
GLU;
GMO;31675
GMU;
GMY;21255,24598,29485,35094,35678,35679
GNO;
GNU;35291
GOO;12851
GOR;
GOS;
GOT;24745,35112,35640,35674
GOV;762,16672,35144
GOW;31648
GOX;1773,4762,6928,8192,13612,14065,17018,20156,22706,28422,31016,32003,32006,32168,35411,35642
GOY;
GPU;
GPY;23386
GRR;320,764,1021,1043,2445,2456,20859,28792
GRU;
GSU;
GTU;34864
GTY;9116,11957,11974,24745,28299,28435,35640,35674
GUV;28344,29229,30971,32019,35291,35494,35585,35607
GUY;23339,31002,31785
HHO;19791,23406,28440,29701,29702
HHS;
HHU;1200,1245,1800,6936
HIK;
HIM;28479,28482,28484,29749,35794,35795,35825,35844
HIN;20181,29722,29754,35785
HIO;35807
HIP;1050,14504,14525,16603,16712,17299,20063,26150,26282,26890,27323,28497,29722,32290,32293,32315,34948,35701
HIS;
HIT;11164
HIU;18492,20185,20668,20725,25590,25762,28279,28281,29749,29754,29764,29785,31057,31600,31631,31651,32256,32513,34445,34461,34464,34593,34803,34958,34968,35075,35751,35763,35785
HMM;1859,3642,6409,9459,17271,17363,17365,28479,32244,32387,34957,35709,35734,35825
HMO;
HMU;34958,35751,35897
HNO;
HNT;
HNU;20231,20903,28929,29754,29764,29859,32256,32341,35751,35897
HOO;
HOP;
HOR;35898
HOS;
HOT;
HOW;
HOX;18652,20225,28201,28526,32345,35829,35861
HOY;24412
HOZ;1253,1759,1838,2974,6396,14621,16805,20234,21283,23644,23663,24778,24812,24815,24900,29818,31626,32248,32349,32451,32628,32675,35098,35780,35807,35844,35865
HPT;
HPU;29785,29859
HPY;
HRY;20880,35092,35898
HSY;
HTU;
HTY;300,35768
HWY;
IIW;12110,16852,19583,22117,24999,25760,27523,31456,32244,32267,34987
IJN;3017,6295,6472,16714,16883,17641,29712,29982,29983,31792
IJZ;3017,14948,20288
IKL;
IKN;
IKO;18649,20964,21512,25046,30024
IKP;35780
IKR;35731
IKS;
IKT;
ILL;
ILM;
ILN;24449
ILO;
ILP;
ILS;
ILT;
IMM;20974,35975,35991,36025
IMN;
IMO;
IMP;
IMR;
IMS;
IMV;12269,24965,25067,28561,33171,35971,36011
IMX;33171,35971,36006
IMZ;10310,23968,24778,25114,25124,26344,26401,27641,30075,30163,32710,32881,32890,33243,33433,33492,35844
INN;20992,22474,25142
INO;
INP;
INQ;
INR;
INS;
INT;
INU;31177,34803,34855,34968,35291,35785
INV;20997,25067
INW;
INX;16498,25142
INY;
INZ;20688,36347
IOP;6675,7035,13155,14525,17299,22402,23423,35701
IOS;
IPP;34416,36182
IPR;
IPS;
IPT;
IPU;171,2566,5782,6675,8700,29785,35879
IPX;3769,6539,11508,17299,17595,17601,25935,28695,31259,35829,36397
IPY;
IPZ;3911,3947,22464,25091,25169,35442
IQS;3889,14545,17674,24775,29009,29542,30368,30370,31498,34888
IRS;
IRT;
IRZ;23730,26344,28907,32802
ISS;
IST;
ISU;171,9659,22991,25052,29009,29202,36387
ISV;
ISW;20965,28223
ISX;28567,34669,36274,36387,36397
ITT;
ITU;34864
ITW;
ITX;36274,36401
ITZ;25124,25144,25167,25169,35844,36347
IVY;22429,25110,28476
IWZ;17014,20971,33814,34677,35471
IZZ;15423,20958
JLO;1131,1899,22491,35633
JNU;6295,16885,22451,24109,25576,27249,27570,33008,33829,34704,35126,35989,36419
JOR;3700,18895,27923
JOT;22992,23796
JOW;20289
JOY;17643,18070
JSU;9658,9659,25184
JTU;
KNO;
KOP;
KOR;
KOS;
KOU;30024
KOW;28605
KOY;
KST;
KSU;
KSY;
KUY;28607
LMO;
LMU;20659
LMY;
LNU;24449
LOO;
LOP;
LOR;
LOS;
LOT;
LOU;12723,18642
LOV;
LOW;
LOX;3180,4055,15852,17018,18111,18975,25071,28422,28512,35411,36252,36463
LOY;
LOZ;20256,24691,24812,24949,26401,27641,29818,30075,30131,34068,34520,35404,35455,35654,36468
LPU;
LPY;
LRU;
LSY;
LUU;19477,19480,19485,19494,19618,20334,20659,20988,21495,21522,24449,24958,27261,28228,28561,28610,30915,31857,32335,33313,34419,34431,34432,34602,34603,34612,34704,34736,34876,35093,35469,35649,36271
LUV;27496,28561,28639,35971,36011
LUX;2042,3766,18975,25071,35971,36006,36274
LUZ;3252,11099,29386,34887,35409,35421,35461,35471
LVY;1154,1164,2022,16846,17199,17580,17583,18131,22429,24912,25110,28476,28534,35389,35476,35972
MMM;17584,35973
MMO;28224,28737,36420
MMU;21541,22495,24824,25202,25245,29093,30626,34682
MNO;
MNU;
MNY;31394,33910
MOO;
MOP;17299,28615,34622
MOR;
MOS;
MOT;
MOU;
MOV;3423,12269,24965
MOW;28605
MOY;
MOZ;4012,24778,35844
MPU;
MRU;
MSU;
MTU;
MUU;1781,2592,9339,16528,17701,18664,19912,20334,20659,20992,20996,20997,21485,25720,25721,25753,28561,28746,28750,30915,30995,31346,31857,32335,32428,33504,33969,33983,34603,34721,36011,36448
MUV;9626,20997,25067,25665,27505,28561,35971,36011
MUX;3277,5717,25071,25255,30494,33171,35971,36006
MUY;9476,9714,14590,17790,18113,18115,18257,18265,20586,22432,23339,28064,28453,28591,29485,33458
NNO;
NNU;6960,21478,22369,22474,24513,25142,26001,28281,28929,30417,30425,34496,34855,34958,34968,35245,35291,35421
NOO;
NOR;
NOS;
NOT;
NOW;
NOX;20914,28201,34618,35829
NOY;
NPU;34028
NPW;31594,35034,35072
NRU;
NSU;
NSY;
NTU;
NWY;
OOP;
OOR;25171,25287,36108
OOS;
OOT;
OOW;20310,21025,21027,21105,21472,25171,25186,25287,35888,35894
OOX;2065,4141,4276,6749,17018,18167,18236,18366,18920,19658,20156,20225,20480,20491,20550,20581,20949,21381,21535,24046,25138,25150,25166,25167,28086,28201,28422,28526,30649,30653,31016,32126,32168,33561,33611,35411,35642,36347,36387,36463,36495
OOZ;24691,24812
OPP;
OPR;
OPS;
OPT;
OPU;
OPW;
OPX;4055,4141,6539,17299,17601,18111,25255,28695,35829,36397
OPZ;1759,3608,4142,15831,16805,18304,20234,25091,25169,25280,26793,28498,29406,34068,34162,34270,35780,35807,35865,35870,35919,36468
ORS;
ORT;
ORU;
ORV;
ORW;
OSS;
OST;
OSU;
OSV;
OSW;
OSX;16408,17405,18103,18366,18677,19650,19658,20667,21065,25255,34614,34669,34754,36387,36397
OSY;
OSZ;
OTT;
OTU;
OTW;
OTY;25000
OUY;15824,18257,23583,25225,27689,27706,28025,28747,28748,31675,33924
OVW;
OVX;15382,16099,26533,36397
OWW;10351,10353,12475,12525,12535,12552,16093,16160,18336,24999,25171,25287,25830,28710,28745,28754,33142,33512,35653,36428
OWX;4792,6183,9536,9819,16170
OWY;
OXY;17018
PPU;22968,23103,24785,29859,34215
PRU;
PRY;
PST;
PSU;
PSY;
PTU;
PTW;17713,17995,28781
PUY;22448,24863
PXY;
QSU;24775,34888
RSU;
RTU;
RTY;24970,35972
RUY;17062
RWY;27410
SSU;
STU;
STY;
SUW;1730,2082,18615,20014,20847,21032,23649,24464,25050,25052,30784,30830,33373,33734,34323,34734,35676,35905
SUY;
SWY;
TTU;
TUU;444,4071,7017,9921,13749,14297,14362,15860,16292,16545,16546,18179,18674,19618,19633,19660,20954,24958,28115,28235,28769,32428,34335,34419,34431,34603,34612,35093,35105,35469,35533,36266,36271
TUX;1587,2042,4803,5624,9858,12991,16039,23137,23156,24028,24998,25158,30626,31785,32168,36274,36401
UWZ;16700,19665,33814,35471
UZZ;3252,16700,34887,35316,35421,35461,35471
ZZZ;
