AAABC;CR,HT,IR,MR,OR,TW
AAHRT;AF,AP,AW,DH,EE,EI,IK,IP,IV,NO,NX,NY,PW,TW
AAHRY;AC,CK,CN,CW,DL,DW,EK,NT
AAHST;AI,BB,BK,CD,CE,CT,EK,ET,IO,JK,KK
AAHSW;EK,EP,GR,IN,NU
AAHSY;DN,DW,EN,GT,IL
AAHTV;IR
AAHTW;AR,PR,PY,RT
AAIIL;BG,BX,BZ,CN,DR,DV,FR,MR,PR,PT,RZ
AAIJV;
AAIKK;AR,DE,KV
AAIKL;AT,CH,CR,DY,PR
AAIKR;AK,BD,CL,LP,MO,PP,PR
AAIKS;BE,BN,GN,HM,HP,IW,IZ,MO,OY
AAIKT;AL,MU,VV
AAILM;AR,DR,DT,GY,HR,HT,IR,LM,LR,LX,MR,MX,RT
AAILN;AX,BD,BE,BL,CI,CL,CP,DP,EO,FF,HL,JP,LV,OP,OV
AAILR;BL,FI,HM,IM,IZ,LM,LX,MM,OU,OV,OZ,RV,WY
AAILS;AL,BE,BL,BT,BU,CC,CF,CL,CO,EX,HW,LX,OT
AAILV;DI,HP,LN,LU,MN,NO,OR,RR
AAILX;AD,AN,CO,FF,MM
AAILY;BM,DK,DW,GM,LX,PR,RW
AAIMN;BO,HK,HO,HZ,JP,KN,MO,NO
AAIMR;AC,AL,CH,CL,CM,CO,CP,EU,HL,IL,KO,KS,LL,LM,SU
AAIMS;BO,BR,DD,DE,DR,KO,KR,RR
AAIMT;CC,CY,DL,DO,EM,EV,HI,HL,MM
AAIMZ;GN,HN
AAINP;AC,CI,CL,DH,DL,DN,EG,GL,GY,JL,JM,KL,NU
AAINR;AH,NV,OR,OV
AAINV;CC,LL,LO,NR,OR
AAIPS;AB,AH,AV,DE,DI,EP,ER,GR,HK,HR,OR,PR,RT,RY,TY,ZZ
AAIRS;AC,CD,CP,CS,DM,DU,JW,MR,MU,OP,OR,OU,PP,PY,UW,WY,ZZ
AAIRT;AD,AF,BO,CC,CH,DE,EH,ER,ET,EV,EW,HV,OV
AAIRV;DG,DN,EL,ET,EW,IV,LO,LR,LT,NN,NO,NT,OP,OT
AAISS;DQ,ER,FR,HM,HR,MM,MU,NY,QU
AAIST;AH,AX,ET,EV,EX,HO,LO,LP,PY,TV,UY
AAITW;DE,ER,GL,XY
AAJLP;CI,IN
AAJNN;
AAJNP;IL
AAJNW;
AAJNZ;IR,MZ
AAJPS;AM,MY,OU
AAJQQ;
AAJRS;CE,IK,IN,JM,NP
AAJRT;BM,EN,MO
AAJSV;
AAKKP;EY
AAKKS;AB,AN,AR,EE,HT,LP,MR,NU,OP,PU,UZ
AAKKY;DE,EP,ER
AAKLM;PU,RY,UY
AAKLO;EF,NO,NU,OP
AAKLP;IN,IR,MU,OO
AAKLR;CI,DE,IP,KU,MY
AAKLS;BU,CJ,GY
AAKLT;AI,BE,CW,EN
AAKLV;AB
AAKMR;DE,DY,ER,IN,IO,JN,LY,MN,WY
AAKMS;BT,EW,IO,MO,MU,NU,OU
AAKNS;AK,CH,CR,HU,IL,IR,KU,MU,OR,PY,WZ
AAKNT;EG,EL,NU,WY
AAKOP;LO,OP
AAKPP;AU,IR,OO
AAKPR;BE,CT,DE,ET,IL,IP,IR,WY
AAKPS;AB,CZ,DE,DU,KU,NY
AAKPT;CR,ER,EU
AAKRS;AH,AK,CC,CH,CN,CR,HS,NO
AAKRT;CH,CP,GO,UY
AAKRY;BE,CH,DM,EH,EK,LM,MW,PW,TU
AAKST;AE,AJ,BE,BH,BM,EH,HJ,HK,UY
AAKSV;
AAKSW;BC,CH,II,NT,NZ
AAKTZ;
AAKUW;EN
AALLM;DR,EL,IN,IR,IX,PU
AALLN;DW,EV,EZ,IK,IM,IT,IV,OX,PU
AALLP;AT,BT,DU,MU,NU,WY
AALLS;AI,BB,BE,BI,BO,BT,EP,IK,IV,IX,OR,OZ,PP,RV,TT
AALLU;DP,IV,MP,NP,VV
AALLV;AC,CY,EF,EN,ET,GY,IN,IS,IU,NY,OT
AALLW;AB,BY,DG,DN,FJ,PY
AALLY;BW,CF,CV,DE,ER,FT,GV,HW,IX,PP,PW,RU,RV
AALMM;ER,ET,IN,IR,IX,NO,NT
AALMO;CN,DE,DN,GG,MN,NY
AALMR;AC,AH,AI,CI,DI,DL,HI,II,IL,IM,IN,IT,KY
AALMS;EX,EY,GN
AALMT;AB,AP,DI,IN,IR,MN,TU
AALMU;KP,KY,LP,TT
AALMV;IN
AALMW;ER
AALMX;DE,ES,IL,IM
AALNN;AH,AT,CO,DM
AALNS;EK,ER,MM,MO,MP,RW
AALNT;AN,BL,MM,QU
AALNU;EP,KO,LP,PU,QT,TT
AALNV;CE,EL,EO,GI,IL,IM,IO,IT,LY
AALNY;CP,DR,ET,EW,EZ,GO,GT
AALOS;BB,BL,BV,ER,GG,GI,GN,IR,IT,LR,LZ,PR,PT,PY,RT,RU,TT,VW
AALPP;CH,IT,OT,RY
AALPS;DR,GN,OR,RR,RW
AALPT;AC,AL,AM,BL,CC,CF,CI,CR,CY,II,IP,IR,IT,RY
AALPY;BC,BE,BY,CN,CT,DY,ET,LP,LW
AALPZ;IZ,OZ
AALQT;NU
AALRT;BU,BY,CF,CP,CY,PY
AALRU;BF,BP,BT,CC,CF,GO,GU,IO,KK,OR,PP
AALRV;CY,GX,IO,IR,IT
AALRY;AR,BT,CT,CV,DE,DH,DN,EL,EV,GG,IN,IW,KM,LU,LV,MO
AALRZ;AC,CO,ET,II,IO
AALSS;AM,CE,CR,CU,HM,HR,MU,RW,UX
AALST;CO,CU,FU,IO,UV
AALSU;BI,BK,BT,FT,KS,KT,ST,TV
AALSV;BO,CU,DN,OW,TU
AALSY;BC,BE,BM,BS,EM,HK,MT
AALWY;BL,DI,EN,EW,FH,HL,IR,JK,KW,LP
AAMMM;IT,RY
AAMMN;EU,IL,IO,KR,LO
AAMMS;HS,KO,KU,OO,RR,RT,UZ
AAMNN;BD,DL,DO,ET,GH,GR,IK,IO,IT,OY
AAMNS;KU,LO,LU,OO,OR
AAMNT;CL,GO,OY
AAMNX;
AAMNY;AT,DI,DR,DS,GP,NO,OT,PR,PT,RU
AAMNZ;HI,JZ
AAMOR;AT,BU,CI,CR,CT,DI,DT,IK,JR,JT,KU,RZ,TY
AAMOS;CC,CE,CY,DU,EF,GN,GU,IK,IN,KM,KU,MO,NO,NZ
AAMPP;AD,AU,DO,DU,EN
AAMPR;AM,AT,CE,CI,ET,NT,NY,RT
AAMPU;AP,DP,KL,LL
AAMRR;AZ,CO,CT,DY,EK,GY,JO,LU,NO,OZ,PT
AAMRS;CS,CT,IN,IT,JJ,MT,NT,ST
AAMSS;AL,AR,IL,IM,IT,IU,LP,LU,PY,RT,RU,TU
AAMST;AJ,AR,AT,CR,GM,KR,MR,RS
AAMSY;BL,BO,BS,CH,CN,CO,DN,DY,EL,JP,LT,PS
AAMTU;GM
AAMTZ;EO
AANNN;DI,ET
AANNS;BI,BK,BY,DR,EK,EZ,HO,YZ
AANNT;AL,AM,DE,DO,EG,EM,EN,EV,KU
AANNU;FI,IP,KT,PY
AANNW;BE,PS
AANOS;BR,BY,CL,EP,EZ,GI,GL,GM,GN,GR,HN,IM,IP,IX,JN,JW,JY,KR,LM,MO,MR,MZ,NN,QY
AANOX;
AANPP;AY,EM,ER
AANPR;BE,EH,EP,HO
AANPS;CT,KY,LT
AANPV;
AANPX;CH,ES,HL
AANQT;
AANRS;AC,AF,BK,BO,CH,CK,CL,HJ,HM,KO,MO
AANRT;BE,EG,EJ,EV,GV,HX
AANRU;BD,CM,EM,EW,EZ,MY,WY
AANRV;AC,CH,DE,DI,DW,ET,GT,HO,IN,IO,IT
AANRW;AA,AO,DE,DI,DV,DY,EG,EU,IT,UY
AANSS;CE,CI,CV,DK,EV,EW,IT,IY,JK,KT,OT,TT,TV,TZ,YY
AANST;DF,FT,FY,PS,ST,TT
AANSU;CH,CT,HK,HW,KK,KM,MT,TV
AANSZ;AN,BI,EN,EO,GG,KW,NY
AANTV;EG,EN,ER,GR
AANZZ;II,JM
AAORT;AM,CM,CU,DM,DP,GK,IP,IV,JM,MY
AAOTW;WY
AAPPS;EE,EI,ER,GR,HR,IR
AAPPT;AR,EL,ER,IL,IT,LO
AAPPW;
AAPPY;IJ,LL,LR
AAPRR;DO,IK,MT,TT
AAPRS;AS,DH,DL,DO,FF,GI,GP,HI,HL,HP,HY,IL,IO,IP,IY,LO,LW,LY
AAPRT;AH,AM,AP,CK,CL,DO,HW,LY,MR,UU,WY
AAPST;AC,CN,EN,IN,IY,MN
AAPSU;DK,DO,HK,JO,KK,NR,RR
AAPSW;EH,LR,NN
AAPSY;EG,ER,HR,IR,IT,JM,KN,MS,RT
AAPSZ;CK,ER,IZ
AAPTT;AU,DO,DU,IL,IP
AAPTW;HR,HY,RY
AAPWW;DE
AAQSU;BU,GG,IS,OS
AARRS;AA,CK,CU,HI,HJ,IO,OU,OV,UW
AARRU;BS,BT,BV,DL,LM,LN
AARRY;AL,DE,DM,ER
AARST;DD,DF,DU,MM,MU
AARSU;BD,BE,BR,DG,DI,DT,ET,FI,GJ,GO,GV,HO,IK,IO,IW,KT,OR,PR,RW
AARSV;AT,CT,DW,EG,GU,MO,OR,OV
AARSY;DG,GI,GM,IP,IW
AARTT;AT,AU,CT,HW,IL,MY
AARTY;AX,CL,CU,CW,EP,KU,LP,MO,MT,MW,PW
AASST;AC,BB,BM,BN,DD,EV,FO,KN,KT,MU,NO,NT,NV,NZ,TU
AASSY;BL,BM,DE,DP,ER,EW,IN,KM,MP,NY
AASTU;BD,BL,BX,CE,CL,CN,DR,EG,ER,FL,GN,GO,IY,KL,KR,KY,LN,LP,LR,LS,LV,NV
AASTV;AR,CR,IM,IT,LU,OT
AASTW;BT,EG,EN,ER,KN
AASTY;BB,FN,GH,IP,IU,KU,LM,LN
AASWW;LQ
AASWY;DH,GN,IR,NY,RR
AATXY;AR,BL,IW
AATZZ;EL
ABBBU;EL
ABBCO;
ABBCY;KU,OT
ABBDE;
ABBEK;
ABBEL;AT,IT
ABBER;
ABBES;EU,EW,FT
ABBEY;LU
ABBFY;
ABBGY;AC,IN
ABBIJ;GN
ABBIM;IN,NO
ABBIR;DL,LO
ABBKO;GO,IN,LU
ABBLS;AA,AH,AL,AO,IJ,IL,IO,OO
ABBLU;KO,LT
ABBNO;DX,EG,IK,IM,IR
ABBOO;GK,GU,RU
ABBOS;AB,AL,IL
ABBOT;EX,IL,MU
ABBRS;
ABBRY;IT,LM
ABBSU;AC,AS,DE,EE,ES,GH,GM,HJ,IM,QY,SS
ABBTY;AS,DI,IR,IS
ABBYY;CR
ABCCO;KW,OR,OT
ABCCY;HT
ABCEE;DH,HU,NR,RR,RU
ABCEH;BI,BU,EU,KO
ABCEI;DN,DP,IT,LL,LT,NT,OT,TT
ABCEL;AC,AN,AP,KN,KO,OP,OV,PU,PY
ABCEP;AL,DI,LO,LU,LY
ABCER;AC,AF,AT,EN,GO,NO,OV
ABCHI;AR,BE,CC,CI,DO,ES,GN,HI,LS
ABCHO;AK,EK,EL,GK,IT,KU,TT
ABCHR;AH,AI
ABCHS;IL,KU,PU
ABCHT;AA,AM,CY,KU,OR,OT
ABCIN;AR,BG,CU,DE,ER,ET,FK,GH,GK,GL,GR,IL,IM
ABCIO;AP,DH,DL,EM,ET,FL,FT,HT,IT,LU,UV
ABCIR;CM,GN,LS
ABCIS;BI,BR,DI,DR,FR,HL,IL,IM,KP,KY,LR,MM,MT,RT
ABCKL;AY,DE,EH,EN,EO,ER,FY,GO,IT,LY,OT
ABCKR;
ABCKS;AW,EI,ET,EY,HU,IP,IY,NU,OW,PU,TU,UW
ABCNO;KN
ABCNS;AA,EE,EU,KU,LU
ABCOR;AA,AR,AT,CO,DE,DO,DR,DU,EG,ER,EU,EV,RW
ABCOV;EL,ER,IU,LY
ABCOZ;EN
ABCRS;BI,DI,FI,IL
ABCRT;AE,AO,DE,EH,EK,HO
ABCRY;HN,IT,LU
ABCSS;AA,AH,EE,ES
ABCSU;CU,DE,EE,EG,EL,EN,ER,GM,HK,HP,KN,KP,KR,KW,LN
ABDDE;ST
ABDDY;
ABDEG;AM,EF,EZ,HI
ABDEI;CK,CN,CP,GH,GN,MO,NV,NW
ABDEK;AW,IT
ABDEL;
ABDEM;AG,IO,IR,RU
ABDEN;AU,CI,HU,IS,IV,IW,LU,SS,SU
ABDEO;CR,EH,FR,HW,IM,MM,MN,NR,NY,RR,RV
ABDER;
ABDES;DY,NP,NY
ABDET;
ABDEU;HN
ABDEY;BI,EM,IS
ABDHN;AG,AT,AY,EU,JO,OR
ABDIR;FT,GT,JY,MO,MY,TY
ABDIT;BY,CR,FR,GR,HI,LO,RY
ABDLN;AD,AI,DE,EE,EG,EK,ER,EU,GI,GO,LY,OR
ABDLO;CI,DL,GN,IM,IO,IR,IT,LR,NR,RY,YY
ABDLS;HI,IR
ABDLU;BR,GY,IY,RY
ABDLY;GU,IU,IW,OY
ABDNR;TU
ABDNS;CI,CO,DI,EI,EM,EP,ES,EU,EY,GO,IT,OU,OX,OY,TY
ABDNY;AH,LL,MO,OS,OY,ST
ABDOO;CR,ET,IL,KN,KY,NR,RW,WY
ABDOR;BM,CE,CH,CO,CU,DE,DM,EL,ET,EV,HM,IL,IM,LL,OW
ABDOS;AG,CH,CN,DD,GN,HH,HY,IU,NU,NX,NY,YY
ABDOT;AI,AY,IL,IN
ABDRS;AH,AR,AT,AY
ABDRY;IJ,IM,IT
ABDSU;AT,CI,CT,DH,HM,HN,IO,MW,NO
ABDSW;AN,BE,EI,MU
ABDUY;GL,IL
ABDWY;IL,OO
ABEEL;EY,HR,HW,LR,LY,OR,QU,RR,RY
ABEER;CN,CU,HL,LL,LN,LP
ABEFL;AX,NU,NY
ABEGI;BR,CR,DN,DR,FL,KL,LN,LV,MN,MR,MT,NN,NO,NR,NT,NY,PP
ABEGL;AA,IK,IV
ABEGM;CO,GO
ABEGN;AB,BO,BU,GU,IN,IO,IT,IY,NT
ABEGR;AR,CI,FT,HU,RU
ABEGT;FR,FS,IN,NN,OT,RS
ABEHJ;
ABEHK;CO,NT,RU,TU
ABEHL;AT,EW,PT
ABEHO;CK,CL,DE,DG,DW,GR,IM
ABEHR;DG,EG,EV,GO,GU,KU,NY
ABEHS;EG,EM,EN,EV,GN,IM,IN,IU
ABEHT;AL,AN,EM,EN,EY,IM,IU,IZ,KN,KU,LN,LP
ABEIR;AO,EK,GG,GN,KN,NW,UX
ABEIS;AK,ET,FF,HU,KK,OT,PT,TT,TW,UV
ABEIZ;HT,PT
ABEJL;AL,UY
ABEJM;AU,UX
ABEKL;AT,CN,CO,GI,GU,IL,IN,IT,NT,OP
ABEKN;AI,AS,CL,EV,EY,IL,SU
