AABB;HHIOOPT
AEKK;ABCCDJL,ACCCJRR,BBCCLOR,BCLLLNU,CCIOTTT
AEKL;
AEKM;BCDHTTU
AEKN;
AEKP;
AEKR;
AEKS;
AEKT;
AEKW;
AELL;
AELM;
AELN;
AELO;
AELP;
AELR;
AELS;
AELT;
AELV;
AELW;
AELX;
AELY;
AELZ;
AEMM;
AEMN;
AEMR;
AEMS;
AEMT;
AEMW;EGINOTT
AEMX;AHIILTY
AEMZ;
AENN;
AENO;HHIORRR
AENP;
AENR;
AENS;
AENT;
AENU;
AENV;
AENW;
AENY;
AENZ;
AEOR;
AEOT;
AEOZ;
AEPP;
AEPR;
AEPS;
AEPT;
AEPV;AEILLPT,BBEEELW
AEPX;EGHORRR
AERR;
AERS;
AERT;
AERU;
AERV;
AERW;
AERY;
AERZ;
AESS;
AEST;
AESU;
AESV;
AESW;
AESX;
AESY;
AESZ;
AETT;
AETW;
AETY;
AETZ;
AEUV;
AEUX;DHORRYY,GGINPRT,GINOPRT
AEVW;
AEWW;BEHLORR
AFFF;CEEERTT
AFFG;AIIILNT,CIIINOT,ILNOOTT
AFFH;GIMNRUU
AFFN;GILOOTT
AFFO;ACDIINO,CCEIISU
AFFR;
AFFW;
AFFY;
AFGL;
AFGN;
AFGO;
AFGR;DIIIMRU
AFGS;
AFHK;
AFHL;GIMOPRY
AFHS;
AFHT;
AFHU;
AFIK;
AFIL;
AFIN;ABDDIOZ
AFIR;
AFIT;BBIILOU
AFIW;
AFIX;CHNNOTU,DELNOSU,ELMNOUV
AFKL;
AFKN;
AFKS;
AFKW;
AFLL;
AFLM;
AFLN;
AFLO;
AFLP;DDEOORR
AFLR;
AFLS;
AFLT;
AFLU;
AFLW;
AFLX;AELORRT
AFLY;
AFMO;ACCGILU
AFMR;AACJLNY
AFNO;
AFNS;
AFNU;
AFNW;
AFOR;
AFOS;
AFOY;ILLLNUX
AFPR;CIINOOT,CIIORTU
AFQW;
AFRS;
AFRT;
AFRU;
AFRY;
AFRZ;EEGIMNT
AFST;
AFSU;
AFSW;
AFSY;
AFTU;
AFTW;
AFUX;ACDEINR,BDNOORU,CHINNOT,DEILNOS,EILMNOV,FIINOST
AFWY;HHIORTT
AGGH;AAILOPR,AHIOPRY,HLOPPRY,HNORTUU,INORTWW
AGGI;
AGGJ;BCIKLNO,BINORTU,CHHIIKN,CINNOTU,HIIMNTU
AGGM;
AGGN;
AGGO;
AGGR;
AGGS;
AGGU;
AGHN;
AGHR;
AGHS;CCIIIOP,CCIIOOP
AGHT;
AGHU;
AGIL;
AGIM;
AGIN;
AGIO;
AGIR;
AGIT;
AGIV;EEHHTWY
AGIY;CDHRRRY,CHHOPPT,CHHOPRR,CHOPPRR,CHOPPRT,DHOPRTT,EHHOPRR
AGJO;CEEMPRT,CIKNPTT
AGJS;
AGJU;BGINSTU,BINOSTU,GHIIMNT
AGKN;
AGKO;AAHINTT,AHIMNTW,EIIMMNV
AGKS;
AGKU;
AGKW;AAAANNT,CEGHLOO,CELNNOU
AGLL;
AGLM;
AGLN;
AGLO;
AGLS;
AGLU;
AGLY;
AGMN;
AGMO;
AGMP;DEEEHLT
AGMR;
AGMS;
AGMU;
AGMY;
AGNN;
AGNO;
AGNP;
AGNR;
AGNS;
AGNT;
AGNU;
AGNV;CLLOOOY,CLLOOUY
AGNW;
AGNY;
AGOP;
AGOR;
AGOS;
AGOT;
AGOY;CCEILLP
AGPS;
AGPU;
AGPW;
AGPY;CHHNOOY
AGQU;AAFIMNR,AAILNNP,DILNPRU
AGRS;
AGRT;
AGRU;
AGRV;
AGRY;
AGSS;
AGST;
AGSU;
AGSV;
AGSW;
AGSY;
AGSZ;
AGUY;FIINNQT
AGYZ;
AHHO;ABBIOPT,ABEIMOP,ABEIPPT,ABGIOPP,ABIOPPT,ACDGMNY,ACEGNTT,BCEIPPT,BINOOPP,BINOPPY,BIOOPPT,BIOPPSY,CDDEEKS,CEINPPY,CGIPPTY,EEGIPST,EEINPST,EEIPSTT,ELPPSYY,GINPPST,GLOPSUY,ILLOPSU,ILMOPSS,ILPPSYY
AHHS;ILLOOPU
AHHT;DOORRXY,GMOPRYY,GNOORTY
AHIJ;AGGIMNT,GGIMNTU,GGIMNTY
AHIK;
AHIL;
AHIM;
AHIN;BHOOOPP
AHIO;AAGGLPR,AGGHPRY,HINNOPR
AHIR;BEHIOOP
AHIS;
AHIU;
AHIY;ADEINPT,BCCDDIK,BHOOPPS,CEGMOPS
AHJJ;
AHKL;GIILLNW
AHKN;
AHKO;AAGINTT,HNRTTWY
AHKP;
AHKR;ANOOTTV,HNOTTWY
AHKS;
AHKT;
AHKU;
AHKW;HNORTTY
AHLL;DDEEEEV
AHLM;
AHLO;
AHLR;
AHLS;
AHLT;
AHLU;
AHLY;AACGMOZ
AHMO;
AHMR;
AHMS;
AHMT;
AHMU;
AHMW;BCEENRR,EEGILRY
AHNO;EHIORRR
AHNR;BEELNOR
AHNS;
AHNT;
AHNU;
AHNW;AADEMRR,ADEEMRR,BCEEMRR,CCHMORU
AHNY;
AHOP;AAEMNNP,AAGGILR,EEGRRRX
AHOR;
AHOS;
AHOT;
AHOW;
AHOX;CCEELNY,CDGIOPR,CEIOPTT,CFINNTU,EILMNTY,GIIMSTT,GIOPSTU,GLOPSUY,HNPPRYY,INOPSST
AHOY;AEIKLMP,DDEFFLN
AHPR;
AHPS;
AHPT;
AHPU;
AHPW;DEEGNNR
AHRS;
AHRT;
AHSS;
AHST;
AHSW;
AHSY;
AHTT;AAIILNN,AGLNOOY
AHTU;
AHTW;
AHYZ;AACGLMO,AADHLPR,ABEELRT,ADLORSU,CEGIOPT,CGINOPR,DELORTY,EIOPSST,EIOPSTT
AIIL;
AIIN;
AIIX;ABRRRTT,ACGLLOO,AEEPTTV,AHLMMPY,BELORTY,CEGHLPR,EEPRTTV,LNORTUU,MNOOPRT
AIJL;ACDGMTU,ACEETUV,EGMTTUU
AIJO;
AIJS;
AIKK;
AIKL;
AIKM;
AIKN;
AIKP;
AIKR;
AIKS;
AIKT;
AIKU;
AIKV;
AIKZ;GIILNNO
AILM;
AILN;
AILP;
AILR;
AILS;
AILT;
AILV;
AILW;
AILX;
AILZ;IINNOOT,IINOTTU
AIMM;CCHIIPT,CIOOPRR
AIMN;
AIMO;BBEILLS,BBEILLZ
AIMP;
AIMR;
AIMS;
AIMX;
AINN;AFIIMRR
AINO;
AINP;
AINR;
AINS;
AINT;
AINU;
AINV;
AINW;
AINY;BCOOTTT
AINZ;IILOTTU
AIOT;
AIPP;
AIPR;
AIPS;
AIPT;
AIQU;
AIRS;
AIRT;
AIRV;
AIRW;
AIRY;COSSSSS
AIRZ;
AISS;
AIST;
AISV;
AISW;AAAKKPW
AISX;
AITT;
AITU;
AITV;
AITW;
AITX;ABIRRRT,CHOOPRU
AITZ;AALNNOY,ABELLRR,ACGILNU,ADILNOY,AGILNNT,AIKNNOY,AIMNOOT,CGIIILN,CGIILMN,GIINNNU,GILMNUU,IILNOTU,IINNOTU
AIVV;ALLNRUU
AJKR;
AJKS;
AJKU;
AJLR;AACFMNY
AJMS;AAHIIRY
AJNN;DEMORTU
AJOS;
AJOT;
AJPR;
AJPS;
AJPU;
AJRS;
AJRU;
AJSS;CEHRRUW
AJSW;CHIIKNR,DEIMMNR
AJSY;AAHIIMR,BFIILTU,HIMORUU
AJXY;
AJYZ;
AJZZ;
AKKO;CCEITTT
AKKR;ACCCEJR,ACELRTW
AKKS;
AKKY;
AKLN;
AKLO;EFLORRW
AKLP;
AKLR;
AKLT;
AKLU;
AKLW;
AKLY;
AKMO;
AKMR;
AKMS;
AKMW;
AKNO;
AKNP;
AKNR;
AKNS;
AKNT;
AKNU;
AKNW;
AKNY;
AKOP;
AKOR;
AKOS;
AKOT;
AKOY;
AKPR;
AKPS;
AKPU;
AKPW;
AKRR;
AKRS;
AKRT;
AKRU;
AKRW;
AKRY;
AKSS;
AKST;
AKSU;
AKSV;EEMPRRT
AKSW;
AKSY;
AKTU;
AKTY;
AKUW;
ALLL;AAAOOPZ,CCDIIOU
ALLM;
ALLO;AEIKKPU
ALLP;
ALLS;
ALLT;AFIIIRR,AIRRUVV,FIINRRU,GIIIINN
ALLW;
ALLY;
ALMM;
ALMO;
ALMP;
ALMR;
ALMS;
ALMT;
ALMU;
ALMY;
ALNO;
ALNP;
ALNR;
ALNT;
ALNU;
ALNW;
ALNX;CIINQUU
ALOO;CEEHRRU
ALOP;
ALOR;
ALOS;
ALOT;
ALOV;
ALOW;
ALOZ;
ALPP;
ALPS;
ALPT;
ALPU;
ALPW;BBEEEEV
ALPY;
ALRS;
ALRY;
ALSS;
ALST;
ALSU;
ALSV;
ALSW;
ALSY;
ALTU;
ALTW;
ALUU;ACCERTT,BBEGGHM,BDENNOW,BDFIINN,CCIINNQ,CEEINNT,CIINNQX,EOOPPTT
ALUV;
ALUW;ACEEQRR
ALWW;
ALWY;
ALYZ;AADHHPR,ABEEHRT,ADHORSU
AMMO;AEGGLRU
AMMR;
AMMS;
AMMU;
AMNO;
AMNS;
AMNU;
AMNW;
AMNY;
AMOR;
AMOS;
AMOT;
AMOU;CCEENPP,EEEGGMN
AMOW;
AMOX;
AMOY;
AMPR;
AMPS;
AMPT;
AMPU;DFINORR,DGIINNT,DHIIIOR,IIOPRRT
AMPV;
AMRS;
AMRT;
AMRU;
AMRW;
AMRY;
AMSS;
AMST;
AMSU;
AMSW;
AMSY;
AMTT;CDHIIIR,CHIPRRY
AMTU;
AMTY;
AMYZ;GIINRRT
ANNO;
ANNS;
ANOR;
ANOS;
ANOT;
ANOV;
ANOW;
ANOX;BDFORUU,HHPPRYY
ANOZ;AIIKNTY,AINNPRT,IIINTTU
ANPS;
ANPT;
ANPU;
ANPW;
ANRS;
ANRT;
ANRU;
ANRW;
ANRY;
ANSS;
ANST;
ANSU;
ANSV;
ANSW;
ANSY;
ANTU;
ANTV;
ANTW;ALMOOPR
ANUU;AGIORRT,BCDDEEH,BCILMNU,BDELNOW,BDFIILN,CCDENOT,CCIILNQ,CDDEIJN,CEEILNT,CEIRRTV,CFGIRTT,CFIORTT,CIILNQX,DEINQTZ,GGHHORT
ANUY;
ANVY;AAACRRS,ABFLORU,ACDIOPR,ACEORRT,AEELORZ,AEINRRS,CGLLOOO,CGLLOOU
ANWY;
ANYZ;
AOPR;
AOPS;
AOPT;
AOPU;
AORR;
AORS;
AORT;
AORU;
AORV;
AORW;
AORY;
AOSS;
AOST;
AOSV;
AOSY;
AOTU;
AOTY;BCIIITV
AOVW;
APPR;
APPS;
APPU;
APPY;
APRR;
APRS;
APRT;
APRU;
APRW;
APRY;
APSS;
APST;
APSU;
APSV;
APSW;
APSY;
APSZ;CGHINOR,DHINOOR,DIIINOR,EGHIIMN,EGHOORR,GHIOORT
APTU;
APTY;
APUY;
APUZ;CEEIILR,ILMOORY
APWY;
AQST;
AQTU;
AQUY;ACCGNOR
ARRY;
ARSS;
ARST;
ARSU;
ARSV;
ARSW;
ARSY;
ARTT;
ARTU;
ARTW;
ARTY;
ARTZ;ABCEOOT,CEEEHIT,CEEHIIT,CHINOOP,DEEIIMX
ARUV;CGIINNT
ARUW;
ARVY;
ARWY;
ARXY;ACELMOT,AGLOOPT,AIIILTT,EELRTTV
ARZZ;
ASSS;
ASST;
ASSV;
ASSW;
ASSY;
ASTT;
ASTU;
ASTV;
ASTW;
ASTY;
ASUV;
ASUY;
ASVV;
ASVW;
ASWW;DMNOORS,GHIINRT
ASWY;
ASYY;BCIILLT,CCCHORR,CCHHMOP,CCHIINP,CCHIOPR,CDLLOPT,CEHIMNO,CGHOPRT,CHHOPPT,CHIILPT,CILMNNO,EHHLOPP,GHHOPPR,GHLOPRT,HHILOPP,HKLMOPR,LMNNOOU,LNNORTU
ATTT;CIIIMNO
ATTU;
ATTW;
ATUV;
ATWY;
AVWY;
AWXY;
AWYY;
AWZZ;
BBBI;
BBCO;IIILLOP
BBEI;
BBEL;
BBES;
BBIJ;
BBIS;
BBLO;
BBLU;
BBMO;
BBOO;
BBOS;
BBOU;AAHIKSZ
BBRU;
BBSU;
BBUU;ADEEGLN,ADEGLNY,ADELNOT,AEGGHLM
BCEI;IJOTTVY,KOOTTTY
BCEK;
BCEU;
BCHI;
BCHU;
BCIR;DEEEERZ
BCKO;
BCKU;
BCLO;
BCLU;EGHINNN
BCMO;
BCOS;
BCRU;
BCSU;GIIINNS
BDEE;
BDEI;
BDEL;
BDEN;
BDEO;
BDER;
BDES;
BDET;
BDEU;
BDEY;
BDII;AALLTUY,ABDILTY,ACCDHKY
BDIN;
BDIR;
BDIS;
BDIU;
BDLO;
BDLU;MNOOTTU
BDMU;
BDNO;
BDNU;
BDOO;
BDOR;
BDOS;
BDOU;
BDOY;
BDRU;GHIIMMN
BDSU;
BEEF;CDIIJOT
BEEH;
BEEL;
BEEN;
BEEP;
BEER;
BEES;
BEET;
BEGI;
BEGO;
BEGR;
BEGS;
BEGY;
BEHL;DILPPUW,EEHIOPP
BEHR;GIIINNZ
BEHT;
BEIJ;CIOTTVY
BEIK;
BEIL;
BEIN;AACIPUV
BEIR;
BEIS;
BEIT;
BEIV;AACINPU,CDEEINT
BEIX;ACEELNR,CEELPRT
BEIZ;
BEJN;AAGIKRW
BEJO;
BEJU;
BEKM;ACDHTTU,IILNPRU
BEKO;
BEKR;
BEKS;
BEKU;
BEKY;EFLLRUU
BELL;
BELO;
BELP;
BELS;
BELT;
BELU;
BELW;ACHKSSU
BELY;
BEMO;
BEMR;
BEMW;CEHINTT,EEEINTT
BENO;
BENR;
BENS;
BENT;
BENU;
BENW;AAALRRT,AACHLTU,ACEHMRR
BEOO;AAHHIMP
BEOP;AAHHIPT,ACHHIPT,ADEELLV,EGIKKNO
BEOR;
BEOS;
BEOT;CEMMRYY
BEOY;CIIJTTV
BEPU;AACIINV
BERR;
BERS;
BERU;
BERV;
BERW;
BERY;
BEST;
BESW;
BESY;
BETU;
BETY;CEMMORY,EGLMMPU
BEUZ;
BEVY;
BFFI;
BFFO;
BFFU;
BFIR;
BFIS;AIILLLM,AIILLLT,GILNOOU
BFLO;AENRTTT,CIMORRU
BFLU;AALNPPY,DDILNNO,DEEIRTT,GIIINTY
BFMU;
BFOR;AELNTTT,DDEMNUU,ELLOPTU
BFOS;AEEIIST,CEEIIJT
BFOU;DDILLNN
BFOY;
BFSU;CCEIIPS
BGGI;AACDOOR
BGIL;
BGIN;
BGIO;AACDGOR,AAHHOPP
BGIR;
BGIS;
BGLO;
BGNO;
BGNU;
BGOO;AAHHIPP
BGOR;
BGOS;
BGOY;
BGRU;
BGSU;
BHIS;EEIMRRW,EIILLLL
BHLU;ACMNOPR,CEGINNN,CEKNOOT
BHOO;AADMMRY,ACCCKKL,CCHILOP,CEHIILP
BHOS;IIIINNT
BHOT;
BHRU;
BHSU;
BHTU;DEEGINN,DEIIINN,EELRRRY
BIIS;BHILLOP,CGINNSU,ILOPSST
BIJS;
BIKL;
BIKN;
BIKR;
BIKS;
BIKU;AHLNNTY
BILL;BCIIOOP
BILM;
BILN;
BILO;
BILP;BCIILOO,CCHHOOO,CDEEHNT,CEEPRTY,EEEHHOP
BILR;
BILS;
BILT;CIIINVY
BIMN;CEEHTTW,EEEETTW
BIMR;
BIMS;
BIMZ;DEEENNT,FGLNUUZ
BINR;
BINS;
BINT;
BINY;AACHINT,ACOOTTT,ADISSTU,AHHOOPP
BIOR;
BIOS;
BIOT;
BIRR;CDHMOOY,CIOOOTX,HMNOOPT
BIRS;
BIRT;
BISS;
BIST;
BISV;AAHHMTT,AGHOPRR,DDGIINU
BITT;AACCNOO,ACHHOOP
BJOS;
BKLU;
BKNO;
BKNU;
BKOO;
BKOR;
BKOS;
BKOU;
BKOY;
BKRU;
BKSU;
BLLO;BCIIIOP
BLLU;
BLOO;
BLOS;
BLOT;
BLOW;
BLRU;
BLRY;ACCCCIO
BLSU;
BMNU;
BMOO;AAEHHIP,AEEHIPT
BMOR;
BMOS;
BMOT;AADORRR,CEEHLPY,CEEMRYY
BMOU;
BMOW;
BMOY;HLLPRUY
BMPU;
BMSU;
BNNU;
BNOO;
BNOR;
BNOS;
BNOU;AAELLLW
BNOY;AHHIOPP
BNRU;
BNSU;
BNTU;
BOOR;
BOOS;
BOOT;
BOOY;
BOOZ;
BOPR;HLLMUYY
BOPS;AGINNPS,GIILLNT,IIILMSS,IIILSST
BORS;
BORT;
BORW;
BORY;
BOSS;
BOST;
BOSV;CEIIJTT,CEIKLLW
BOSW;
BOSY;
BOTT;AAHKNOR
BOTU;
BOTY;IIILPSS
BOUY;HLLMPRY
BOUZ;ADMORRZ
BOXY;DEEIORS
BPRU;CILORTY,HLLMOYY
BPSU;
BPUY;AAALLNT,CILORRT
BRRR;AADNSTU,AAIITTX,ABEEGOV,ACDEOSS,ACEEOSS,ACGINOW,ACNOOOT,ADNSTUU,AEEFKLY,CEEFIMO,CEEIMOW,CEEIOSW,DEEEEIS,EEIKNOT,EEILSVY,EEINTWY
BRRU;
BRSU;
BRTU;
BRUX;AAILLSY,ADFNOOU,CDIINOO
BRUY;
BSSU;
BSTU;
BSUY;
BTTU;
BUZZ;
CCEE;AACIOTT,ABLLLOT,AEIKKLO,AMNOPPU,ANNNOTU,BEEFINN,BILLLOT,EHMNNOY,EMNPSSU,FIIMNNO,HHINOTT,HMOPTYY,INNOQTU
CCEO;AEMNPPU,CGILLPY,EHMPTYY
CCHI;
CCHO;EEMPTYY
CCKO;
CCOO;EENNRRV,GIILOTX
CCOR;
CCOY;BFIIRST,CCIOPRT,CDEIINN,CEIINNP,CENNRRU,CIOPSST,DENOOST,EEEHRRT,EEHMPTY,HIIISTT,IOPRSST,OOPPRST
CDEE;
CDEI;
CDEK;
CDEO;
CDER;
CDEU;
CDHI;
CDIK;AABDMNO,AEGGJJO,AINOOTZ
CDIO;
CDIS;
CDIT;
CDIU;
CDKO;AIINOTZ
CDKU;AABGHRT
CDLO;
CDNO;
CDOO;ILORUUU
CDOR;
CDOS;
CDOU;
CDRU;AABGHKT
CDSU;
CDTU;
CEEH;
CEEP;
CEER;
CEES;
CEET;
CEEX;
CEFH;EMOORRR
CEFI;CLLNOOY
CEFK;
CEFL;CILNOOY,DIIMMOR,IIMMORR
CEFY;ACIINRR,ACINORR,CDEIKNO,CIINOPR,CILLNOO,EFIITTV,EGINNRR,IIINTTV,NOPRRTU
CEGK;ABDGIPY,ABDHILT,ACIMRRY
CEGL;BBEIILR,CCILOPY
CEHH;ABDIKSS,ABIKSSS,ADDEKOS,AEGPRRY,AGIPPRY,BMOOOPR,CEKORRY,EEMOPRS,IIMMOPR,MOOOPRR
CEHK;
CEHL;
CEHM;
CEHO;
CEHP;
CEHR;
CEHS;
CEHT;
CEHW;
CEHY;
CEHZ;ACILOOP,AEHIIRR,HIOPSTY,IIOOSTT
CEIL;
CEIM;
CEIN;
CEIP;
CEIR;
CEIS;
CEIT;
CEIV;
CEIW;AADDDRS
CEKK;AABCDJL,AABCDRT,AACCJRR,ABCDOOR,ACDMMUU,ACIOTTT
CEKM;
CEKN;
CEKO;
CEKP;
CEKR;
CEKU;EHOQRRW
CELL;
CELM;
CELO;
CELS;
CELT;
CELU;
CELW;AIMNOOP
CEMO;
CEMR;
CEMY;
CENO;
CENS;
CENT;
CENU;
CEOP;
CEOR;
CEOS;
CEOT;
CEOV;
CEOZ;
CEPR;
CEPS;
CEPU;
CERS;
CERT;
CERU;
CERW;
CESS;
CEST;
CESU;
CESY;IILLNUV
CETU;
CETY;EFFIITV
CFFO;AAIRRTT
CFFU;
CFIL;
CFIO;
CFIS;
CFIU;EEELTVX,EEENNQR,EENNQRY
CFKU;
CFLO;
CFNO;CEILLOY
CFOO;ACIIMRR,ADFIILM,AFIIINT,AGLLOTY,AIINPRT,AILLPTT,AINNTTU,CEILLNY,CIILNNT,DDEIIMM,DEIIPRR,EEGILNR,FGIIIRR
CFOR;
CFOT;BEEIIJS,DEEILSS
CFRU;FFGILNU
CFSU;
CGHO;AAALMYZ
CGHU;EIINNUZ
CGIS;ACHIIOP,ACHIOOP
