AAB;AHIOPQU,HIOOPTU
EFR;
EFS;
EFT;
EFU;
EFW;
EFY;
EFZ;CIIINOT,DEIIINT,GIIIMNN
EGG;
EGI;
EGK;
EGL;
EGM;
EGN;
EGO;
EGP;
EGR;
EGS;
EGT;
EGU;
EGV;
EGY;
EHH;AADEMMR,AAILLLU,AAJLLLU,AEGMORR,BGOOPRY,BIOOPPP,IILOPPP,IMMOPRY,IOOPRRZ,LOOOPPR,MMOOOPR,NOOOPPR
EHI;BHOOPPP
EHM;
EHN;
EHO;
EHP;
EHR;
EHS;
EHT;
EHU;
EHW;
EHX;AACLMUU,AAGLNRU,AIIMMPS,AIMNOTU
EHY;
EIK;
EIL;
EIN;
EIP;
EIR;
EIS;
EIT;
EIV;
EJO;
EJT;
EJU;
EJW;AABEKRR,ABBCKOR
EKL;
EKN;
EKO;
EKP;
EKR;
EKT;
EKU;
EKW;
EKX;CCHINOP,HIILNPS
EKY;
EKZ;
ELL;
ELM;
ELO;
ELP;
ELS;
ELT;
ELU;
ELV;
ELW;
ELX;
ELY;
ELZ;EGIIIMT,GIIIMPR,HIILOPY
EMM;
EMN;
EMO;
EMR;
EMS;
EMT;
EMU;
EMW;GMPRUUY
ENO;
ENP;
ENR;
ENS;
ENT;
ENW;
ENY;
ENZ;
EOP;
EOR;
EOS;
EOT;
EOV;
EOW;
EOX;BGILOOY,CGILLOY
EOY;
EPP;
EPR;
EPS;
EPT;
EPW;AAGMMPU
EPY;
EPZ;
ERR;
ERS;
ERT;
ERU;
ERV;
ERW;
ERX;
ERY;
ERZ;EEEHIMU
ESS;
EST;
ESU;
ESV;
ESW;
ESX;
ESY;
ESZ;
ETT;
ETU;
ETV;
ETW;
ETX;
ETY;
EUY;ABCCCMN,AFFFTTT,BCCIMNN,CGHIINN,GMMPRUW
EVX;IOPRSSU
EWX;
EWY;GMMPRUU
EXY;AACILLN,ABCENRU,ACCENPT,ACIORTT,BGILOOO,CGILLOO
EXZ;AAIIMOT,ACEIILL,CGIINOR
EYZ;AABILLR,HIPSSUZ
FFI;ACCFFHH
FFO;
FGI;AACCLLU
FGO;
FGU;
FHO;AIILMPR,CCEIIMR,FGIIPPR
FIK;
FIL;
FIN;
FIR;
FIS;
FIT;
FIX;
FIZ;AACEINT,CEIINOT,DEEIINT,EGIIMNN
FLU;
FLY;
FMU;
FNO;
FNU;
FOO;
FOP;EIIKNNT
FOR;
FOT;
FOU;
FOW;
FOX;
FOY;
FRU;
FRY;
GGI;
GHI;ACCIIOP,CILLOOP,CILOOOP,ELMOOOZ,LMOOORU
GHO;AABILOP,DEIIMPP
GHU;
GIJ;
GIL;
GIM;
GIN;
GIO;
GIP;CCEHIIO,CEEEETX,CHILLOO,CHILOOO
GIR;
GIS;
GIT;
GIV;
GIW;EFKORRU
GIZ;DEEILOO,DELOOOO
GJO;
GJU;BIIMNOZ,EINNORR,IINNNOT,IINNOTX
GLO;
GLU;
GMO;
GMU;
GMY;CEEOTYZ,EHOOOTZ
GNO;
GNU;IIINNOZ
GOO;
GOR;
GOS;
GOT;CCILLYY
GOV;
GOW;ABIMOTT,AHHTTUY
GOX;AAHLNPY,ADHOPRY,AELOPRY,AHIPPSU,AIILOST,BEILOOY,CEILLOY,CILOOTY,DEERRTY,DNOPRRU,EEEILTT,EGLLOOP,EIIMNRV,IIJNNTU,IILMOST
GOY;
GPU;
GPY;
GRR;AAAPSSS,AACKSSW,AAORSSW,ACHMMOO,DKNOOUW,MNOOOST
GRU;
GSU;
GTU;
GTY;AADMRRU,CCILLOY,DLNOOPT,MNOOOOP
GUV;CIINOOT,DEEENNR,IIINNNT,IILLLNP
GUY;CCFIINR
HHO;BCENNUY,CEEMNNW,EEERRTW,EEILRTW,EEMMORT,EILRTWW,EMMORTY,EMNNOTY,KTTUUUU
HHS;
HHU;AAEILLL,AAEJLLL,BEELMTW
HIK;
HIM;BGGGNUU,HOOOPPR,HOOPRRZ
HIN;KKKLOOZ
HIO;
HIP;BBIILLO
HIS;
HIT;
HIU;DEEGNOY
HMM;AACINOO,ACGOORR,CDLNOOO,CHOOORY,OOORTTU
HMO;
HMU;
HNO;
HNT;
HNU;
HOO;
HOP;
HOR;
HOS;
HOT;
HOW;
HOX;BEIIINT,CELMORY,CIOOPTT,INOPTTY,IOPRTTY
HOY;
HOZ;AACEKRZ,ABCGNRY,ACEILLO,AEGOPRR,CEIILNR,EGILMNY,EHIOPRR,EIILLPY,GIIIMNN
HPT;
HPU;
HPY;AACDDKW
HRY;GGIILPS,GHIOPPP,HMMOOOP
HSY;
HTU;
HTY;
HWY;
IIW;AAARRTY
IJN;
IJZ;AAGINNP,ADEEOPR,AGINORV,BGIMNOU,EEENRUV
IKL;
IKN;
IKO;
IKP;
IKR;
IKS;
IKT;
ILL;
ILM;
ILN;
ILO;
ILP;
ILS;
ILT;
IMM;
IMN;
IMO;
IMP;
IMR;
IMS;
IMV;CLMOPUU,DDIINUU
IMX;
IMZ;CHOOOPR,CINNOOT,EEEEHRU,EEIIMRS,EGIILPR,GIIILNS,GIIIMNN,GIIMNNU,GIINPRS,HHOOPRR
INN;
INO;
INP;
INQ;
INR;
INS;
INT;
INU;
INV;DDIIMUU
INW;
INX;AIIIRTT
INY;
INZ;BBIKKTU,HKKKLOO
IOP;CCEGHII
IOS;EEQQUUV
IPP;
IPR;
IPS;
IPT;
IPU;
IPX;ABHIOOT,AGHOPSU,AHIIMMS,AHOOSTT,CDEEEEN,CEEEEGT,CEGNNTU,CENNOTU,CHOOOTT
IPY;
IPZ;AAGLNRY,ADIINOR,GLNORYY
IQS;EEOQUUV
IRS;
IRT;
IRZ;EEEEHMU
ISS;
IST;
ISU;EEOQQUV
ISV;
ISW;
ISX;
ITT;
ITU;
ITW;
ITX;DHORRYY,HOOPRTY
ITZ;
IVY;ACCEOQU,LLOOSSS
IWZ;DGNNNOO
IZZ;AENNSSS
JLO;
JNU;AABIILR,BGIIMOZ,EFLOSSY,EIILTVY,EOOSSSY
JOR;
JOT;
JOW;
JOY;ACDIRTU,AHIMRUU
JSU;
JTU;
KNO;
KOP;
KOR;
KOS;
KOU;
KOW;
KOY;
KST;
KSU;
KSY;
KUY;
LMO;
LMU;
LMY;
LNU;
LOO;
LOP;
LOR;
LOS;
LOT;
LOU;
LOV;
LOW;
LOX;CDIMOOR,CGIOOTY,DHOORTY,GIIMOST,IMOSTTY,IORSUUY,MNOOSUY,MOOSTUY
LOY;
LOZ;BGIIIMN,CGIINNO,GIIMNUV,GIINNOP
LPU;
LPY;
LRU;
LSY;
LUU;BCGIKNN
LUV;EFGIITY
LUX;AAIILMT,ACIIOQT,ACIOOSS,IIOOPRS,MNOOOSY,MOOOSTY
LUZ;AADENNY,AGIINRR,GIIMNOV,HIOOOPS
LVY;CILOOST,ILOOSSS,IORSTUU
MMM;
MMO;
MMU;HOOORTT
MNO;
MNU;
MNY;
MOO;
MOP;
MOR;
MOS;
MOT;
MOU;
MOV;CIIILLR
MOW;
MOY;
MOZ;AAACIMR
MPU;
MRU;
MSU;
MTU;
MUU;BILLNOR,DDIIINV,EEIINPR,EIQRRTT
MUV;DDIIINU
MUX;AAIILLT,AMOOSTY,LNOOOSY,LOOOSTY
MUY;AHIJORU,BCCEINN,CEEORTT,ILLOQTU
NNO;
NNU;GIIIMMZ
NOO;
NOR;
NOS;
NOT;
NOW;
NOX;DGOPRRU,DHOORTU
NOY;
NPU;
NPW;EEIIKLR,EEIRRTT
NRU;
NSU;
NSY;
NTU;
NWY;
OOP;
OOR;
OOS;
OOT;
OOW;
OOX;AAHILMT,AALMPST,ABEHINP,ACCCILM,ACDHINO,ACEHMRU,ACHINPS,ACIINTT,ACILLRU,ACILSSU,ADGHPRY,AEENRRT,AEFILRT,AEGHPSU,AEGIILS,AEHIRRT,AEHPSTT,AELMPSU,AGIILST,AHIPSTT,AHNPRRY,AIMNSTT,AIPRSTT,AMMSTUY,BCEHINP,BEGILOY,CCEERTU,CDILMOR,CEELMNP,CEGILLY,CEHLMRY,CEINRTU,CELMNNP,CGILOTY,CHILNPY,CHIPTTY,CIIMMNT,CIINPRT,DGNPRRU,EEGILSS,EGGLLOP,EGIILMS,EGILSST,EIINPST,GIILMST,HINPTTY,HIPRTTY,IILPRSU,ILMSTTY,LMNOSUY,LMOSTUY
OOZ;
OPP;
OPR;
OPS;
OPT;
OPU;
OPW;
OPX;AAHINST,ABHIIOT,ACHINOS,AGHIPSU,AHINRSU,CHIOOTT,DGNORRU
OPZ;ACCHIRS,ACGIINN,ACHNOSY,ADIIINR,AEGHORR,AGHOOSU,AGIINRV,BHOOOSU,CGIIMNR,CGIORSY,DHIOOTY,EEGHNSY,GHMORYY,GIIIMNT,GIILNNO,GIILNRY,GIINNOS,GILNRYY,HHIMORR,HIILMOS,HILOOSU,OOORSSU
ORS;
ORT;
ORU;
ORV;
ORW;
OSS;
OST;
OSU;
OSV;
OSW;
OSX;AACISUV,AGHIPPU,AGHLPRY
OSY;
OSZ;
OTT;
OTU;
OTW;
OTY;
OUY;CCCEILT
OVW;
OVX;AACISSU,ADEENPR,EEEOPRS,EEIIPST
OWW;AEMNOPR,EGLOORR,ELLORTY
OWX;
OWY;
OXY;
PPU;
PRU;
PRY;
PST;
PSU;
PSY;
PTU;
PTW;
PUY;
PXY;AAAHLNY,ABCEELT,ACCEENT
QSU;
RSU;
RTU;
RTY;
RUY;
RWY;EGMMPUU
SSU;
STU;
STY;
SUW;BEEHHLR,CEKOORR,EEEHHLO,EEHHOOR
SUY;
SWY;
TTU;
TUU;AAACHQU,AAACLRV,AAADQRR,AGGIJLN,ALOPRVY,BDDEEGN,DEIILNZ
TUX;AADIQRR,AAIILLM,ACDIJOR,AEGOPRR,CEGIINN,DHNOOOR,EINNOOR,LMOOOSY
UWZ;
UZZ;
ZZZ;AAAMRTZ
